gene	discovery_effect_adenoma_minus_normal	bootstrap_effect_median	bootstrap_ci_low	bootstrap_ci_high	direction_stability	bootstrap_sign_p	mean_expression_discovery	bootstrap_sign_q	excluded_gene	ci_excludes_zero	eligible	selection_magnitude	selected	logFC	AveExpr	t	P.Value	adj.P.Val	B	limma_direction_match	limma_fdr_pass	bootstrap_stability_pass	stable_core	arm
LGALS3	-0.629991	-0.63404036	-0.870623950660229	-0.355027202516794	1	0.000999000999000999	0.011975831	0.0126510092688221	FALSE	TRUE	TRUE	0.629991	TRUE	-0.632631034679067	0.0119758330421622	-6.19332317747813	3.14928429354998e-07	0.000718934584951051	6.65625738670491	TRUE	TRUE	TRUE	TRUE	down
SRI	-0.49602288	-0.49581528	-0.651828701794148	-0.321294511109591	1	0.000999000999000999	0.07207652	0.0126510092688221	FALSE	TRUE	TRUE	0.49602288	TRUE	-0.489016038155681	0.0720765231162162	-6.04622735393135	4.69355041587107e-07	0.000718934584951051	6.27654233824137	TRUE	TRUE	TRUE	TRUE	down
RNF43	0.4764946	0.4774106	0.253895629197359	0.685984052717686	1	0.000999000999000999	0.010522959	0.0126510092688221	FALSE	TRUE	TRUE	0.4764946	TRUE	0.474688784834349	0.0105229609486487	6.08947403992544	4.3676169629317e-07	0.000718934584951051	6.34867406919444	TRUE	TRUE	TRUE	TRUE	up
IL27RA	0.17146082	0.17199478	0.0979705661535263	0.246839733794332	1	0.000999000999000999	0.0028930728	0.0126510092688221	FALSE	TRUE	TRUE	0.17146082	FALSE	0.170562518155167	0.00289307220270271	6.09448688864118	4.13202368673027e-07	0.000718934584951051	6.39815679193011	TRUE	TRUE	TRUE	TRUE	up
SOX4	0.39757302	0.3987538	0.236581550166011	0.55647551715374	1	0.000999000999000999	0.01562952	0.0126510092688221	FALSE	TRUE	TRUE	0.39757302	TRUE	0.392421773137814	0.0156295083024324	5.92453384577981	7.15615117803512e-07	0.000876914765356424	5.88225175706267	TRUE	TRUE	TRUE	TRUE	up
ASCL2	0.50405955	0.50497675	0.283549062162638	0.745549570024013	1	0.000999000999000999	0.0049427166	0.0126510092688221	FALSE	TRUE	TRUE	0.50405955	TRUE	0.499044533279113	0.00494272108108108	5.84006756778883	9.58600489474846e-07	0.000978890866502063	5.60907892778625	TRUE	TRUE	TRUE	TRUE	up
CHP2	-0.5934963	-0.59324306	-0.790224429965019	-0.40287895873189	1	0.000999000999000999	0.09172265	0.0126510092688221	FALSE	TRUE	TRUE	0.5934963	TRUE	-0.577784684105271	0.0917226557702703	-5.69489239701492	1.43358381135531e-06	0.00117212967412469	5.2258498978211	TRUE	TRUE	TRUE	TRUE	down
SLC6A6	0.37944853	0.37956613	0.198750491440296	0.565663416683674	1	0.000999000999000999	0.0058758785	0.0126510092688221	FALSE	TRUE	TRUE	0.37944853	TRUE	0.377343234731296	0.00587588061621621	5.69164732047784	1.53044514329975e-06	0.00117212967412469	5.16879855943105	TRUE	TRUE	TRUE	TRUE	up
ATP5MC3	-0.48027578	-0.4884897	-0.678159157931805	-0.266905742138624	1	0.000999000999000999	0.07190369	0.0126510092688221	FALSE	TRUE	TRUE	0.48027578	TRUE	-0.490833014871886	0.0719036983783784	-5.49702649300348	2.6864847599596e-06	0.00164600921242725	4.63479174281417	TRUE	TRUE	TRUE	TRUE	down
LHFPL7	0.11603244	0.11631201	0.0600365503691137	0.168102318048477	1	0.000999000999000999	0.004416168	0.0126510092688221	FALSE	TRUE	TRUE	0.11603244	FALSE	0.114817131247409	0.00441616871621622	5.50095596988454	2.65321638320937e-06	0.00164600921242725	4.64651778433518	TRUE	TRUE	TRUE	TRUE	up
