gene	arm	pair_step	full_discovery_path_correlation	selected_folds	selection_frequency	route_weight	panel_size_rule	fixed_gene_count_used	validation_outcomes_used	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	type_of_gene	all_six_platforms_present	protein_coding
ASCL2	up	1	0.957100483580598	18	0.666666666666667	1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	0.499044533279113	0.000978890866502	1	0.283549062162638	0.745549570024013	protein-coding	TRUE	TRUE
LGALS3	down	1	0.957100483580598	14	0.518518518518518	-1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	-0.632631034679067	0.000718934584951	1	-0.870623950660229	-0.355027202516794	protein-coding	TRUE	TRUE
SOX4	up	2	0.979897892745241	22	0.814814814814815	1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	0.392421773137814	0.0008769147653564	1	0.236581550166011	0.55647551715374	protein-coding	TRUE	TRUE
COX6C	down	2	0.979897892745241	14	0.518518518518518	-1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	-0.391516245431671	0.0084410275709751	1	-0.560784789919853	-0.203106278181076	protein-coding	TRUE	TRUE
SLC7A5	up	3	0.988938324243703	21	0.777777777777778	1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	0.30123764189625	0.0059949278398453	1	0.129347436502576	0.492662789672613	protein-coding	TRUE	TRUE
NDUFA1	down	3	0.988938324243703	17	0.62962962962963	-1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	-0.371032488348176	0.0029378217143831	1	-0.537586969137192	-0.209964857250452	protein-coding	TRUE	TRUE
AXIN2	up	4	0.992046135847182	23	0.851851851851852	1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	0.42414270203647	0.0023389625724745	1	0.211632934585214	0.651855410635471	protein-coding	TRUE	TRUE
CYCS	down	4	0.992046135847182	23	0.851851851851852	-1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	-0.409760560399178	0.0023389625724745	1	-0.562196189165115	-0.238016560673714	protein-coding	TRUE	TRUE
SDC3	up	5	0.993152507774845	9	0.333333333333333	1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	0.343356140560077	0.0028679638097157	1	0.169948872178793	0.544590991735458	protein-coding	TRUE	TRUE
LRRC19	down	5	0.993152507774845	16	0.592592592592593	-1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	-0.342115545052	0.0055844587715872	1	-0.484830068796873	-0.211130802333355	protein-coding	TRUE	TRUE
DPEP1	up	6	0.99490277764809	14	0.518518518518518	1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	0.512140243410315	0.0027845730112846	1	0.244460769742727	0.792924101650715	protein-coding	TRUE	TRUE
ETHE1	down	6	0.99490277764809	9	0.333333333333333	-1	Kneedle maximum normalized distance on the monotone grouped-OOF fidelity curve	FALSE	FALSE	-0.499671104589575	0.0059949278398453	1	-0.729083766043186	-0.259525553882122	protein-coding	TRUE	TRUE
