donor_id	route_group	cell_type	cell_type_label	core_287_score
HTA11_6182	conventional_adenoma	ABS	Absorptive	0.5323437176074121
HTA11_6182	normal	ABS	Absorptive	0.2038723443539682
HTA11_6801	conventional_adenoma	ABS	Absorptive	-0.0809552897011481
HTA11_6801	conventional_adenoma	GOB	Goblet	0.1211146625742554
HTA11_6801	conventional_adenoma	TAC	Transit-amplifying	0.1081362948084452
HTA11_6801	normal	ABS	Absorptive	-0.3572460000935964
HTA11_6801	normal	GOB	Goblet	-0.041567519878545595
HTA11_6801	normal	TAC	Transit-amplifying	-0.01206033022898865
HTA11_6818	conventional_adenoma	ABS	Absorptive	0.35662843668632194
HTA11_6818	conventional_adenoma	GOB	Goblet	0.523878097544839
HTA11_6818	conventional_adenoma	TAC	Transit-amplifying	0.4678879711637142
HTA11_6818	normal	ABS	Absorptive	-0.24202435093957275
HTA11_6818	normal	GOB	Goblet	0.049107333014068645
HTA11_6818	normal	TAC	Transit-amplifying	0.04855201013948415
HTA11_7469	conventional_adenoma	ABS	Absorptive	-0.2833872439741333
HTA11_7469	conventional_adenoma	TAC	Transit-amplifying	-0.0911202187256647
HTA11_7469	normal	ABS	Absorptive	-0.34262360773855144
HTA11_7469	normal	TAC	Transit-amplifying	-0.036262609179880397
HTA11_7696	conventional_adenoma	ABS	Absorptive	0.2455321370622163
HTA11_7696	conventional_adenoma	GOB	Goblet	0.5281513908092704
HTA11_7696	conventional_adenoma	TAC	Transit-amplifying	0.6445435046999994
HTA11_7696	normal	ABS	Absorptive	-0.3187319190244979
HTA11_7696	normal	GOB	Goblet	-0.004107955373526
HTA11_7696	normal	TAC	Transit-amplifying	0.0402701811538651
HTA11_7862	conventional_adenoma	ABS	Absorptive	-0.0244326888550838
HTA11_7862	conventional_adenoma	GOB	Goblet	0.0908311120361329
HTA11_7862	conventional_adenoma	TAC	Transit-amplifying	0.1646140104519614
HTA11_7862	normal	ABS	Absorptive	-0.21064889782143775
HTA11_7862	normal	GOB	Goblet	-0.0023932008679818477
HTA11_7862	normal	TAC	Transit-amplifying	0.0785547292793271
HTA11_866	conventional_adenoma	ABS	Absorptive	0.5104081767132375
HTA11_866	conventional_adenoma	GOB	Goblet	0.3656113888971943
HTA11_866	conventional_adenoma	TAC	Transit-amplifying	0.3135237061390573
HTA11_866	normal	ABS	Absorptive	-0.3499427151248864
HTA11_866	normal	GOB	Goblet	-0.0015488080616136
HTA11_866	normal	TAC	Transit-amplifying	0.0373020522988851
HTA11_9408	conventional_adenoma	ABS	Absorptive	0.3646432452319106
HTA11_9408	normal	ABS	Absorptive	-0.380722927267346
