dataset	cell_line	clone_id	genotype	reduced_route_score	difference_vs_WT	expected_direction	direction_matches_expected	signature_id	readout	clone
GSE135328	HCT116	HCT116_18	KO	0.119180994953802	0.238361989907604	-1	FALSE	state_shared_1843	Full programme	HCT116 · HCT116_18
GSE135328	HT29	HT29_57	KO	-0.102295551385219	-0.324045743497818	-1	TRUE	state_shared_1843	Full programme	HT29 · HT29_57
GSE135328	HT29	HT29_62	Het	0.257534905131969	0.0357847130193703	-1	FALSE	state_shared_1843	Full programme	HT29 · HT29_62
GSE135328	HT29	HT29_83	KO	-0.141863449027738	-0.363613641140337	-1	TRUE	state_shared_1843	Full programme	HT29 · HT29_83
GSE135328	HT29	HT29_86	KO	-0.235126096831611	-0.45687628894421	-1	TRUE	state_shared_1843	Full programme	HT29 · HT29_86
GSE135328	HCT116	HCT116_18	KO	-1.37387506597023	-2.74775013194045	-1	TRUE	compact_8	Eight-gene candidate	HCT116 · HCT116_18
GSE135328	HT29	HT29_57	KO	-1.30275311657143	-2.89133664107817	-1	TRUE	compact_8	Eight-gene candidate	HT29 · HT29_57
GSE135328	HT29	HT29_62	Het	1.57537281448308	-0.0132107100236571	-1	TRUE	compact_8	Eight-gene candidate	HT29 · HT29_62
GSE135328	HT29	HT29_83	KO	-0.364017833003998	-1.95260135751073	-1	TRUE	compact_8	Eight-gene candidate	HT29 · HT29_83
GSE135328	HT29	HT29_86	KO	-1.49718538941437	-3.0857689139211	-1	TRUE	compact_8	Eight-gene candidate	HT29 · HT29_86
