gene	cell_type	primary	paired
A1CF	ABS	-0.101325721504809	-0.118397896707501
AAAS	ABS	-0.0945984502736661	-0.0989779472225508
AACS	ABS	0.0816919420979884	0.0449741114025254
AAGAB	ABS	-0.0868714713143187	-0.13846188535708
AAK1	ABS	0.0501603832585025	0.222484881822822
AAMDC	ABS	0.141213586992687	0.195286935292938
AAMP	ABS	-0.050648400036898	-0.100916366462686
AAR2	ABS	0.029513504591322	0.00315853350574692
AARS1	ABS	0.105323347877008	0.0701490138068307
AARSD1	ABS	-0.0278712530391827	-0.00305515828794413
AASDH	ABS	0.121490850194048	0.076997357155239
AATF	ABS	0.128198251010827	0.0853686542244959
ABAT	ABS	0.166484061173228	0.162232642152137
ABCA5	ABS	0.0125438809444048	0.0574012788665638
ABCB10	ABS	-0.0471798432208787	-0.132009178383747
ABCB7	ABS	0.0164079752731202	-0.0061256098820396
ABCC1	ABS	0.145841249017751	0.230554403035587
ABCC3	ABS	0.157279419080731	0.218794985507654
ABCC4	ABS	-0.0441219252565451	-0.096679573985714
ABCC5	ABS	0.586205516973708	0.637837799230337
ABCC6	ABS	0.38504675244392	0.346868651962426
ABCD3	ABS	-0.293805290894755	-0.3313523482965
ABCD4	ABS	0.0630033253951307	0.17006506064578
ABCF1	ABS	0.0846699010760337	0.0460435561151944
ABHD10	ABS	-0.168518651469105	-0.134103306958736
ABHD11	ABS	-0.0111232407729008	0.0051854114859963
ABHD12	ABS	-0.00367109301809226	0.0617157401652813
ABHD14A	ABS	0.231088102252782	0.278015710372121
ABHD14B	ABS	-0.165371434834239	-0.215247913003543
ABHD17A	ABS	0.205671953799496	0.277892277978959
ABHD17B	ABS	-0.108341817310225	-0.205239273213996
ABHD17C	ABS	-0.039085918189157	-0.0451202255392733
ABHD18	ABS	0.0408180889286028	0.0520000926217302
ABHD2	ABS	0.129327594950132	0.103052039728695
ABHD3	ABS	-0.109988829052409	-0.0473458233807851
ABHD5	ABS	-0.591687836684017	-0.539762007574935
ABHD6	ABS	-0.195021968288981	-0.249311788378263
ABI1	ABS	-0.116154371869816	-0.167745618501108
ABI2	ABS	0.282871229121671	0.238061002697533
ABL1	ABS	0.0359538448236343	-0.0210589248807843
ABL2	ABS	-0.00444710620378897	-0.120871040794272
ABLIM1	ABS	0.278538153189569	0.322254925221275
ABLIM2	ABS	0.449869279075832	0.462525165646827
ABO	ABS	-0.0106540126288748	0.00399415720924821
ABR	ABS	0.313374957134126	0.269290735686093
ABRACL	ABS	-0.906996993040843	-0.861422796819271
ABT1	ABS	-0.231760111258718	-0.225681402041174
HEXIM2-AS1	ABS	0.235363720953334	0.216260287692551
ENSG00000235979	ABS	-0.409649225557669	-0.500366837275669
ENSG00000276345	ABS	0.0217737579948418	0.0502367130015464
ENSG00000243004	ABS	0.0904290195715823	0.0102433039555486
GARS1-DT	ABS	0.10491195958084	0.0963635759098468
LINC01843	ABS	0.372956188538073	0.487186097530939
ENSG00000214719	ABS	0.0388666902659896	-0.115099675912529
MAP4K3-DT	ABS	0.18375858140371	0.208427343617789
PRR15-DT	ABS	-0.00823504815635419	-0.0487115937057158
LGALSL-DT	ABS	0.176209402237222	0.0593674593693005
ENSG00000235419	ABS	-0.447650233428318	-0.441999230291652
ENSG00000276256	ABS	-0.657070399879395	-0.535941588834847
ENSG00000267881	ABS	-0.123186094637585	0.0344849801955791
MAP3K20	ABS	0.400930111416111	0.320854353774664
B3GALT1-AS1	ABS	0.345125161973673	0.363753270653776
LINC00513	ABS	0.573043871132172	0.286867551867988
ENSG00000236449	ABS	-0.625181504946527	-0.622491067611005
ENSG00000225421	ABS	-0.159122352168479	-0.161368284076439
ENSG00000254777	ABS	0.114103711239048	-0.0859824425860132
ENSG00000223727	ABS	0.281346142883023	0.231710242228319
MIR3936HG	ABS	-0.0107948249559409	0.0305750920855273
ENSG00000249319	ABS	0.55899425345685	0.581982144155367
SNHG31	ABS	-0.0962160649899877	-0.287813853575681
EPCAM-DT	ABS	0.371939771953198	0.296924532961347
ENSG00000228222	ABS	0.252724926856832	0.230128467295722
ENSG00000226963	ABS	0.618116537446982	0.682356681725608
ENSG00000279483	ABS	0.089521963922737	0.0596163134663398
ENSG00000279095	ABS	0.183439648124161	0.110753024224221
LINC01876	ABS	0.0987421659666186	-0.0170538792207053
SPOPL-DT	ABS	0.309645229220125	0.0815434004245017
TENM3-AS1	ABS	-0.05135445770552	0.0763577678801841
ENSG00000224272	ABS	-0.0412803730272366	-0.0981233604240451
ENSG00000230732	ABS	-0.210618974567231	-0.166883597344139
NPIPA6	ABS	0.631286807802796	0.675749205796185
LINC02985	ABS	-0.200033148190034	-0.164343730131992
ENSG00000271254	ABS	-0.288088639027209	-0.132761216264698
ACAA2	ABS	-0.653131775843244	-0.531871113413495
ACACA	ABS	0.0485862144535599	-0.047370227049226
ACACB	ABS	0.29244391925846	0.244450995540346
ACAD10	ABS	0.298670353273454	0.284373858565474
ACAD8	ABS	-0.509943836359665	-0.390930230141432
ACAD9	ABS	0.156942078633891	0.1715505451246
ACADM	ABS	-0.275594441841695	-0.441378802469033
ACADS	ABS	-0.227779396208309	-0.216462356122744
ACADSB	ABS	-0.352751768422012	-0.595576513886338
ACADVL	ABS	-0.259985211398669	-0.274868699076672
ACAP2	ABS	0.116210089173117	0.149318382027074
ACAT1	ABS	-0.538840795222031	-0.465081525015368
ACBD3	ABS	0.265387147117054	0.177808469215401
ACBD5	ABS	-0.0937510913204858	-0.0949696029087444
ACBD6	ABS	0.0145491614524449	-0.0612347242779546
ACE	ABS	0.624513694283549	0.685233467067083
ACER3	ABS	0.036377809666447	0.144915917503943
ACIN1	ABS	0.147941931685556	0.170216567657948
ACLY	ABS	-0.00722747610161899	-0.0974916527721082
ACO1	ABS	-0.0462285441551404	-0.0841120498995448
ACO2	ABS	0.404399918248606	0.42072004972518
ACOT1	ABS	-0.206342093570387	-0.185807458016177
ACOT11	ABS	0.114748072748958	0.157476164962494
ACOT13	ABS	0.00117672058286345	0.0344236131747669
ACOT2	ABS	-0.39468545026325	-0.438913072264494
ACOT7	ABS	-0.248563680912728	-0.251027134987462
ACOT8	ABS	0.00349682600498413	0.0949873087875495
ACOT9	ABS	0.175988533005399	0.240728878718049
ACOX1	ABS	-0.546522029716492	-0.401166532559465
ACOX3	ABS	0.16356631310487	0.360521133676507
ACP1	ABS	-0.423567192455148	-0.48138059161911
ACP2	ABS	0.0598850521666949	0.0769180627412468
ACP6	ABS	-0.00278690438607858	0.0664469496644431
ACSF2	ABS	-0.485808798515291	-0.486020312031805
ACSF3	ABS	0.125446002398609	0.0876697613457433
ACSL3	ABS	0.0879825259441389	0.0133537437785036
ACSL5	ABS	-0.216262119217166	-0.166248469759179
ACSS1	ABS	0.304926468921636	0.273276807648957
ACSS2	ABS	-0.131279045346961	-0.119081281024096
ACTB	ABS	-0.573106947327622	-0.534227428824685
ACTG1	ABS	-0.531270485214785	-0.492600624311921
ACTL6A	ABS	-0.112948885272749	-0.265412522929402
ACTN1	ABS	0.138186389362719	0.107996588062665
ACTN4	ABS	0.0997836440294014	0.13746572722984
ACTR10	ABS	-0.836336425926126	-0.897593415856584
ACTR1A	ABS	-0.118460045304918	-0.072331035993339
ACTR1B	ABS	0.0738177058928036	0.0567770853357415
ACTR2	ABS	-0.210756622374111	-0.195994156381699
ACTR3	ABS	-0.189796722014856	-0.171906773308412
ACTR3B	ABS	0.134406453784108	0.115081854786305
ACTR3C	ABS	0.322161458754846	0.296812181937198
ACVR1	ABS	0.276697136608155	0.224173936544544
ACVR1B	ABS	-0.0148910854968919	-0.0164243934584139
ACVR1C	ABS	-0.132813483203317	-0.195173247949385
ACVR2A	ABS	-0.0174293855876109	-0.0358375590265227
ACVRL1	ABS	0.253459505488302	0.271318807009121
ACY1	ABS	-0.284719042547925	-0.252263435796901
ACYP1	ABS	-0.344227560445972	-0.456226733388495
ACYP2	ABS	0.289188814996347	0.237097724443268
MAPDA	ABS	-0.0476342314502541	-0.114126194256811
ADAM10	ABS	0.145162826216873	0.136591552536014
ADAM15	ABS	0.163076783447363	0.231112398891182
ADAM17	ABS	0.0901641841700237	0.0226520175375961
ADAM22	ABS	-0.0662628687935031	-0.139217333459694
ADAM9	ABS	0.32096369755816	0.113260911391716
ADAMTS17	ABS	0.0021737624150861	0.0114176460973854
ADAMTS9-AS2	ABS	0.189803625325857	0.253628396229522
ADAMTSL1	ABS	-0.235519125292547	-0.265649668705727
ADAMTSL4-AS1	ABS	0.547688198433372	0.56604487078658
ADAP1	ABS	0.112520790800637	0.201478556159558
ADAR	ABS	-0.0616188526184855	-0.0974261262090829
ADCK1	ABS	0.0728589072205465	0.0535289912835896
ADCK2	ABS	0.146361544238977	0.202735739071331
COQ8A	ABS	0.15186405983873	0.0743052086403425
ADCY3	ABS	0.262863657204517	0.239581631675795
ADCY6	ABS	0.271333069788157	0.323604629785954
ADCY9	ABS	-0.142669154647697	-0.172723378054114
ADD1	ABS	-0.0199645033903822	-0.0399829636476419
ADD3	ABS	0.148765769482667	0.0955703867915579
ADD3-AS1	ABS	-0.0394098744883701	-0.0467829171632043
ADGRA3	ABS	0.137071009216905	0.144390886021784
ADGRE3	ABS	-0.608444894118245	-0.712025817188143
ADGRE5	ABS	0.474066135057576	0.363814864721464
ADGRG1	ABS	0.271711230674121	0.277369713683426
ADGRG6	ABS	0.378358506698011	0.271910479083391
ADGRL1	ABS	0.344346902599874	0.358723474818652
ADGRL3-AS1	ABS	0.0384476240612763	-0.0734479572481653
ADH1C	ABS	-0.359465380549893	-0.483402577337029
