gene	expected_arm	state	effect
ASCL2	up	ABS	1.85279506697243
ASCL2	up	GOB	1.85866888573602
ASCL2	up	TAC	2.41659396148136
LGALS3	down	ABS	-0.64524362383262
LGALS3	down	GOB	-1.02344347077348
LGALS3	down	TAC	-0.786081090227781
SOX4	up	ABS	0.313641540677793
SOX4	up	GOB	0.828762768659453
SOX4	up	TAC	0.407689255732159
COX6C	down	ABS	-0.536016370291033
COX6C	down	GOB	-0.767673351441992
COX6C	down	TAC	-0.868155559452156
SLC7A5	up	ABS	
SLC7A5	up	GOB	
SLC7A5	up	TAC	
NDUFA1	down	ABS	-0.350468393357918
NDUFA1	down	GOB	-0.542606473905254
NDUFA1	down	TAC	-0.445234954306216
AXIN2	up	ABS	0.865587286815571
AXIN2	up	GOB	1.06183079642775
AXIN2	up	TAC	1.60840041609863
CYCS	down	ABS	-0.751512564627547
CYCS	down	GOB	-1.03941438495743
CYCS	down	TAC	-0.795253491084394
SDC3	up	ABS	
SDC3	up	GOB	
SDC3	up	TAC	
LRRC19	down	ABS	-0.830851897370317
LRRC19	down	GOB	-1.11579660298996
LRRC19	down	TAC	-1.19920756023412
DPEP1	up	ABS	
DPEP1	up	GOB	
DPEP1	up	TAC	
ETHE1	down	ABS	-0.479745520400633
ETHE1	down	GOB	-0.707868835845877
ETHE1	down	TAC	-0.510094188446842
