collection	gene_set	description	NGenes	Direction	PValue	FDR	strict_core_overlap	top_contributing_genes	global_fdr	interpretive_family	label	evidence
Hallmark 2026.1.Hs	HALLMARK_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_OXIDATIVE_PHOSPHORYLATION	182	Down	6.09144017715608e-20	2.86297688326336e-18	101	COX5A;ATP5MC3;SDHD;MPC1;CYCS;CPT1A;COX6C;ATP5PO;FH;NDUFAB1;ATP5F1C;ATP5PD	2.16307040690812e-16	metabolic function	Oxidative Phosphorylation	-17.5431821586189
Hallmark 2026.1.Hs	HALLMARK_FATTY_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_FATTY_ACID_METABOLISM	105	Down	7.62596384952843e-10	1.79210150463918e-08	43	MAOA;SDHD;HPGD;CPT1A;FH;SUCLG1;PRDX6;HSD17B11;IDH1;HMGCS2;CA2;S100A10	1.59292927233385e-07	metabolic function	Fatty Acid Metabolism	-7.74663739553537
Hallmark 2026.1.Hs	HALLMARK_MYC_TARGETS_V1	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MYC_TARGETS_V1	175	Down	3.56168846695191e-08	5.57997859822466e-07	51	COX5A;DUT;NDUFAB1;PGK1;SLC25A3;RPL6;YWHAQ;HNRNPD;HSPE1;EEF1B2;RPL22;SRSF2	4.86444451774855e-06	cell cycle/proliferation	Myc Targets V1	-6.25336746677761
Hallmark 2026.1.Hs	HALLMARK_MTORC1_SIGNALING	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_MTORC1_SIGNALING	138	Down	1.51659044794915e-06	1.78199377634025e-05	32	CD9;GOT1;IDH1;PGM1;PGK1;ATP5MC1;HSPE1;UNG;RAB1A;SC5D;GSR;HSPA9	0.000128224111444462	other	Mtorc1 Signaling	-4.7490938170813
Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_ADIPOGENESIS	139	Down	3.74407865405855e-06	3.51943393481504e-05	55	ATP5PO;NDUFAB1;GHITM;SUCLG1;IDH1;PGM1;APLP2;COX6A1;SCP2;SQOR;AK2;DLD	0.000289026593490476	other	Adipogenesis	-4.45352718275923
Hallmark 2026.1.Hs	HALLMARK_XENOBIOTIC_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_XENOBIOTIC_METABOLISM	103	Down	7.71141262254095e-05	0.000604060655432374	35	MAOA;IDH1;CA2;NDRG2;UGDH;DDC;ECH1;PGRMC1;CYB5A;CAT;SPINT2;CYP2J2	0.00456387103710715	metabolic function	Xenobiotic Metabolism	-3.21891945045672
Hallmark 2026.1.Hs	HALLMARK_HYPOXIA	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_HYPOXIA	98	Down	0.00279180169372406	0.0187449542292901	20	FAM162A;PCK1;STBD1;PGM1;PGK1;CITED2;NDRG1;UGP2;MYH9;PGM2;TES;PPARGC1A	0.0728947633412804	stress/inflammatory	Hypoxia	-1.72711561568474
Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_BILE_ACID_METABOLISM	53	Down	0.00326841842584297	0.0192019582518274	12	HSD17B11;IDH1;SCP2;ISOC1;CAT;ALDH9A1;SULT1B1;PHYH;PXMP2;PEX11A;RETSAT;TFCP2L1	0.0778936498669019	metabolic function	Bile Acid Metabolism	-1.71665447886959
Hallmark 2026.1.Hs	HALLMARK_PEROXISOME	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_PEROXISOME	71	Down	0.00406908860636873	0.02124968494437	22	HSD17B11;IDH1;SCP2;ECH1;ISOC1;YWHAH;CAT;BCL10;ALDH9A1;PABPC1;ECI2;PEX2	0.0868976134929262	other	Peroxisome	-1.67264750457536
Hallmark 2026.1.Hs	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_UNFOLDED_PROTEIN_RESPONSE	75	Down	0.0120854153953355	0.0545581353928032	15	SPCS1;BANF1;HSPA9;EIF4A2;SEC11A;YWHAZ;HSPA5;HERPUD1;CEBPG;EIF4A3;SERP1;NPM1	0.189054229378134	other	Unfolded Protein Response	-1.26314048077193
Hallmark 2026.1.Hs	HALLMARK_E2F_TARGETS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_E2F_TARGETS	117	Down	0.0129583167316304	0.0545581353928032	24	DUT;HMGB2;AK2;HNRNPD;SRSF2;UNG;CBX5;PCNA;MMS22L;UBR7;DCTPP1;RPA3	0.191729094641749	cell cycle/proliferation	E2f Targets	-1.26314048077193
Hallmark 2026.1.Hs	HALLMARK_PROTEIN_SECRETION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HALLMARK_PROTEIN_SECRETION	79	Down	0.0143646658228312	0.0545581353928032	19	ARF1;CLTC;GNAS;TMED2;ARCN1;LMAN1;YIPF6;AP3S1;LAMP2;COPB2;TMED10;RAB9A	0.20193499887459	other	Protein Secretion	-1.26314048077193
