comparison	sample_id	feature	difference
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep1	Raw	0.49976712824504
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep2	Raw	0.33984333930196
tumor_vs_non_neoplastic_epithelium	SN123_A595688_Rep1	Raw	0.100288062287553
tumor_vs_non_neoplastic_epithelium	SN123_A938797_Rep1_X	Raw	0.316576970350514
tumor_vs_non_neoplastic_epithelium	SN124_A595688_Rep2	Raw	0.192410266731901
tumor_vs_non_neoplastic_epithelium	SN124_A938797_Rep2	Raw	0.701565918636784
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep1	Adjusted	0.189083146459255
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep2	Adjusted	0.149838846164231
tumor_vs_non_neoplastic_epithelium	SN123_A595688_Rep1	Adjusted	0.128628975809643
tumor_vs_non_neoplastic_epithelium	SN123_A938797_Rep1_X	Adjusted	0.264139224558837
tumor_vs_non_neoplastic_epithelium	SN124_A595688_Rep2	Adjusted	0.218559595240019
tumor_vs_non_neoplastic_epithelium	SN124_A938797_Rep2	Adjusted	0.58050451703745
