dataset	feature	n_expected	n_present	coverage_fraction
GSE114059	Candidate up	4	4	1
GSE114059	Candidate down	4	4	1
GSE114059	WNT/stem	7	7	1
GSE114059	Proliferation	8	8	1
GSE114059	Epithelial control	8	8	1
GSE67186	Candidate up	4	3	0.75
GSE67186	Candidate down	4	4	1
GSE67186	WNT/stem	7	7	1
GSE67186	Proliferation	8	8	1
GSE67186	Epithelial control	8	8	1
GSE130822	Candidate up	4	3	0.75
GSE130822	Candidate down	4	4	1
GSE130822	WNT/stem	7	7	1
GSE130822	Proliferation	8	8	1
GSE130822	Epithelial control	8	8	1
GSE171910	Candidate up	4	4	1
GSE171910	Candidate down	4	4	1
GSE171910	WNT/stem	7	7	1
GSE171910	Proliferation	8	8	1
GSE171910	Epithelial control	8	8	1
