target	distance_metric	n_ranked_genes	spearman_rho_between_seeds	spearman_p_value	top5pct_jaccard_between_seeds	target_group
TCF7L2	KL	2197	0.929684079744703	0	0.176470588235294	Upstream targets
ASCL2	KL	2197	0.773844909958162	0	0.202185792349727	Upstream targets
SOX4	KL	2197	0.538867032724157	1.00377475663156e-165	0.0784313725490196	Upstream targets
LGALS3	KL	2197	0.999284830256425	0	0.864406779661017	Historical panel genes
COX6C	KL	2197	0.991529905876795	0	0.88034188034188	Historical panel genes
NDUFA1	KL	2197	0.9994914807713	0	0.91304347826087	Historical panel genes
SLC7A5	KL	2197	0.858576847765632	0	0.746031746031746	Historical panel genes
CYCS	KL	2197	0.995251036807863	0	0.774193548387097	Historical panel genes
AXIN2	KL	2197	0.888750023162778	0	0.486486486486487	Historical panel genes
LRRC19	KL	2197	0.978090321414468	0	0.654135338345865	Historical panel genes
SDC3	KL	2197	0.964341803546888	0	0.80327868852459	Historical panel genes
ETHE1	KL	2197	0.97558916350709	0	0.654135338345865	Historical panel genes
DPEP1	KL	2197	0.877764887393413	0	0.571428571428571	Historical panel genes
