pairs	total_genes	oof_spearman	donor_bootstrap_se	ci_low	ci_high	maximum_fidelity_pairs	maximum_fidelity	one_se_threshold	one_se_pairs	monotone_oof_spearman	normalized_knee_distance	selected_pairs	primary_size_rule
1	2	0.689426268373637	0.100886406089323	0.44599826984219	0.829720639448946	18	0.977714556661925	0.963878060808434	14	0.689426268373637	0	6	Kneedle maximum normalized distance after monotone envelope
2	4	0.833333333333333	0.0678081146453075	0.667247459584259	0.926811374326082	18	0.977714556661925	0.963878060808434	14	0.833333333333333	0.464694872958258	6	Kneedle maximum normalized distance after monotone envelope
3	6	0.865101944049313	0.0583543997838485	0.722134606049847	0.941338228273509	18	0.977714556661925	0.963878060808434	14	0.865101944049313	0.540409482758621	6	Kneedle maximum normalized distance after monotone envelope
4	8	0.903745851114272	0.0504076309627499	0.779274083010438	0.96729452148131	18	0.977714556661925	0.963878060808434	14	0.903745851114272	0.63997277676951	6	Kneedle maximum normalized distance after monotone envelope
5	10	0.913703176861072	0.0453343529567505	0.798756493305753	0.970158153888338	18	0.977714556661925	0.963878060808434	14	0.913703176861072	0.640029491833031	6	Kneedle maximum normalized distance after monotone envelope
6	12	0.929113323850166	0.0363346388632555	0.832777752187926	0.97168076726648	18	0.977714556661925	0.963878060808434	14	0.929113323850166	0.659000680580762	6	Kneedle maximum normalized distance after monotone envelope
7	14	0.927216690374585	0.040271166230407	0.822337458508563	0.973687193275222	18	0.977714556661925	0.963878060808434	14	0.929113323850166	0.624517921960073	6	Kneedle maximum normalized distance after monotone envelope
8	16	0.938833570412518	0.0341586962980163	0.847681375893587	0.980015323123932	18	0.977714556661925	0.963878060808434	14	0.938833570412518	0.623752268602541	6	Kneedle maximum normalized distance after monotone envelope
9	18	0.942389758179232	0.0353854347868313	0.845984675587176	0.981316114862694	18	0.977714556661925	0.963878060808434	14	0.942389758179232	0.601605036297641	6	Kneedle maximum normalized distance after monotone envelope
10	20	0.947131341868184	0.0344979157511758	0.852054007851125	0.982215726455292	18	0.977714556661925	0.963878060808434	14	0.947131341868184	0.583569646098004	6	Kneedle maximum normalized distance after monotone envelope
