dataset	specimen_id	donor_id	polyp_type	sample_classification	route_group	n_cells	panel_id	panel_label	panel_score	panel	tissue
validation	HTA11_10167_2000002021	HTA11_10167	NL	NL	normal	887	full_core_287	Full error-controlled core (287)	-0.662629082266787	287-gene core	Normal
validation	HTA11_10623_2000001011	HTA11_10623	TA	AD	conventional_adenoma	911	full_core_287	Full error-controlled core (287)	0.418457150770769	287-gene core	Adenoma
validation	HTA11_10711_2000001011	HTA11_10711	TA	AD	conventional_adenoma	473	full_core_287	Full error-controlled core (287)	2.62975849892788	287-gene core	Adenoma
validation	HTA11_11156_2000001011	HTA11_11156	TA	AD	conventional_adenoma	286	full_core_287	Full error-controlled core (287)	2.28404966078718	287-gene core	Adenoma
validation	HTA11_11167_2000001011	HTA11_11167	TA	AD	conventional_adenoma	655	full_core_287	Full error-controlled core (287)	0.909281647127285	287-gene core	Adenoma
validation	HTA11_3918_2000002011	HTA11_3918	NL	NL	normal	1128	full_core_287	Full error-controlled core (287)	0.0772118843837888	287-gene core	Normal
validation	HTA11_3918_2000002021	HTA11_3918	NL	NL	normal	1159	full_core_287	Full error-controlled core (287)	0.16054931037716	287-gene core	Normal
validation	HTA11_4255_2000002011	HTA11_4255	NL	NL	normal	1097	full_core_287	Full error-controlled core (287)	-0.625923759412128	287-gene core	Normal
validation	HTA11_4255_2000002021	HTA11_4255	NL	NL	normal	1220	full_core_287	Full error-controlled core (287)	-1.17406433083007	287-gene core	Normal
validation	HTA11_6182_2000001011	HTA11_6182	TV	AD	conventional_adenoma	422	full_core_287	Full error-controlled core (287)	2.30354798992245	287-gene core	Adenoma
validation	HTA11_6298_2000002011	HTA11_6298	NL	NL	normal	1370	full_core_287	Full error-controlled core (287)	-1.15959629413034	287-gene core	Normal
validation	HTA11_6801_2000001021	HTA11_6801	TA	AD	conventional_adenoma	1014	full_core_287	Full error-controlled core (287)	0.0582666947804088	287-gene core	Adenoma
validation	HTA11_6801_2000002011	HTA11_6801	NL	NL	normal	495	full_core_287	Full error-controlled core (287)	-1.1362443988272	287-gene core	Normal
validation	HTA11_6801_2000002021	HTA11_6801	NL	NL	normal	1194	full_core_287	Full error-controlled core (287)	-1.17900635937924	287-gene core	Normal
validation	HTA11_6818_2000001011	HTA11_6818	TA	AD	conventional_adenoma	1142	full_core_287	Full error-controlled core (287)	2.37570904306202	287-gene core	Adenoma
validation	HTA11_6818_2000001021	HTA11_6818	TV	AD	conventional_adenoma	1523	full_core_287	Full error-controlled core (287)	2.42518028574092	287-gene core	Adenoma
validation	HTA11_6818_2000002011	HTA11_6818	NL	NL	normal	1365	full_core_287	Full error-controlled core (287)	-0.653957756478971	287-gene core	Normal
validation	HTA11_6818_2000002021	HTA11_6818	NL	NL	normal	1181	full_core_287	Full error-controlled core (287)	-0.642223491037586	287-gene core	Normal
validation	HTA11_7029_2000002011	HTA11_7029	NL	NL	normal	913	full_core_287	Full error-controlled core (287)	-0.967737182294858	287-gene core	Normal
validation	HTA11_7128_2000001011	HTA11_7128	TA	AD	conventional_adenoma	163	full_core_287	Full error-controlled core (287)	2.53322132144381	287-gene core	Adenoma
validation	HTA11_7469_2000001011	HTA11_7469	TA	AD	conventional_adenoma	1356	full_core_287	Full error-controlled core (287)	-1.29351260108468	287-gene core	Adenoma
validation	HTA11_7469_2000002011	HTA11_7469	NL	NL	normal	2083	full_core_287	Full error-controlled core (287)	-1.32853122503406	287-gene core	Normal
validation	HTA11_7469_2000002021	HTA11_7469	NL	NL	normal	1799	full_core_287	Full error-controlled core (287)	-1.4447139988852	287-gene core	Normal
validation	HTA11_7663_2000002011	HTA11_7663	NL	NL	normal	822	full_core_287	Full error-controlled core (287)	0.284132201143818	287-gene core	Normal
validation	HTA11_7663_2000002021	HTA11_7663	NL	NL	normal	2171	full_core_287	Full error-controlled core (287)	-0.358133214172957	287-gene core	Normal
validation	HTA11_7696_3000711011	HTA11_7696	TA	AD	conventional_adenoma	1188	full_core_287	Full error-controlled core (287)	2.97350568726793	287-gene core	Adenoma
validation	HTA11_7696_3000712011	HTA11_7696	NL	NL	normal	741	full_core_287	Full error-controlled core (287)	-1.03265371082625	287-gene core	Normal
validation	HTA11_7862_2000001011	HTA11_7862	TA	AD	conventional_adenoma	857	full_core_287	Full error-controlled core (287)	-0.0962342206997576	287-gene core	Adenoma
validation	HTA11_7862_2000002011	HTA11_7862	NL	NL	normal	543	full_core_287	Full error-controlled core (287)	-0.357730499476276	287-gene core	Normal
validation	HTA11_7862_2000002021	HTA11_7862	NL	NL	normal	1098	full_core_287	Full error-controlled core (287)	-0.987646840541294	287-gene core	Normal
validation	HTA11_7956_2000002011	HTA11_7956	NL	NL	normal	1012	full_core_287	Full error-controlled core (287)	-1.55083603958193	287-gene core	Normal
validation	HTA11_7956_2000002021	HTA11_7956	NL	NL	normal	905	full_core_287	Full error-controlled core (287)	-0.941885518964199	287-gene core	Normal
validation	HTA11_8099_2000002011	HTA11_8099	NL	NL	normal	1101	full_core_287	Full error-controlled core (287)	-0.921765077558746	287-gene core	Normal
validation	HTA11_8099_2000002021	HTA11_8099	NL	NL	normal	1032	full_core_287	Full error-controlled core (287)	-0.91316276627363	287-gene core	Normal
validation	HTA11_8504_2000002011	HTA11_8504	NL	NL	normal	511	full_core_287	Full error-controlled core (287)	-0.609657196369476	287-gene core	Normal
validation	HTA11_8504_2000002021	HTA11_8504	NL	NL	normal	1794	full_core_287	Full error-controlled core (287)	-0.169850095051723	287-gene core	Normal
