gene	expected_direction_x	direction_stability	n_pairs	median_normal	median_adenoma	median_paired_delta	mean_paired_delta	mean_delta_ci_low	mean_delta_ci_high	paired_cohen_dz	paired_positive_fraction	p_paired_wilcoxon	p_paired_t	expected_direction_y	gse117606_direction_match	q_paired_wilcoxon_bh_candidates	panel_id	panel_label	arm
SOX4	1	1	51	5.2217387	6.330301877	1.120434232	1.07399500931373	0.936001866056551	1.2119881525709	2.18899256027137	0.96078431372549	6.9272398559672e-10	6.92944860656856e-21	1	True	7.06050006624962e-09	objective_12	Objective Kneedle panel (12)	Up arm
AXIN2	1	1	51	4.460037661	6.889357867	2.389566803	2.13458252031373	1.85043773264953	2.41872730797792	2.1128700377914	0.96078431372549	1.1767500110416e-09	3.00193178157428e-20	1	True	7.06050006624962e-09	objective_12	Objective Kneedle panel (12)	Up arm
ASCL2	1	1	51	2.763293571	4.429615488	1.728582282	1.4703339254902	1.20477679274031	1.73589105824008	1.55724712098163	0.92156862745098	3.9437103979959e-09	3.99441500235584e-15	1	True	1.57748415919836e-08	objective_12	Objective Kneedle panel (12)	Up arm
DPEP1	1	1	51	4.584561961	5.53521827	1.143377838	0.994308937470588	0.740440537345766	1.24817733759541	1.10157032131484	0.862745098039216	3.37129532764376e-08	2.67415939694491e-10	1	True	1.01138859829313e-07	objective_12	Objective Kneedle panel (12)	Up arm
LRRC19	-1	1	51	5.12216072	4.189081017	-1.084060411	-1.10176000131373	-1.41018515854209	-0.79333484408536	-1.00470077272658	0.156862745098039	2.40721567699979e-07	3.1955826324693e-09	-1	True	5.7773176247995e-07	objective_12	Objective Kneedle panel (12)	Down arm
ETHE1	-1	1	51	6.776367891	6.241779022	-0.664446139	-0.518252014137255	-0.693904479153629	-0.342599549120881	-0.829824550416452	0.215686274509804	4.77924715916793e-06	2.8504346009835e-07	-1	True	9.55849431833586e-06	objective_12	Objective Kneedle panel (12)	Down arm
CYCS	-1	1	51	3.76084611	3.281470365	-0.511977627	-0.469178760647059	-0.633895628581906	-0.304461892712211	-0.801124101684099	0.235294117647059	6.81891022233489e-06	5.91712257526285e-07	-1	True	1.16895603811455e-05	objective_12	Objective Kneedle panel (12)	Down arm
NDUFA1	-1	1	51	7.42482338	7.160061491	-0.197882488	-0.185477528627451	-0.278352591745663	-0.0926024655092391	-0.561683554242036	0.254901960784314	0.00033062999843434	0.000201815888140382	-1	True	0.000495944997651509	objective_12	Objective Kneedle panel (12)	Down arm
LGALS3	-1	1	51	8.963161002	8.585555164	-0.329533552999999	-0.455882266333333	-0.671383079994983	-0.240381452671684	-0.594981296773072	0.274509803921569	0.000455448230030063	9.34505615419072e-05	-1	True	0.000607264306706751	objective_12	Objective Kneedle panel (12)	Down arm
SLC7A5	1	1	51	3.039196232	3.690018004	0.435494868	0.465768003509804	0.195993080330439	0.735542926689169	0.48558761655637	0.745098039215686	0.000542568961231243	0.00108834419651467	1	True	0.000651082753477492	objective_12	Objective Kneedle panel (12)	Up arm
SDC3	1	1	51	5.578074703	5.452284147	-0.126744463	-0.0741209418823529	-0.253052388835982	0.104810505071276	-0.116507473628887	0.411764705882353	0.311378181939511	0.409348448994302	1	False	0.339685289388557	objective_12	Objective Kneedle panel (12)	Up arm
COX6C	-1	1	51	6.048949174	6.185256735	-0.0289033510000003	0.0264955796078432	-0.14367865449186	0.196669813707546	0.0437904239035093	0.470588235294118	0.895594522568835	0.755789360247074	-1	True	0.895594522568835	objective_12	Objective Kneedle panel (12)	Down arm
