study_id	outcome	state	n_observations	n_donors	n_target_donors	n_reference_donors	coef	se_cluster	ci_low	ci_high	p_value	label	study_short	state_short	label_short
Chen_2021_Cell	score__ca_route_signature	polyp_epithelial	130	95	86	44	0.46018712412551	0.0533702153761729	0.354219310398649	0.566154937852371	1.55361231287246e-13	Chen 2021 Cell · polyp epithelial	Chen 2021	polyp epithelium	Chen 2021 · polyp epithelium
Chen_2021_Cell	score__ca_route_signature	polyp_cancer	123	93	79	44	0.794304949379794	0.0791849796256659	0.637036744837205	0.951573153922383	1.96612426991454e-16	Chen 2021 Cell · polyp cancer	Chen 2021	polyp cancer	Chen 2021 · polyp cancer
Pelka_2021_Cell	score__ca_route_signature	tumor_cancer	89	59	59	30	0.666184732986882	0.0707688141888171	0.524525560292902	0.807843905680863	2.77548759153065e-13	Pelka 2021 Cell · tumor cancer	Pelka 2021	primary cancer	Pelka 2021 · primary cancer
Chen_2021_Cell	score__ca_route_signature	tumor_cancer	48	47	4	44	1.58259645102377	0.244036795934502	1.09137585851282	2.07381704353473	5.41019197135814e-08	Chen 2021 Cell · tumor cancer	Chen 2021	primary cancer	Chen 2021 · primary cancer
Pelka_2021_Cell	score__ca_route_signature	tumor_epithelial	36	33	6	30	1.20951841355757	0.185050085126055	0.832583724954176	1.58645310216096	2.32020201076288e-07	Pelka 2021 Cell · tumor epithelial	Pelka 2021	primary epithelium	Pelka 2021 · primary epithelium
Lee_2020_Nat_Genet	score__ca_route_signature	tumor_cancer	33	25	25	8	0.458740185528122	0.135894798849319	0.178267105650283	0.739213265405961	0.00250256779335148	Lee 2020 Nat Genet · tumor cancer	Lee 2020	primary cancer	Lee 2020 · primary cancer
Chen_2024_Cancer_Cell	score__ca_route_signature	tumor_epithelial	27	20	7	20	0.587896459788205	0.100451900080247	0.377648216609229	0.798144702967182	1.22967621604918e-05	Chen 2024 Cancer Cell · tumor epithelial	Chen 2024	primary epithelium	Chen 2024 · primary epithelium
Chen_2024_Cancer_Cell	score__ca_route_signature	tumor_cancer	40	20	20	20	0.32901012124051	0.0822272525516271	0.156906503722047	0.501113738758972	0.000764043238121395	Chen 2024 Cancer Cell · tumor cancer	Chen 2024	primary cancer	Chen 2024 · primary cancer
Li_2023_Cancer_Cell	score__ca_route_signature	tumor_cancer	24	17	17	7	0.281644224680074	0.0955892985395508	0.0790039641572377	0.48428448520291	0.00948129567270368	Li 2023 Cancer Cell · tumor cancer	Li 2023	primary cancer	Li 2023 · primary cancer
Liu_2024_Cancer_Res	score__ca_route_signature	tumor_cancer	17	14	13	4	1.42270500891084	0.230815418385335	0.924058613602813	1.92135140421886	3.41113876016348e-05	Liu 2024 Cancer Res · tumor cancer	Liu 2024	primary cancer	Liu 2024 · primary cancer
Liu_2024_Cancer_Res	score__ca_route_signature	metastasis_cancer	16	13	12	4	0.858727146602626	0.357920442979728	0.078885493438217	1.63856879976703	0.0335668266929821	Liu 2024 Cancer Res · metastasis cancer	Liu 2024	metastasis cancer	Liu 2024 · metastasis cancer
MUI_Innsbruck	score__ca_route_signature	tumor_epithelial	16	12	4	12	0.586259735434777	0.140683111742887	0.276618294213169	0.895901176656386	0.00157003182247106	MUI Innsbruck · tumor epithelial	MUI Innsbruck	primary epithelium	MUI Innsbruck · primary epithelium
MUI_Innsbruck	score__ca_route_signature	tumor_cancer	23	12	11	12	0.698940818701389	0.181889413857607	0.298604918023029	1.09927671937975	0.00273389213200736	MUI Innsbruck · tumor cancer	MUI Innsbruck	primary cancer	MUI Innsbruck · primary cancer
Uhlitz_2021_EMBO_Mol_Med	score__ca_route_signature	tumor_cancer	20	12	10	10	0.814128805415679	0.224081631361649	0.320928460139565	1.30732915069179	0.00393471183264771	Uhlitz 2021 EMBO Mol Med · tumor cancer	Uhlitz 2021	primary cancer	Uhlitz 2021 · primary cancer
Khaliq_2022_Genome_Biol	score__ca_route_signature	tumor_cancer	12	10	7	5	0.0402934816482913	0.498979248031758	-1.08847599837441	1.16906296167099	0.937406529405256	Khaliq 2022 Genome Biol · tumor cancer	Khaliq 2022	primary cancer	Khaliq 2022 · primary cancer
Li_2023_Cancer_Cell	score__ca_route_signature	tumor_epithelial	12	8	5	7	0.662090806213248	0.12269429607206	0.37196489818915	0.952216714237346	0.00101253258572617	Li 2023 Cancer Cell · tumor epithelial	Li 2023	primary epithelium	Li 2023 · primary epithelium
