figure	format	file	width_mm	height_mm	resolution_dpi	file_size_bytes	sha256
figure1_discovery_core_and_objective_reduction	SVG	figures/communications_biology_v1.2/figure1_discovery_core_and_objective_reduction.svg	170	217.999		81575	c72a5dece593324a49af4f369fce510f84b288095f10df5333bdec3d0d9a44c4
figure1_discovery_core_and_objective_reduction	PDF	figures/communications_biology_v1.2/figure1_discovery_core_and_objective_reduction.pdf	170	217.999		74643	43199918a3b55d1a69df699983a59d0218d981951e05aba5e6370c06d989a7df
figure1_discovery_core_and_objective_reduction	TIFF	figures/communications_biology_v1.2/figure1_discovery_core_and_objective_reduction.tiff	170	217.999	600	1133966	2da061698b19cc1cdc709b91bc7a7338c5a484cb3ae21aa3dd9a228039584bd8
figure1_discovery_core_and_objective_reduction	PNG	figures/communications_biology_v1.2/figure1_discovery_core_and_objective_reduction.png	170	217.999	300	371391	81bb07df90f825f7c71354b0234d54ea1605257341d26e08ce55595e48207ba6
figure2_independent_replication_and_ffpe	SVG	figures/communications_biology_v1.2/figure2_independent_replication_and_ffpe.svg	170	148.001		65208	655da3fdabc91e650a242bdebe1f7298502b35c594a9c9f21120fcc1d6269316
figure2_independent_replication_and_ffpe	PDF	figures/communications_biology_v1.2/figure2_independent_replication_and_ffpe.pdf	170	148.001		49650	735148730a4bf82e5c8dcd5d7cfdd424d7d1a5fc065172661fb1ab849a4a3b3b
figure2_independent_replication_and_ffpe	TIFF	figures/communications_biology_v1.2/figure2_independent_replication_and_ffpe.tiff	170	148.001	600	637022	31a31bca7bd4867ea689e145fb9659abd32eaea8124d682985ba605b833106f0
figure2_independent_replication_and_ffpe	PNG	figures/communications_biology_v1.2/figure2_independent_replication_and_ffpe.png	170	148.001	300	246824	521f65c1ead01d7c93d70c5cda4c324d196667832062a9fa6cf81af44879ba97
figure3_rna_atac_regulatory_support	SVG	figures/communications_biology_v1.2/figure3_rna_atac_regulatory_support.svg	170	163.999		73114	c61727b14f6432b9646a37015d483f38179bdfc4a488433c1476275e2091ccb4
figure3_rna_atac_regulatory_support	PDF	figures/communications_biology_v1.2/figure3_rna_atac_regulatory_support.pdf	170	163.999		61516	4c8e5404b5a1ce00cc8ab9330be192677d03744dbb14a118a6b6f1eb46cda45c
figure3_rna_atac_regulatory_support	TIFF	figures/communications_biology_v1.2/figure3_rna_atac_regulatory_support.tiff	170	163.999	600	753244	8a9e02ace58094fc0fbe935152a39782380350c17ec8fd83e94dc60a80628ba8
figure3_rna_atac_regulatory_support	PNG	figures/communications_biology_v1.2/figure3_rna_atac_regulatory_support.png	170	163.999	300	273985	872ed360b27bea27a5e5ba344519dcddafe6f607e6757d973557a248f44bc15e
figure4_crc_atlas_cross_sectional_recurrence	SVG	figures/communications_biology_v1.2/figure4_crc_atlas_cross_sectional_recurrence.svg	170	202.001		144433	daf30baaef94fa8642a068c5c129d1ea34f702f9e061bf6cd05f615b700fe3f3
figure4_crc_atlas_cross_sectional_recurrence	PDF	figures/communications_biology_v1.2/figure4_crc_atlas_cross_sectional_recurrence.pdf	170	202.001		64118	c8a84b6600cac19ec54b6151c261c49ccaab8adb5f7e47b0544b1a1909d4021f
figure4_crc_atlas_cross_sectional_recurrence	TIFF	figures/communications_biology_v1.2/figure4_crc_atlas_cross_sectional_recurrence.tiff	170	202.001	600	946558	5b0acecef95e7259672de0b2ed9317048ba3fc295ad4b49a3aeaf25899ffcb8a
figure4_crc_atlas_cross_sectional_recurrence	PNG	figures/communications_biology_v1.2/figure4_crc_atlas_cross_sectional_recurrence.png	170	202.001	300	305963	b6fcb2e2956d96bdce078a37c9a7f2b2a96755798625582c5b88e7835ea85e82
figure5_empirical_and_virtual_perturbation_support	SVG	figures/communications_biology_v1.2/figure5_empirical_and_virtual_perturbation_support.svg	170	198		64642	51134e9a02a74430b00572ce130a6dfeb6ce3b39415b3e1d19a77447551f6989
figure5_empirical_and_virtual_perturbation_support	PDF	figures/communications_biology_v1.2/figure5_empirical_and_virtual_perturbation_support.pdf	170	198		68563	6dc6ecc9c761137d29dec2cf59f9016cb110d985e1ed26c2a1abaaf3169e8d09
figure5_empirical_and_virtual_perturbation_support	TIFF	figures/communications_biology_v1.2/figure5_empirical_and_virtual_perturbation_support.tiff	170	198	600	717106	d95699a962499e35dae3407fa5085e2ff267f4b908920d42624f4138617b1c95
figure5_empirical_and_virtual_perturbation_support	PNG	figures/communications_biology_v1.2/figure5_empirical_and_virtual_perturbation_support.png	170	198	300	284172	ceee3aa0dcf5a64f4b1a8a74c5b4c41303651a07b7d1ee9a0577a8fd2ba26d2c
figure6_spatial_and_protein_context	SVG	figures/communications_biology_v1.2/figure6_spatial_and_protein_context.svg	170	182.002		522442	4bf6f8677cb6c19fd4c52e9055803082b6724ab7d3de148c9ab821cd2d8032a2
figure6_spatial_and_protein_context	PDF	figures/communications_biology_v1.2/figure6_spatial_and_protein_context.pdf	170	182.002		190627	4e68093ac03210c036cd19f8239cb34a765d7dea8fd66659398497612ec609af
figure6_spatial_and_protein_context	TIFF	figures/communications_biology_v1.2/figure6_spatial_and_protein_context.tiff	170	182.002	600	1187104	ad6894e370199f77d90e9b3a64224c295b3d58a3583bff85a853651b1b1cf239
figure6_spatial_and_protein_context	PNG	figures/communications_biology_v1.2/figure6_spatial_and_protein_context.png	170	182.002	300	366400	e305e1fb40af957b0e64c6f9922547ad158c13a327dd98cfa13eb692b3c002ab
figureS1_core_composition_and_portability	SVG	figures/communications_biology_v1.2/figureS1_core_composition_and_portability.svg	170	142		937430	5a881ed9c38d6bad6a4b08378bc4100b77570515d9af69536d46a3fb7cdd11d7
figureS1_core_composition_and_portability	PDF	figures/communications_biology_v1.2/figureS1_core_composition_and_portability.pdf	170	142		213110	2ac7c1158807c52a584f173a939d863888008c1fe5d69d3fc37aede36786f064
figureS1_core_composition_and_portability	TIFF	figures/communications_biology_v1.2/figureS1_core_composition_and_portability.tiff	170	142	600	679110	29775cd62dfda5499f4c4d17ef9781d18bdb0cdef22526a437b015894a62e688
figureS1_core_composition_and_portability	PNG	figures/communications_biology_v1.2/figureS1_core_composition_and_portability.png	170	142	300	242040	50ed52bc83a03fbb8538d09cb6965d5ddd558e8c6b1a1b3ccfaf548f3ecc742c
figureS2_external_and_ffpe_sensitivity	SVG	figures/communications_biology_v1.2/figureS2_external_and_ffpe_sensitivity.svg	170	142		46271	4d1bf41fde881e03ed003622e6f0cf53a975abc63239223b2260da1d93b1383f
figureS2_external_and_ffpe_sensitivity	PDF	figures/communications_biology_v1.2/figureS2_external_and_ffpe_sensitivity.pdf	170	142		44111	bfd19f74a90e1d653643de1ed9296584a3ebbd8ff93a842db6e6d41e2b8d9022
figureS2_external_and_ffpe_sensitivity	TIFF	figures/communications_biology_v1.2/figureS2_external_and_ffpe_sensitivity.tiff	170	142	600	542234	07921a8bc1351cc126b2a050bab7bbaf1ca731e30d799d88de1c16dd2fa2a181
figureS2_external_and_ffpe_sensitivity	PNG	figures/communications_biology_v1.2/figureS2_external_and_ffpe_sensitivity.png	170	142	300	241978	efe3861637a64f9d8391ea5ee3efbdd52dcb4c8818264ea540f7a801d5a19242
figureS3_signature_transparency_and_random_benchmark	SVG	figures/communications_biology_v1.2/figureS3_signature_transparency_and_random_benchmark.svg	170	159.999		65429	11fccdf7dc13b084494116f126eecbdf36319568555f692e5bdb2991e4bf2edb
figureS3_signature_transparency_and_random_benchmark	PDF	figures/communications_biology_v1.2/figureS3_signature_transparency_and_random_benchmark.pdf	170	159.999		48349	4ac9d4fd8754baa9f31d6c307a6a6783720602e384d029c92c34234b4df723ee
figureS3_signature_transparency_and_random_benchmark	TIFF	figures/communications_biology_v1.2/figureS3_signature_transparency_and_random_benchmark.tiff	170	159.999	600	492454	3246de63549f06424c1777589f74dbc9b4ecb7cb9824b674f2f1204667ec06ed
figureS3_signature_transparency_and_random_benchmark	PNG	figures/communications_biology_v1.2/figureS3_signature_transparency_and_random_benchmark.png	170	159.999	300	154020	a134449e848a6f0208db617b15e2ccc55f311b79929d051e39cf25811e046010
figureS4_rna_atac_robustness	SVG	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.svg	170	142		27708	e9c7be075e92289b8ab2aae73ca9c263f3053cd0ba5ac364f321a7401309f3c1
figureS4_rna_atac_robustness	PDF	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.pdf	170	142		37366	5b377c27506828b1d4934c661348642a3af69c1b28c8f2f1add67667270f1c03
figureS4_rna_atac_robustness	TIFF	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.tiff	170	142	600	364816	a29333ad79e50e60c4c655f59d6b12ef640e94256f2868a496bcbe0e9ed6d68b
figureS4_rna_atac_robustness	PNG	figures/communications_biology_v1.2/figureS4_rna_atac_robustness.png	170	142	300	155370	5f2934599801fd4e077ce5a0c47734331e1889ee8e42bec3d0ba58b8435b1acc
