figure	format	path	width_pixels	height_pixels	dpi	bytes	sha256	pass
figure1_discovery_core_and_objective_reduction	PDF	figures/communications_biology_v1.2/figure1_discovery_core_and_objective_reduction.pdf				74633	cd3ab7e4a7a4e9f7dad5fc5e593c59f0d374795516236d08dc6336ff630d0188	True
figure1_discovery_core_and_objective_reduction	PNG	figures/communications_biology_v1.2/figure1_discovery_core_and_objective_reduction.png	2007	2574	300.0	371453	ed748689575aa5b9b1a492751a384e0151bee570a6913c16523b522bc41ed87e	True
figure1_discovery_core_and_objective_reduction	SVG	figures/communications_biology_v1.2/figure1_discovery_core_and_objective_reduction.svg				81575	12cd7bdace0cacf3376779bf6b58711a33382f763ca73b6f5379b389c69e014c	True
figure2_independent_replication_and_ffpe	PDF	figures/communications_biology_v1.2/figure2_independent_replication_and_ffpe.pdf				49633	fa76209f7dac9e81e0503e3f7466110abde4824050706ec76c897a18799c5f4d	True
figure2_independent_replication_and_ffpe	PNG	figures/communications_biology_v1.2/figure2_independent_replication_and_ffpe.png	2007	1748	300.0	246555	4139f8a69cddbe2a5ef702660ba403b584bbbed93431edeb9cf163141183460e	True
figure2_independent_replication_and_ffpe	SVG	figures/communications_biology_v1.2/figure2_independent_replication_and_ffpe.svg				65208	60de2b062e96546302ed189eda82d6bafbee607d2140c11667060913fd4aa6a0	True
figure3_cell_state_decomposition	PDF	figures/communications_biology_v1.2/figure3_cell_state_decomposition.pdf				50734	3c9bd6ab3990e31127fe8dcb9e7a4d7e6feddb8e1a26cea4ca100a36fb09cfb6	True
figure3_cell_state_decomposition	PNG	figures/communications_biology_v1.2/figure3_cell_state_decomposition.png	2125	2669	300.0	383122	558317c092ed47d8e1398b3abd135093f772315149cc81321af4d50aefd3d6e1	True
figure3_cell_state_decomposition	SVG	figures/communications_biology_v1.2/figure3_cell_state_decomposition.svg				74549	009219e0d11b5010fb7b70ed3ad094e423ab17c5705239a7bc8376a839af2c7d	True
figure4_rna_atac_regulatory_support	PDF	figures/communications_biology_v1.2/figure4_rna_atac_regulatory_support.pdf				61516	365d70d42d5bfb8459ee9a8ce6c57f308d05d481f1870ded2768cfd699c13ddc	True
figure4_rna_atac_regulatory_support	PNG	figures/communications_biology_v1.2/figure4_rna_atac_regulatory_support.png	2007	1937	300.0	273985	872ed360b27bea27a5e5ba344519dcddafe6f607e6757d973557a248f44bc15e	True
figure4_rna_atac_regulatory_support	SVG	figures/communications_biology_v1.2/figure4_rna_atac_regulatory_support.svg				73114	c61727b14f6432b9646a37015d483f38179bdfc4a488433c1476275e2091ccb4	True
figure5_crc_atlas_cross_sectional_recurrence	PDF	figures/communications_biology_v1.2/figure5_crc_atlas_cross_sectional_recurrence.pdf				64069	7ab775d67f554b6bbe3a79368911ad4a0c95be19b5759d45289bd5dccb5a86eb	True
figure5_crc_atlas_cross_sectional_recurrence	PNG	figures/communications_biology_v1.2/figure5_crc_atlas_cross_sectional_recurrence.png	2007	2385	300.0	306281	36be8a0696a304aa68c81164426c1ce304ac3332d1c26f2a1ba86e17e8392c17	True
figure5_crc_atlas_cross_sectional_recurrence	SVG	figures/communications_biology_v1.2/figure5_crc_atlas_cross_sectional_recurrence.svg				144433	d4e4e660ac727a9ecc1607b5a5a69f12fc852cec8f02a559c7eed80ba0fe00e6	True
figure6_empirical_and_virtual_perturbation_support	PDF	figures/communications_biology_v1.2/figure6_empirical_and_virtual_perturbation_support.pdf				68563	98265687521e3a725eea104d9b9b25d5f1145852d07089e89b166b1e8dc24326	True
figure6_empirical_and_virtual_perturbation_support	PNG	figures/communications_biology_v1.2/figure6_empirical_and_virtual_perturbation_support.png	2007	2338	300.0	284172	ceee3aa0dcf5a64f4b1a8a74c5b4c41303651a07b7d1ee9a0577a8fd2ba26d2c	True
figure6_empirical_and_virtual_perturbation_support	SVG	figures/communications_biology_v1.2/figure6_empirical_and_virtual_perturbation_support.svg				64642	51134e9a02a74430b00572ce130a6dfeb6ce3b39415b3e1d19a77447551f6989	True
figure7_spatial_and_protein_context	PDF	figures/communications_biology_v1.2/figure7_spatial_and_protein_context.pdf				190628	14b3ead4a55651d01315e1079c9b44e6aedbbebc88d6ba4e66d1547b55758d3b	True
figure7_spatial_and_protein_context	PNG	figures/communications_biology_v1.2/figure7_spatial_and_protein_context.png	2007	2149	300.0	366400	e305e1fb40af957b0e64c6f9922547ad158c13a327dd98cfa13eb692b3c002ab	True
figure7_spatial_and_protein_context	SVG	figures/communications_biology_v1.2/figure7_spatial_and_protein_context.svg				522442	4bf6f8677cb6c19fd4c52e9055803082b6724ab7d3de148c9ab821cd2d8032a2	True
figureS1_core_composition_and_portability	PDF	figures/communications_biology_v1.2/figureS1_core_composition_and_portability.pdf				213110	2ac7c1158807c52a584f173a939d863888008c1fe5d69d3fc37aede36786f064	True
figureS1_core_composition_and_portability	PNG	figures/communications_biology_v1.2/figureS1_core_composition_and_portability.png	2007	1677	300.0	242040	50ed52bc83a03fbb8538d09cb6965d5ddd558e8c6b1a1b3ccfaf548f3ecc742c	True
figureS1_core_composition_and_portability	SVG	figures/communications_biology_v1.2/figureS1_core_composition_and_portability.svg				937430	5a881ed9c38d6bad6a4b08378bc4100b77570515d9af69536d46a3fb7cdd11d7	True
figureS2_external_and_ffpe_sensitivity	PDF	figures/communications_biology_v1.2/figureS2_external_and_ffpe_sensitivity.pdf				44110	a8476fb1cd37419f87d3fc1b0b524bb1f2e1dfdf1f6d6fc74a1ed60b335e5869	True
figureS2_external_and_ffpe_sensitivity	PNG	figures/communications_biology_v1.2/figureS2_external_and_ffpe_sensitivity.png	2007	1677	300.0	241978	efe3861637a64f9d8391ea5ee3efbdd52dcb4c8818264ea540f7a801d5a19242	True
