file	lines	expected_fields	min_fields	max_fields	rectangular
figure_alignment_export_manifest.tsv	29	7	7	7	TRUE
figure_alignment_qa.tsv	8	2	2	2	TRUE
figure_audit_fix_export_manifest.tsv	17	6	6	6	TRUE
figure_audit_fix_qa.tsv	9	2	2	2	TRUE
figure_export_manifest.tsv	57	8	8	8	TRUE
figure_package_audit_summary.tsv	8	2	2	2	TRUE
figure_package_format_audit.tsv	57	7	7	7	TRUE
figure_package_panel_audit.tsv	15	4	4	4	TRUE
figure_package_source_data_audit.tsv	77	6	6	6	TRUE
figure_package_text_audit.tsv	15	2	2	2	TRUE
figure_qa.tsv	9	2	2	2	TRUE
figure1_v1_2_export_manifest.tsv	5	6	6	6	TRUE
figure1_v1_2_qa.tsv	9	2	2	2	TRUE
figure1_v1_3_export_manifest.tsv	5	6	6	6	TRUE
figure1_v1_3_qa.tsv	9	2	2	2	TRUE
figure1_v1_4_export_manifest.tsv	5	6	6	6	TRUE
figure1_v1_4_qa.tsv	9	2	2	2	TRUE
figure1_v1_5_export_manifest.tsv	5	6	6	6	TRUE
figure1_v1_5_qa.tsv	9	2	2	2	TRUE
figure1_v1_6_export_manifest.tsv	5	6	6	6	TRUE
figure1_v1_6_qa.tsv	9	2	2	2	TRUE
figure1_v1_7_export_manifest.tsv	5	6	6	6	TRUE
figure1_v1_7_qa.tsv	10	2	2	2	TRUE
figure1_v1_8_export_manifest.tsv	5	6	6	6	TRUE
figure1_v1_8_qa.tsv	11	2	2	2	TRUE
figure1_v1_9_export_manifest.tsv	5	6	6	6	TRUE
figure1_v1_9_qa.tsv	12	2	2	2	TRUE
figure1a_resource_landscape.tsv	7	4	4	4	TRUE
figure1a_workflow.tsv	5	7	7	7	TRUE
figure1b_selection_flow.tsv	8	6	6	6	TRUE
figure1c_kneedle.tsv	31	14	14	14	TRUE
figure1d_hallmark.tsv	6	13	13	13	TRUE
figure1e_chen_scores.tsv	89	12	12	12	TRUE
figure1f_chen_pairs.tsv	15	4	4	4	TRUE
figure2a_external_effects.tsv	6	31	31	31	TRUE
figure2b_pooled_models.tsv	3	5	5	5	TRUE
figure2d_ffpe_pairs.tsv	103	5	5	5	TRUE
figure2e_ffpe_genes.tsv	13	20	20	20	TRUE
figure2f_becker.tsv	73	96	96	96	TRUE
figure3_models.tsv	5	15	15	15	TRUE
figure3_regulatory.tsv	9	10	10	10	TRUE
figure3_rna_atac.tsv	41	69	69	69	TRUE
figure3a_multiomic_design.tsv	5	2	2	2	TRUE
figure4_atlas.tsv	671	17	17	17	TRUE
figure4_influence.tsv	7	20	20	20	TRUE
figure4_support.tsv	47	8	8	8	TRUE
figure4_within_study.tsv	17	16	16	16	TRUE
figure5_apc.tsv	6	22	22	22	TRUE
figure5_extended.tsv	7	15	15	15	TRUE
figure5_matched.tsv	7	14	14	14	TRUE
figure5_tcf.tsv	6	11	11	11	TRUE
figure5b_apc_wnt_donor_scores.tsv	13	27	27	27	TRUE
figure5c_apc_wnt_contrasts.tsv	6	22	22	22	TRUE
figure5d_empirical_direction_calibration.tsv	9	16	16	16	TRUE
figure5e_virtual_aggregate_endpoints.tsv	7	18	18	18	TRUE
figure5f_virtual_upstream_target_tests.tsv	7	30	30	30	TRUE
figure6_pathology.tsv	47	8	8	8	TRUE
figure6_spatial_tests.tsv	9	7	7	7	TRUE
figure6_spatial_units.tsv	73	4	4	4	TRUE
figureS1_core.tsv	6128	27	27	27	TRUE
figureS4a_patient_median.tsv	13	3	3	3	TRUE
figureS4b_adjusted_models.tsv	5	15	15	15	TRUE
figureS4c_residual_correlations.tsv	5	11	11	11	TRUE
figureS4d_regulatory_windows.tsv	9	10	10	10	TRUE
figureS6_gene_stability.tsv	13	4	4	4	TRUE
figureS6_leave_one_gene.tsv	13	15	15	15	TRUE
figureS6_random_observed.tsv	5	2	2	2	TRUE
figureS6a_feature_coverage.tsv	21	6	6	6	TRUE
figureS6b_expression_matched_tests.tsv	7	16	16	16	TRUE
figureS6c_perturbation_effects.tsv	7	15	15	15	TRUE
figureS6d_stability_comparison.tsv	5	3	3	3	TRUE
figureS7a_virtual_deletion_workflow.tsv	5	4	4	4	TRUE
figureS8a_frozen_design.tsv	5	8	8	8	TRUE
figureS8b_seed_metric_robustness.tsv	27	3	3	3	TRUE
figureS8c_internal_panel_boundary.tsv	13	31	31	31	TRUE
workflow_figure_qa.tsv	7	2	2	2	TRUE
