check	pass
figure1_complete_resource_overview	TRUE
figure1_six_resource_icons_defined	TRUE
figure1_complete_selection_counts	TRUE
figure1_threshold_language	TRUE
figure1_no_internal_audit_copy	TRUE
figure1_typography_spacing	TRUE
figure1_no_legacy_abstract_axis	TRUE
figure2_numeric_precision_matches_results	TRUE
figure4_readable_study_labels	TRUE
supplementary4_no_internal_variable_names	TRUE
supplementary6_no_internal_variable_names	TRUE
supplementary6_standardised_gene_case	TRUE
figure5_frozen_signature_wording	TRUE
all_panel_tags_present_once	TRUE
