patient_id	signature_id	patient_index	tissue_group	score
25	state_shared_1843	35	Adjacent mucosa	-0.821726254245367
25	state_shared_1843	35	Adenoma	-0.0820238017296969
119	state_shared_1843	3	Adjacent mucosa	0.126675447083538
119	state_shared_1843	3	Adenoma	-0.0901018367511986
271	state_shared_1843	1	Adjacent mucosa	0.276690896608202
271	state_shared_1843	1	Adenoma	-0.523227022878145
290	state_shared_1843	10	Adjacent mucosa	0.0713858836954348
290	state_shared_1843	10	Adenoma	0.0656538020246019
355	state_shared_1843	6	Adjacent mucosa	-0.845460498041591
355	state_shared_1843	6	Adenoma	-1.04659458946551
392	state_shared_1843	43	Adjacent mucosa	-0.930272497166228
392	state_shared_1843	43	Adenoma	0.0559709388948658
435	state_shared_1843	30	Adjacent mucosa	-0.633420748230022
435	state_shared_1843	30	Adenoma	0.0149578931186269
449	state_shared_1843	45	Adjacent mucosa	-0.0832153284301933
449	state_shared_1843	45	Adenoma	1.17028749611386
533	state_shared_1843	19	Adjacent mucosa	-0.366163605117849
533	state_shared_1843	19	Adenoma	-0.0217169216167496
678	state_shared_1843	44	Adjacent mucosa	-0.451679670490572
678	state_shared_1843	44	Adenoma	0.783943411741174
692	state_shared_1843	9	Adjacent mucosa	-0.0250722906792636
692	state_shared_1843	9	Adenoma	-0.0405816777463818
744	state_shared_1843	39	Adjacent mucosa	-0.257196239649658
744	state_shared_1843	39	Adenoma	0.540661920955694
833	state_shared_1843	16	Adjacent mucosa	-0.301951174254198
833	state_shared_1843	16	Adenoma	-0.0418758792852222
921	state_shared_1843	34	Adjacent mucosa	-0.428495633769836
921	state_shared_1843	34	Adenoma	0.304977429515961
974	state_shared_1843	49	Adjacent mucosa	-0.504439908517848
974	state_shared_1843	49	Adenoma	1.21404003605073
1093	state_shared_1843	31	Adjacent mucosa	-0.442056143340723
1093	state_shared_1843	31	Adenoma	0.208860959301689
1246	state_shared_1843	21	Adjacent mucosa	-0.490688361920482
1246	state_shared_1843	21	Adenoma	-0.123579072473984
1506	state_shared_1843	51	Adjacent mucosa	-0.652936784189739
1506	state_shared_1843	51	Adenoma	1.70238275335913
1627	state_shared_1843	15	Adjacent mucosa	-0.552918484680163
1627	state_shared_1843	15	Adenoma	-0.330060947464094
1860	state_shared_1843	42	Adjacent mucosa	-0.586055840314469
1860	state_shared_1843	42	Adenoma	0.344164890644278
2089	state_shared_1843	14	Adjacent mucosa	0.00368094043272649
2089	state_shared_1843	14	Adenoma	0.218787497650545
2364	state_shared_1843	29	Adjacent mucosa	-0.197056567337764
2364	state_shared_1843	29	Adenoma	0.447078785091879
2505	state_shared_1843	12	Adjacent mucosa	-0.354642599257102
2505	state_shared_1843	12	Adenoma	-0.2497064510695
2743	state_shared_1843	40	Adjacent mucosa	-1.21899709034893
2743	state_shared_1843	40	Adenoma	-0.395202493765513
2818	state_shared_1843	26	Adjacent mucosa	0.0242034646032174
