pseudobulk_id	specimen_id	donor_id	route	cell_type	n_cells	library_size
HTA11_104_2000001011__ABS	HTA11_104_2000001011	HTA11_104	Adenoma	Absorptive	46	558423
HTA11_104_2000002011__ABS	HTA11_104_2000002011	HTA11_104	Normal	Absorptive	547	6181576
HTA11_104_2000002021__ABS	HTA11_104_2000002021	HTA11_104	Normal	Absorptive	296	2394205
HTA11_1391_2000001011__ABS	HTA11_1391_2000001011	HTA11_1391	Adenoma	Absorptive	56	372127
HTA11_1938_2000001011__ABS	HTA11_1938_2000001011	HTA11_1938	Adenoma	Absorptive	200	1835606
HTA11_1938_2000002011__ABS	HTA11_1938_2000002011	HTA11_1938	Normal	Absorptive	82	1501130
HTA11_2112_2000002021__ABS	HTA11_2112_2000002021	HTA11_2112	Normal	Absorptive	935	18181051
HTA11_2235_2000001011__ABS	HTA11_2235_2000001011	HTA11_2235	Adenoma	Absorptive	106	1023742
HTA11_2235_2000002021__ABS	HTA11_2235_2000002021	HTA11_2235	Normal	Absorptive	388	4023942
HTA11_2487_2000002011__ABS	HTA11_2487_2000002011	HTA11_2487	Normal	Absorptive	344	2537209
HTA11_2951_2000001011__ABS	HTA11_2951_2000001011	HTA11_2951	Adenoma	Absorptive	250	2250189
HTA11_2951_2000002011__ABS	HTA11_2951_2000002011	HTA11_2951	Normal	Absorptive	497	4679822
HTA11_2951_2000002021__ABS	HTA11_2951_2000002021	HTA11_2951	Normal	Absorptive	462	4249109
HTA11_3077_2000002011__ABS	HTA11_3077_2000002011	HTA11_3077	Normal	Absorptive	819	11591193
HTA11_3252_2000002011__ABS	HTA11_3252_2000002011	HTA11_3252	Normal	Absorptive	316	3811485
HTA11_3252_2000002021__ABS	HTA11_3252_2000002021	HTA11_3252	Normal	Absorptive	351	4180768
HTA11_3361_2000001011__ABS	HTA11_3361_2000001011	HTA11_3361	Adenoma	Absorptive	1679	10840336
HTA11_3361_2000002011__ABS	HTA11_3361_2000002011	HTA11_3361	Normal	Absorptive	345	2243140
HTA11_3361_2000002021__ABS	HTA11_3361_2000002021	HTA11_3361	Normal	Absorptive	648	6147580
HTA11_3410_2000001011__ABS	HTA11_3410_2000001011	HTA11_3410	Adenoma	Absorptive	206	1215909
HTA11_3410_2000002021__ABS	HTA11_3410_2000002021	HTA11_3410	Normal	Absorptive	1263	11024733
HTA11_347_2000001011__ABS	HTA11_347_2000001011	HTA11_347	Adenoma	Absorptive	1427	17033530
HTA11_377_2000001011__ABS	HTA11_377_2000001011	HTA11_377	Normal	Absorptive	544	6374764
HTA11_392_3000012011__ABS	HTA11_392_3000012011	HTA11_392	Normal	Absorptive	479	5616732
HTA11_411_2000002011__ABS	HTA11_411_2000002011	HTA11_411	Normal	Absorptive	432	4988693
HTA11_411_2000002021__ABS	HTA11_411_2000002021	HTA11_411	Normal	Absorptive	1598	14672216
HTA11_5212_2000001011__ABS	HTA11_5212_2000001011	HTA11_5212	Adenoma	Absorptive	500	5570228
HTA11_5212_2000002011__ABS	HTA11_5212_2000002011	HTA11_5212	Normal	Absorptive	272	2248062
HTA11_5216_2000002011__ABS	HTA11_5216_2000002011	HTA11_5216	Normal	Absorptive	503	5317315
HTA11_5216_2000002021__ABS	HTA11_5216_2000002021	HTA11_5216	Normal	Absorptive	867	7656146
HTA11_5363_2000002021__ABS	HTA11_5363_2000002021	HTA11_5363	Normal	Absorptive	287	2983328
HTA11_546_2000001011__ABS	HTA11_546_2000001011	HTA11_546	Adenoma	Absorptive	523	3901980
HTA11_546_2000002011__ABS	HTA11_546_2000002011	HTA11_546	Normal	Absorptive	488	7260487
HTA11_546_2000002021__ABS	HTA11_546_2000002021	HTA11_546	Normal	Absorptive	313	5178501
HTA11_6025_2000001011__ABS	HTA11_6025_2000001011	HTA11_6025	Adenoma	Absorptive	143	1687599
HTA11_6025_2000002011__ABS	HTA11_6025_2000002011	HTA11_6025	Normal	Absorptive	370	4224871
HTA11_6134_2000002021__ABS	HTA11_6134_2000002021	HTA11_6134	Normal	Absorptive	291	2791178
HTA11_6147_2000002011__ABS	HTA11_6147_2000002011	HTA11_6147	Normal	Absorptive	398	3730298
HTA11_6147_2000002021__ABS	HTA11_6147_2000002021	HTA11_6147	Normal	Absorptive	661	7599735
HTA11_6310_2000002011__ABS	HTA11_6310_2000002011	HTA11_6310	Normal	Absorptive	30	590577
HTA11_6310_2000002021__ABS	HTA11_6310_2000002021	HTA11_6310	Normal	Absorptive	407	5495703
HTA11_696_2000001011__ABS	HTA11_696_2000001011	HTA11_696	Adenoma	Absorptive	1482	13645470
HTA11_696_2000002011__ABS	HTA11_696_2000002011	HTA11_696	Normal	Absorptive	1455	18343835
HTA11_696_2000002021__ABS	HTA11_696_2000002021	HTA11_696	Normal	Absorptive	874	9579548
HTA11_78_2000001011__ABS	HTA11_78_2000001011	HTA11_78	Adenoma	Absorptive	337	2567066
HTA11_78_2000002011__ABS	HTA11_78_2000002011	HTA11_78	Normal	Absorptive	328	4246486
HTA11_83_2000002011__ABS	HTA11_83_2000002011	HTA11_83	Normal	Absorptive	295	4040707
HTA11_83_2000002021__ABS	HTA11_83_2000002021	HTA11_83	Normal	Absorptive	206	3144105
HTA11_866_2000001011__ABS	HTA11_866_2000001011	HTA11_866	Adenoma	Absorptive	1281	8233693
HTA11_104_2000002011__GOB	HTA11_104_2000002011	HTA11_104	Normal	Goblet	332	2711807
HTA11_104_2000002021__GOB	HTA11_104_2000002021	HTA11_104	Normal	Goblet	44	254399
HTA11_1391_2000001011__GOB	HTA11_1391_2000001011	HTA11_1391	Adenoma	Goblet	61	492158
