cell_type	pairs	total_genes	oof_spearman
ABS	1	2	0.872244897959184
ABS	2	4	0.860816326530612
ABS	3	6	0.913469387755102
ABS	4	8	0.939285714285714
ABS	5	10	0.958265306122449
ABS	6	12	0.95234693877551
ABS	7	14	0.953163265306122
ABS	8	16	0.950714285714286
ABS	9	18	0.935408163265306
ABS	10	20	0.937040816326531
ABS	11	22	0.932551020408163
ABS	12	24	0.931734693877551
ABS	13	26	0.925306122448979
ABS	14	28	0.916836734693877
ABS	15	30	0.913061224489796
GOB	1	2	0.893587033121917
GOB	2	4	0.908809020436927
GOB	3	6	0.915151515151515
GOB	4	8	0.955461592670895
GOB	5	10	0.940803382663848
GOB	6	12	0.932205778717407
GOB	7	14	0.944186046511628
GOB	8	16	0.944890768146582
GOB	9	18	0.944326990838619
GOB	10	20	0.940239605355884
GOB	11	22	0.957434813248767
GOB	12	24	0.95630725863284
GOB	13	26	0.945595489781536
GOB	14	28	0.936575052854123
GOB	15	30	0.927131782945737
TAC	1	2	0.889024390243903
TAC	2	4	0.864808362369338
TAC	3	6	0.923344947735192
TAC	4	8	0.962369337979094
TAC	5	10	0.951219512195122
TAC	6	12	0.970557491289199
TAC	7	14	0.968989547038328
TAC	8	16	0.978919860627178
TAC	9	18	0.966898954703833
TAC	10	20	0.962369337979094
TAC	11	22	0.9602787456446
TAC	12	24	0.951742160278746
TAC	13	26	0.952961672473868
TAC	14	28	0.939024390243903
TAC	15	30	0.939895470383275
