gene	arm	selected_folds	selection_frequency_donor_heldout	selected_bootstraps	selection_frequency_donor_bootstrap	selected
ASCL2	up	0	0	108	0.054	FALSE
PRDX6	down	0	0	156	0.078	FALSE
CYCS	down	0	0	171	0.0855	FALSE
CALM1	down	0	0	184	0.092	FALSE
SOX4	up	0	0	233	0.1165	FALSE
L1TD1	up	0	0	250	0.125	FALSE
PCNA	down	0	0	259	0.1295	FALSE
REG4	up	6	0.222222222222222	367	0.1835	FALSE
COX5A	down	1	0.037037037037037	461	0.2305	FALSE
TPT1	down	1	0.037037037037037	493	0.2465	FALSE
ACAA2	down	19	0.703703703703704	568	0.284	TRUE
SPINK4	up	0	0	590	0.295	FALSE
RNF43	up	23	0.851851851851852	1158	0.579	TRUE
B2M	down	24	0.888888888888889	1186	0.593	TRUE
CD9	down	11	0.407407407407407	1284	0.642	FALSE
COX6C	down	25	0.925925925925926	1498	0.749	TRUE
REG1A	up	26	0.962962962962963	1500	0.75	TRUE
CALM2	down	27	1	1587	0.7935	TRUE
LTBP1	up	26	0.962962962962963	1599	0.7995	TRUE
EPHB2	up	27	1	1998	0.999	TRUE
