gene	common_effect	common_se	common_z	common_p_value	logFC_ABS	logFC_GOB	logFC_TAC	discovery_common_effect	discovery_common_z	strict_state_shared	shared_direction	expected_sign	common_direction_match	all_state_direction_match
ABCD3	-0.610920886665034	0.108845521989461	-5.61273330770728	1.99155420337698e-08	-0.765815764754064	-0.620427477874164	-0.427632914030229	-0.337870397272451	-3.22217882659298	TRUE	down	-1	TRUE	TRUE
ABHD5	-0.457044893694032	0.146699672167447	-3.11551407676187	0.00183624584157857	-0.740351028236211	-0.743614858317731	0.146818110378268	-0.520344995016802	-4.24791291970942	TRUE	down	-1	TRUE	FALSE
ABI2	0.552051987343845	0.118608298247919	4.65441284883731	3.24905223434478e-06	0.652711914998542	0.348295034822186	0.516206882432552	0.316147673591055	3.23998931509516	TRUE	up	1	TRUE	TRUE
ABLIM2	0.436578266456548	0.0966409812176836	4.51752725350704	6.25659772894543e-06	0.460902690139795	0.50463666922303	0.1473539867586	0.624529591270727	8.2861428857813	TRUE	up	1	TRUE	TRUE
ABR	0.456011772099265	0.101431642130378	4.49575460400334	6.93236511706545e-06	0.544897878637429	0.39145499163458	0.38532267352641	0.310655418298048	2.81682737187509	TRUE	up	1	TRUE	TRUE
ABRACL	-0.707133349644674	0.128610742187845	-5.4982448403249	3.83590083370052e-08	-0.940684385353114	-0.849258174059149	-0.373690089542023	-0.744651203112759	-5.48619545857756	TRUE	down	-1	TRUE	TRUE
ENSG00000235419	-0.758892647981931	0.105035946724147	-7.22507552557213	5.00823422267558e-13	-0.867664512769458	-0.865475241304857	-0.492577478639923	-0.508067517984998	-4.3140186591596	TRUE	down	-1	TRUE	TRUE
MAP3K20	0.652151985822144	0.173722374676759	3.75398958847752	0.000174042095627661	0.791283462861743	0.769136044886314	0.547648179566044	0.667777925275057	5.13982564356427	TRUE	up	1	TRUE	TRUE
ENSG00000236449	-0.589141844149636	0.0953055914238356	-6.1816083961921	6.34517682801856e-10	-0.729812217053674	-0.580066290984562	-0.537196037409746	-0.770108098251019	-7.53041463526676	TRUE	down	-1	TRUE	TRUE
ENSG00000225421	-0.626203951818365	0.156722222677686	-3.99562959942326	6.45225479724792e-05	-0.385964556946568	-0.850151461860776	-0.42987305559158	-0.323922154557206	-3.07051660636784	TRUE	down	-1	TRUE	TRUE
ENSG00000249319	0.542166173977929	0.161292975615693	3.36137498802012	0.00077555455088452	0.736717823413351	0.55960667766585	0.0579293656165636	0.419771450831181	3.81131165527984	TRUE	up	1	TRUE	TRUE
EPCAM-DT	0.325373097829787	0.102584125572989	3.17176849743952	0.00151513735592476	0.450902519263267	0.24208894246416	0.243072722913327	0.373017868253698	3.54203447368723	TRUE	up	1	TRUE	TRUE
ENSG00000226963	1.08766335154713	0.146752343957101	7.41155692794299	1.24825193742611e-13	1.13322711939494	1.39026681625249	0.830573425422503	0.774405240268143	4.97943986078937	TRUE	up	1	TRUE	TRUE
ENSG00000271254	-0.622348577439603	0.131773671432907	-4.72285981465177	2.32551152624963e-06	-0.519522871412193	-0.925536112034821	-0.398216401625081	-0.681908216175817	-6.6305465454461	TRUE	down	-1	TRUE	TRUE
ACAA2	-0.682043520115838	0.118861447560925	-5.73813910322976	9.57224824487488e-09	-1.09506187092174	-0.562792376715751	-0.594260771740152	-0.713014478369503	-5.66889183034232	TRUE	down	-1	TRUE	TRUE
ACAD9	0.0137888658082655	0.0969053669317219	0.142292075711151	0.88684930550554	-0.196912869575566	0.0551522030917095	0.111211050945792	0.192388697343719	3.17613445844731	TRUE	up	1	TRUE	FALSE
ACADM	-0.68506317726107	0.114624166737173	-5.97660333559398	2.27838052986661e-09	-0.631223335825841	-0.747896162366414	-0.737171416616585	-0.477209180121831	-5.32329883758204	TRUE	down	-1	TRUE	TRUE
ACAT1	-0.667958772102867	0.124250910290013	-5.37588634597356	7.6206853657498e-08	-0.994936974683704	-0.541010012118769	-0.624460890031922	-0.625279775359167	-6.26247273742797	TRUE	down	-1	TRUE	TRUE
ACE	0.825493238199582	0.154937336574512	5.32791679817334	9.93456107925238e-08	0.683712296857319	1.15065305652506	1.05867156097642	0.635902069533163	5.18956180582566	TRUE	up	1	TRUE	TRUE
ACIN1	0.178514287046304	0.0681088742671067	2.62101361925634	0.00876687595913347	0.252835118573536	0.0888366354312169	0.115025671395026	0.231225503379027	3.57001129743176	TRUE	up	1	TRUE	TRUE
ACOT2	-0.428615109468867	0.118283416814353	-3.62362807071748	0.000290499257799312	-0.458000610211157	-0.472438046462822	-0.342034017171109	-0.360708704754175	-4.21655111877431	TRUE	down	-1	TRUE	TRUE
ACSF2	-0.450767081246169	0.111075000433726	-4.05822263773139	4.94476159189009e-05	-0.455881105670115	-0.377595300754425	-0.848612372170124	-0.595516790709343	-5.71364153913118	TRUE	down	-1	TRUE	TRUE
ACSS1	0.190028543388697	0.101284509559659	1.87618564985759	0.0606297918657054	0.296895177002332	0.227588173765901	0.00521980527859726	0.299029443929807	3.38998450714779	TRUE	up	1	TRUE	TRUE
ACSS2	-0.619863177493765	0.0862839579738581	-7.18399099959657	6.77053234571169e-13	-0.560968277750261	-0.996505521445989	-0.451411425645289	-0.32103746901606	-5.20702618883188	TRUE	down	-1	TRUE	TRUE
ACTB	-0.460092624645507	0.0899007390880797	-5.11778467354683	3.09145248626122e-07	-1.04816381231549	-0.709823856752825	-0.238498605292188	-0.467988963781049	-5.34180422967372	TRUE	down	-1	TRUE	TRUE
ACTG1	-0.484400617603155	0.103526844525318	-4.67898562758464	2.88297648393908e-06	-0.797831620992527	-0.502983601212648	-0.384357825766081	-0.514894675544123	-5.20198156204732	TRUE	down	-1	TRUE	TRUE
ACTN1	0.27760935474305	0.0839254932898733	3.30780724498342	0.000940295047198096	0.616998691929651	0.554403573474298	0.0719539427823885	0.303796113914365	5.03670352324941	TRUE	up	1	TRUE	TRUE
ACTR10	-0.818435694150713	0.162795371866527	-5.02738919888788	4.9720259441866e-07	-0.797339843265496	-1.07923752297013	-0.530307069189157	-0.817903741849333	-5.02273893205516	TRUE	down	-1	TRUE	TRUE
ACTR3	-0.605192612649562	0.0865896482902986	-6.98920280424983	2.76452560987037e-12	-0.70579681191987	-0.648188392878303	-0.197501428786449	-0.375553011522472	-3.8116187870967	TRUE	down	-1	TRUE	TRUE
ACTR3C	0.347614551956204	0.0895418611602033	3.8821457076291	0.000103538803795966	0.348385057928524	0.445263636969815	0.197678478347631	0.371458840880273	4.56684947967017	TRUE	up	1	TRUE	TRUE
ACVRL1	0.314180342452625	0.150590513021319	2.08632227986464	0.0369494398145853	0.257237380962077	0.386194097874218	0.341561290861166	0.352348614643376	2.8537250597093	TRUE	up	1	TRUE	TRUE
ADCY6	0.128635696297304	0.0882750118052134	1.45721528286113	0.145056963235409	0.201106666756436	-0.0690851883378442	0.294269537344659	0.243785224007652	3.18304886262461	TRUE	up	1	TRUE	FALSE
ADGRE3	-0.702593304069219	0.179232438147237	-3.92001197624755	8.85445683547225e-05	-0.918405900097813	-0.709757201889576	-0.382016775806983	-0.770438807209759	-4.50280308152763	TRUE	down	-1	TRUE	TRUE
ADGRE5	0.782290836732676	0.14002315252543	5.58686776167677	2.31201638630904e-08	0.642673338938671	1.0100254250514	0.861163494272247	0.641740299911244	5.91634721404701	TRUE	up	1	TRUE	TRUE
