partition	k	broad_state	fine_state	route	n_cells	n_donors	proportion	fine_label	route_label
validation	4	ABS	ABS_F1	conventional_adenoma	575	9	0.155237580993521	F1	Adenoma
validation	4	ABS	ABS_F1	normal	4705	18	0.230603342645689	F1	Normal
validation	4	ABS	ABS_F2	conventional_adenoma	1517	12	0.409557235421166	F2	Adenoma
validation	4	ABS	ABS_F2	normal	7329	18	0.359211880605793	F2	Normal
validation	4	ABS	ABS_F3	conventional_adenoma	338	9	0.0912526997840173	F3	Adenoma
validation	4	ABS	ABS_F3	normal	2786	18	0.136548546782336	F3	Normal
validation	4	ABS	ABS_F4	conventional_adenoma	1274	12	0.343952483801296	F4	Adenoma
validation	4	ABS	ABS_F4	normal	5583	18	0.273636229966181	F4	Normal
validation	4	GOB	GOB_F1	conventional_adenoma	166	8	0.111634162743779	F1	Adenoma
validation	4	GOB	GOB_F1	normal	930	17	0.213842262589101	F1	Normal
validation	4	GOB	GOB_F2	conventional_adenoma	737	12	0.495628782784129	F2	Adenoma
validation	4	GOB	GOB_F2	normal	1493	18	0.343297309726374	F2	Normal
validation	4	GOB	GOB_F3	conventional_adenoma	72	9	0.0484196368527236	F3	Adenoma
validation	4	GOB	GOB_F3	normal	561	18	0.128995171303748	F3	Normal
validation	4	GOB	GOB_F4	conventional_adenoma	512	11	0.344317417619368	F4	Adenoma
validation	4	GOB	GOB_F4	normal	1365	18	0.313865256380777	F4	Normal
validation	4	TAC	TAC_F1	conventional_adenoma	95	11	0.142428785607196	F1	Adenoma
validation	4	TAC	TAC_F1	normal	362	17	0.093298969072165	F1	Normal
validation	4	TAC	TAC_F2	conventional_adenoma	138	12	0.206896551724138	F2	Adenoma
validation	4	TAC	TAC_F2	normal	914	18	0.235567010309278	F2	Normal
validation	4	TAC	TAC_F3	conventional_adenoma	364	12	0.545727136431784	F3	Adenoma
validation	4	TAC	TAC_F3	normal	2388	18	0.615463917525773	F3	Normal
validation	4	TAC	TAC_F4	conventional_adenoma	70	9	0.104947526236882	F4	Adenoma
validation	4	TAC	TAC_F4	normal	216	17	0.0556701030927835	F4	Normal
