k	scope	model	n_strata	n_specimens	n_donors	n_adenoma_strata	n_normal_strata	estimate	standard_error	degrees_of_freedom	ci_low	ci_high	p_value	singular_fit	p_value_BH	resolution
3	All states	unweighted	264	42	23	63	201	0.0703714422267201	0.0123621619818515	34.7413363795039	0.0452682379812198	0.0954746464722203	2.01233691072633e-06	FALSE	2.68311588096844e-06	k = 3
3	ABS	unweighted	109	41	22	26	83	0.0868539913566208	0.0133912378032351	32.7641821369509	0.0596018618906358	0.114106120822606	2.40316266366753e-07	FALSE	7.20948799100259e-07	k = 3
3	GOB	unweighted	89	39	23	22	67	0.0709117675413724	0.0107296283015231	33.1357481281103	0.0490855714837127	0.0927379635990322	1.59399588385732e-07	FALSE	7.20948799100259e-07	k = 3
3	TAC	unweighted	66	38	21	15	51	0.0577969469412247	0.0145679437233301	29.221015081306	0.028011942241122	0.0875819516413274	0.000432590091710224	FALSE	0.000519108110052269	k = 3
4	All states	unweighted	287	43	23	63	224	0.0776184823159975	0.0117682334100736	35.4061517733032	0.0537374912397139	0.101499473392281	1.21119372722971e-07	FALSE	7.20948799100259e-07	k = 4
4	ABS	unweighted	135	42	22	30	105	0.0921206817093339	0.0129467609595086	33.8567550167887	0.0658055968742297	0.118435766544438	3.26965663632723e-08	FALSE	7.20948799100259e-07	k = 4
4	GOB	unweighted	91	39	23	21	70	0.0672205369403638	0.0109539193849854	33.511509738365	0.0449475358053446	0.0894935380753831	6.06931585681214e-07	FALSE	1.46995156823907e-06	k = 4
4	TAC	unweighted	61	36	20	12	49	0.0432410853116897	0.0127914990905677	22.5776465028036	0.0167524360834599	0.0697297345399196	0.00262522477471349	FALSE	0.00300025688538685	k = 4
5	All states	unweighted	337	42	23	68	269	0.0683677751150631	0.0114919272225656	34.8365595984997	0.0450340092154478	0.0917015410146784	9.16344890629513e-07	FALSE	1.49886667348535e-06	k = 5
5	ABS	unweighted	163	41	22	34	129	0.0832405292809265	0.0125073276185731	32.5453075950621	0.057780667429215	0.108700391132638	1.52039942923268e-07	FALSE	7.20948799100259e-07	k = 5
5	GOB	unweighted	104	38	23	24	80	0.0674777742851285	0.0114675993724591	32.5523387290066	0.0441345730536735	0.0908209755165834	1.42580038319572e-06	FALSE	2.01289465862925e-06	k = 5
5	TAC	unweighted	70	35	21	10	60	0.0357431595994848	0.0125358272142598	34.4218629238547	0.0102787890663954	0.0612075301325742	0.00731068296166508	FALSE	0.00762853874260704	k = 5
