rank	enrichment_score	hit	pathway
1	-0.000124393581291205	FALSE	Oxidative Phosphorylation
2	-0.000248787162582411	FALSE	Oxidative Phosphorylation
3	-0.000373180743873616	FALSE	Oxidative Phosphorylation
4	-0.000497574325164821	FALSE	Oxidative Phosphorylation
5	-0.000621967906456027	FALSE	Oxidative Phosphorylation
6	-0.000746361487747232	FALSE	Oxidative Phosphorylation
7	-0.000870755069038438	FALSE	Oxidative Phosphorylation
8	-0.000995148650329643	FALSE	Oxidative Phosphorylation
9	-0.00111954223162085	FALSE	Oxidative Phosphorylation
10	-0.00124393581291205	FALSE	Oxidative Phosphorylation
11	-0.00136832939420326	FALSE	Oxidative Phosphorylation
12	-0.00149272297549446	FALSE	Oxidative Phosphorylation
13	-0.00161711655678567	FALSE	Oxidative Phosphorylation
14	-0.00174151013807688	FALSE	Oxidative Phosphorylation
15	-0.00186590371936808	FALSE	Oxidative Phosphorylation
16	-0.00199029730065929	FALSE	Oxidative Phosphorylation
17	-0.00211469088195049	FALSE	Oxidative Phosphorylation
18	-0.0022390844632417	FALSE	Oxidative Phosphorylation
19	-0.0023634780445329	FALSE	Oxidative Phosphorylation
20	-0.00248787162582411	FALSE	Oxidative Phosphorylation
21	-0.00261226520711531	FALSE	Oxidative Phosphorylation
22	-0.00273665878840652	FALSE	Oxidative Phosphorylation
23	-0.00286105236969772	FALSE	Oxidative Phosphorylation
24	-0.00298544595098893	FALSE	Oxidative Phosphorylation
25	-0.00310983953228013	FALSE	Oxidative Phosphorylation
26	-0.00323423311357134	FALSE	Oxidative Phosphorylation
27	-0.00335862669486255	FALSE	Oxidative Phosphorylation
28	-0.00348302027615375	FALSE	Oxidative Phosphorylation
29	-0.00360741385744496	FALSE	Oxidative Phosphorylation
30	-0.00373180743873616	FALSE	Oxidative Phosphorylation
31	-0.00385620102002737	FALSE	Oxidative Phosphorylation
32	-0.00398059460131857	FALSE	Oxidative Phosphorylation
33	-0.00410498818260978	FALSE	Oxidative Phosphorylation
34	-0.00422938176390098	FALSE	Oxidative Phosphorylation
35	-0.00435377534519219	FALSE	Oxidative Phosphorylation
36	-0.00447816892648339	FALSE	Oxidative Phosphorylation
37	-0.0046025625077746	FALSE	Oxidative Phosphorylation
38	-0.0047269560890658	FALSE	Oxidative Phosphorylation
39	-0.00485134967035701	FALSE	Oxidative Phosphorylation
40	-0.00497574325164821	FALSE	Oxidative Phosphorylation
41	-0.00510013683293942	FALSE	Oxidative Phosphorylation
42	-0.00522453041423063	FALSE	Oxidative Phosphorylation
43	-0.00534892399552183	FALSE	Oxidative Phosphorylation
44	-0.00547331757681304	FALSE	Oxidative Phosphorylation
45	-0.00559771115810424	FALSE	Oxidative Phosphorylation
46	-0.00572210473939545	FALSE	Oxidative Phosphorylation
47	-0.00584649832068665	FALSE	Oxidative Phosphorylation
48	-0.00597089190197786	FALSE	Oxidative Phosphorylation
49	-0.00609528548326906	FALSE	Oxidative Phosphorylation
50	-0.00621967906456027	FALSE	Oxidative Phosphorylation
51	-0.00634407264585147	FALSE	Oxidative Phosphorylation
52	-0.00646846622714268	FALSE	Oxidative Phosphorylation
53	-0.00659285980843388	FALSE	Oxidative Phosphorylation
54	-0.00671725338972509	FALSE	Oxidative Phosphorylation
55	-0.00684164697101629	FALSE	Oxidative Phosphorylation
56	-0.0069660405523075	FALSE	Oxidative Phosphorylation
57	-0.00709043413359871	FALSE	Oxidative Phosphorylation
58	-0.00721482771488991	FALSE	Oxidative Phosphorylation
59	-0.00733922129618112	FALSE	Oxidative Phosphorylation
60	-0.00746361487747232	FALSE	Oxidative Phosphorylation
61	-0.00758800845876353	FALSE	Oxidative Phosphorylation
62	-0.00771240204005473	FALSE	Oxidative Phosphorylation
63	-0.00783679562134594	FALSE	Oxidative Phosphorylation
64	-0.00796118920263714	FALSE	Oxidative Phosphorylation
65	-0.00808558278392835	FALSE	Oxidative Phosphorylation
66	-0.00820997636521956	FALSE	Oxidative Phosphorylation
