node_id	x	y	collection	gene_set	community_id	community_label	discovery_common_direction	discovery_common_fdr	heldout_common_fdr	community_size	direction	evidence
Hallmark 2026.1.Hs::HALLMARK_ADIPOGENESIS	4.93898830291673	4.41745644064418	Hallmark 2026.1.Hs	HALLMARK_ADIPOGENESIS	1	HALLMARK_ADIPOGENESIS	Down	3.74407865405855e-05	6.68157647077375e-07	1	Down	4.42665503635893
Hallmark 2026.1.Hs::HALLMARK_BILE_ACID_METABOLISM	1.86969361226049	5.90853021149585	Hallmark 2026.1.Hs	HALLMARK_BILE_ACID_METABOLISM	2	HALLMARK_BILE_ACID_METABOLISM	Down	0.0204276151615186	0.000764882191797046	2	Down	1.68978233246929
Hallmark 2026.1.Hs::HALLMARK_FATTY_ACID_METABOLISM	-2.41669131582895	1.33970842716079	Hallmark 2026.1.Hs	HALLMARK_FATTY_ACID_METABOLISM	3	HALLMARK_FATTY_ACID_METABOLISM	Down	1.90649096238211e-08	2.57495994480338e-08	1	Down	7.58922952230674
Hallmark 2026.1.Hs::HALLMARK_HYPOXIA	3.23926825478825	4.66736168790123	Hallmark 2026.1.Hs	HALLMARK_HYPOXIA	4	HALLMARK_HYPOXIA	Down	0.0199414406694576	0.00233924520042585	1	Down	1.70024346928443
Hallmark 2026.1.Hs::HALLMARK_MTORC1_SIGNALING	1.85959599088658	3.92803337062465	Hallmark 2026.1.Hs	HALLMARK_MTORC1_SIGNALING	5	HALLMARK_MTORC1_SIGNALING	Down	1.89573805993643e-05	0.000467974507323279	1	Down	3.32977780425574
Hallmark 2026.1.Hs::HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.21806033410464	-4.77260300208811	Hallmark 2026.1.Hs	HALLMARK_OXIDATIVE_PHOSPHORYLATION	6	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Down	3.04572008857804e-18	4.18153864688699e-15	10	Down	14.3786638849961
Hallmark 2026.1.Hs::HALLMARK_PEROXISOME	0.940673821816853	5.54378699496871	Hallmark 2026.1.Hs	HALLMARK_PEROXISOME	2	HALLMARK_BILE_ACID_METABOLISM	Down	0.0226060478131596	0.00426111029980462	2	Down	1.64577535817506
Hallmark 2026.1.Hs::HALLMARK_XENOBIOTIC_METABOLISM	8.37545595593198	-3.91412252621836	Hallmark 2026.1.Hs	HALLMARK_XENOBIOTIC_METABOLISM	7	HALLMARK_XENOBIOTIC_METABOLISM	Down	0.000642617718545079	0.00042520694813903	1	Down	3.19204730405641
Reactome 2026.1.Hs::REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	2.67960380000075	-4.29386822622626	Reactome 2026.1.Hs	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	6	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Down	4.60101991951294e-10	2.74663216070549e-08	10	Down	7.56119949903323
Reactome 2026.1.Hs::REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	9.0104780571105	-2.41387545681301	Reactome 2026.1.Hs	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	8	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	Down	0.0431036040925262	0.068550967762323	1	Down	1.16398640971663
