cohort	arm	coverage	coverage_label
GSE8671	Adenoma-up	0.0192307692307692	2%
GSE8671	Adenoma-down	0.0469238790406674	5%
GSE50114	Adenoma-up	0.921945701357466	92%
GSE50114	Adenoma-down	0.924921793534932	92%
GSE41657	Adenoma-up	0.921945701357466	92%
GSE41657	Adenoma-down	0.924921793534932	92%
GSE40362	Adenoma-up	0.769230769230769	77%
GSE40362	Adenoma-down	0.796663190823775	80%
GSE72820	Adenoma-up	0.902714932126697	90%
GSE72820	Adenoma-down	0.903023983315954	90%
GSE117606	Adenoma-up	0.926470588235294	93%
GSE117606	Adenoma-down	0.925964546402503	93%
