gene	arm	state	effect
EPHB2	up	ABS	1.58361403981859
EPHB2	up	GOB	1.46291973349623
EPHB2	up	TAC	0.475783570491498
CALM2	down	ABS	-1.11737638221959
CALM2	down	GOB	-0.797143133398046
CALM2	down	TAC	-0.515062050023428
REG1A	up	ABS	
REG1A	up	GOB	
REG1A	up	TAC	
COX6C	down	ABS	-0.860951049919047
COX6C	down	GOB	-0.997179009037362
COX6C	down	TAC	-0.737966092043805
LTBP1	up	ABS	0.531005869911871
LTBP1	up	GOB	-0.29417354114927
LTBP1	up	TAC	0.222015983552564
B2M	down	ABS	-1.45998559005846
B2M	down	GOB	-1.16035105827904
B2M	down	TAC	-0.327099830450878
RNF43	up	ABS	1.74035407029705
RNF43	up	GOB	1.57800990575372
RNF43	up	TAC	1.34355056526589
ACAA2	down	ABS	-1.13232376491112
ACAA2	down	GOB	-0.563199516853047
ACAA2	down	TAC	-0.637811222117883
