study_id	carrier_group	n_observations	n_donors	n_cells_sampled_total	state	study
Che_2021_Cell_Discov	tumor_cancer	3	3	400	Primary cancer-like	Che 2021 Cell
Chen_2021_Cell	polyp_cancer	79	79	17247	Polyp cancer-like	Chen 2021
Chen_2021_Cell	polyp_epithelial	86	86	19586	Polyp epi.	Chen 2021
Chen_2021_Cell	tumor_cancer	4	4	315	Primary cancer-like	Chen 2021
Chen_2024_Cancer_Cell	tumor_cancer	20	20	3175	Primary cancer-like	Chen 2024 Cancer
Chen_2024_Cancer_Cell	tumor_epithelial	7	7	412	Primary epi.	Chen 2024 Cancer
Guo_2022_JCI_Insight	tumor_cancer	3	3	147	Primary cancer-like	Guo 2022 JCI
Guo_2022_JCI_Insight	tumor_epithelial	1	1	54	Primary epi.	Guo 2022 JCI
Ji_2024_Cancer_Lett	tumor_cancer	2	2	362	Primary cancer-like	Ji 2024 Cancer
Ji_2024_Cancer_Lett	tumor_epithelial	2	2	62	Primary epi.	Ji 2024 Cancer
Ji_2024_PLoS_Genet	tumor_cancer	3	3	307	Primary cancer-like	Ji 2024 PLoS
Joanito_2022_Nat_Genet	tumor_cancer	23	23	1277	Primary cancer-like	Joanito 2022 Nat
Khaliq_2022_Genome_Biol	tumor_cancer	7	7	353	Primary cancer-like	Khaliq 2022 Genome
Lee_2020_Nat_Genet	tumor_cancer	25	25	1529	Primary cancer-like	Lee 2020 Nat
Lee_2020_Nat_Genet	tumor_epithelial	2	2	50	Primary epi.	Lee 2020 Nat
Li_2023_Cancer_Cell	tumor_cancer	17	17	2054	Primary cancer-like	Li 2023 Cancer
Li_2023_Cancer_Cell	tumor_epithelial	5	5	337	Primary epi.	Li 2023 Cancer
Liu_2024_Cancer_Res	tumor_cancer	13	13	813	Primary cancer-like	Liu 2024 Cancer
MUI_Innsbruck	tumor_cancer	11	11	837	Primary cancer-like	MUI
MUI_Innsbruck	tumor_epithelial	4	4	130	Primary epi.	MUI
Pelka_2021_Cell	tumor_cancer	59	59	5322	Primary cancer-like	Pelka 2021
Pelka_2021_Cell	tumor_epithelial	6	6	560	Primary epi.	Pelka 2021
Qi_2022_Nat_Commun	tumor_cancer	5	5	329	Primary cancer-like	Qi 2022 Nat
Qian_2020_Cell_Res	tumor_cancer	5	5	499	Primary cancer-like	Qian 2020 Cell
Uhlitz_2021_EMBO_Mol_Med	tumor_cancer	10	10	679	Primary cancer-like	Uhlitz 2021 EMBO Mol
Uhlitz_2021_EMBO_Mol_Med	tumor_epithelial	1	1	28	Primary epi.	Uhlitz 2021 EMBO Mol
Wang_2021_Adv_Sci	tumor_epithelial	1	1	54	Primary epi.	Wang 2021 Adv
Wang_2023_Sci_Adv	tumor_cancer	3	3	478	Primary cancer-like	Wang 2023 Sci
Yang_2023_Front_Oncol	tumor_cancer	1	1	85	Primary cancer-like	Yang 2023 Front
Yang_2023_Front_Oncol	tumor_epithelial	1	1	26	Primary epi.	Yang 2023 Front
Zheng_2022_Signal_Transduct_Target_Ther	polyp_cancer	3	3	2641	Polyp cancer-like	Zheng 2022 Signal Transduct Target
Zheng_2022_Signal_Transduct_Target_Ther	polyp_epithelial	3	3	345	Polyp epi.	Zheng 2022 Signal Transduct Target
Zheng_2022_Signal_Transduct_Target_Ther	tumor_cancer	3	3	446	Primary cancer-like	Zheng 2022 Signal Transduct Target
Zheng_2022_Signal_Transduct_Target_Ther	tumor_epithelial	3	3	326	Primary epi.	Zheng 2022 Signal Transduct Target
