study_id	outcome	state	n_observations	n_donors	n_target_donors	n_reference_donors	coef	se_cluster	ci_low	ci_high	p_value	label_text	label
Chen_2021_Cell	score__ca_route_signature	polyp_epithelial	130	95	86	44	0.263514184729022	0.0329826661771939	0.198026327858943	0.329002041599101	3.35930706760917e-12	Chen 2021 · polyp epi.	Chen 2021 · polyp epi.
Chen_2021_Cell	score__ca_route_signature	polyp_cancer	123	93	79	44	0.31493577108986	0.0354325771856884	0.24456361436705	0.385307927812671	4.98307486886129e-14	Chen 2021 · polyp cancer-like	Chen 2021 · polyp cancer-like
Pelka_2021_Cell	score__ca_route_signature	tumor_cancer	89	59	59	30	0.118729965735526	0.0158703629578504	0.0869619827230663	0.150497948747986	4.55162835379826e-10	Pelka 2021 · primary cancer-like	Pelka 2021 · primary cancer-like
Lee_2020_Nat_Genet	score__ca_route_signature	tumor_cancer	33	25	25	8	-0.0141401957025796	0.0577732244075473	-0.13337827045793	0.10509787905277	0.80872787219351	Lee 2020 Nat · primary cancer-like	Lee 2020 Nat · primary cancer-like
Chen_2024_Cancer_Cell	score__ca_route_signature	tumor_cancer	40	20	20	20	0.0668692045125714	0.0245642335595233	0.0154556727943853	0.118282736230758	0.013524493236038	Chen 2024 Cancer · primary cancer-like	Chen 2024 Cancer · primary cancer-like
Li_2023_Cancer_Cell	score__ca_route_signature	tumor_cancer	24	17	17	7	0.0953171378449284	0.0543966261114885	-0.0199985581085733	0.21063283379843	0.0988676462440626	Li 2023 Cancer · primary cancer-like	Li 2023 Cancer · primary cancer-like
Liu_2024_Cancer_Res	score__ca_route_signature	tumor_cancer	17	14	13	4	0.188404256742282	0.111277846228679	-0.051996914408843	0.428805427893407	0.114248011826689	Liu 2024 Cancer · primary cancer-like	Liu 2024 Cancer · primary cancer-like
MUI_Innsbruck	score__ca_route_signature	tumor_cancer	23	12	11	12	0.176758468764874	0.099610606236923	-0.042482997350325	0.395999934880074	0.103625325514756	MUI · primary cancer-like	MUI · primary cancer-like
Uhlitz_2021_EMBO_Mol_Med	score__ca_route_signature	tumor_cancer	20	12	10	10	0.0934546007612767	0.0591609126789984	-0.0367576901026759	0.223666891625229	0.142488299072478	Uhlitz 2021 EMBO Mol · primary cancer-like	Uhlitz 2021 EMBO Mol · primary cancer-like
Chen_2024_Cancer_Cell	score__ca_route_signature	tumor_epithelial	27	20	7	20	0.147755691179226	0.0376353781606926	0.0689839393921432	0.226527442966309	0.000907341006744575	Chen 2024 Cancer · primary epi.	Chen 2024 Cancer · primary epi.
Khaliq_2022_Genome_Biol	score__ca_route_signature	tumor_cancer	12	10	7	5	-0.0830727493001309	0.0909934050313127	-0.288914132259113	0.122768633658851	0.385070487352235	Khaliq 2022 Genome · primary cancer-like	Khaliq 2022 Genome · primary cancer-like
Pelka_2021_Cell	score__ca_route_signature	tumor_epithelial	36	33	6	30	0.144322330323134	0.0535001699804416	0.0353460502091891	0.253298610437079	0.0110511747084323	Pelka 2021 · primary epi.	Pelka 2021 · primary epi.
Li_2023_Cancer_Cell	score__ca_route_signature	tumor_epithelial	12	8	5	7	0.15290980853746	0.0370541394253446	0.0652906918303898	0.24052892524453	0.00442246933280552	Li 2023 Cancer · primary epi.	Li 2023 Cancer · primary epi.
Chen_2021_Cell	score__ca_route_signature	tumor_cancer	48	47	4	44	0.458616163593529	0.083516781995058	0.290505600679763	0.626726726507295	1.66314293202787e-06	Chen 2021 · primary cancer-like	Chen 2021 · primary cancer-like
