comparison	sample_id	feature	difference
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep1	Raw	0.0468808430709495
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep2	Raw	-0.00232804591634184
tumor_vs_non_neoplastic_epithelium	SN123_A595688_Rep1	Raw	0.0504982487239823
tumor_vs_non_neoplastic_epithelium	SN123_A938797_Rep1_X	Raw	0.0330004164532789
tumor_vs_non_neoplastic_epithelium	SN124_A595688_Rep2	Raw	0.201524936712941
tumor_vs_non_neoplastic_epithelium	SN124_A938797_Rep2	Raw	0.305819975150204
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep1	Adjusted	0.0224037592013068
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep2	Adjusted	0.0103454648317116
tumor_vs_non_neoplastic_epithelium	SN123_A595688_Rep1	Adjusted	0.0831217434933361
tumor_vs_non_neoplastic_epithelium	SN123_A938797_Rep1_X	Adjusted	0.0651715171573109
tumor_vs_non_neoplastic_epithelium	SN124_A595688_Rep2	Adjusted	0.217338830080719
tumor_vs_non_neoplastic_epithelium	SN124_A938797_Rep2	Adjusted	0.268082734354741
