community_id	module	overlap	query_size	target_size	odds_ratio	p_value	fdr	community_label	evidence	pathway
1	M04	20	812	66	4.04136189825371	3.08094210895058e-06	3.38903631984563e-05	HALLMARK_ADIPOGENESIS	4.46992377686223	Adipogenesis
1	M05	12	512	66	3.40134654841601	0.000668891593629194	0.00245260250997371	HALLMARK_ADIPOGENESIS	2.61037283161956	Adipogenesis
1	M10	4	47	66	12.1564862917073	0.000521452786347982	0.00245260250997371	HALLMARK_ADIPOGENESIS	2.61037283161956	Adipogenesis
5	M04	17	812	65	3.27853194621101	0.000133552120841872	0.000489691109753531	HALLMARK_MTORC1_SIGNALING	3.31007778044172	mTORC1 signaling
5	M05	21	512	65	7.4459040626597	1.48255680774046e-10	1.63081248851451e-09	HALLMARK_MTORC1_SIGNALING	8.78759597144592	mTORC1 signaling
5	M09	6	72	65	12.4504563169386	2.00677717664212e-05	0.000110372744715317	HALLMARK_MTORC1_SIGNALING	3.95713815741392	mTORC1 signaling
6	M04	103	812	239	7.76524026739262	1.18471407744172e-42	1.3031854851859e-41	HALLMARK_OXIDATIVE_PHOSPHORYLATION	12	Oxidative phosphorylation
6	M05	28	512	239	2.05553379094241	0.000871357311406061	0.00479246521273333	HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.31944103086989	Oxidative phosphorylation
8	M04	21	812	81	3.25104558271535	2.58955860317455e-05	0.0001424257231746	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	3.84641156671109	Asparagine n Linked Glycosylation
8	M05	22	512	81	5.81893360695244	2.24735237444678e-09	2.47208761189146e-08	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	7.60693614171965	Asparagine n Linked Glycosylation
8	M10	3	47	81	7.07353670565854	0.0109433878206015	0.0401257553422055	REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	1.39657677918859	Asparagine n Linked Glycosylation
12	M04	52	812	114	8.10379919380439	3.04233123428156e-23	3.34656435770972e-22	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	12	Proton-motive-force-driven ATP synthesis
21	M04	19	812	68	3.59793358122205	1.99155496853771e-05	0.000109535523269574	REACTOME_PROTEIN_LOCALIZATION	3.96044501271389	Protein localization
21	M05	15	512	68	4.35834804946047	1.37346458982131e-05	0.000109535523269574	REACTOME_PROTEIN_LOCALIZATION	3.96044501271389	Protein localization
21	M09	4	72	68	7.42628686693741	0.00288704978131505	0.0105858491981552	REACTOME_PROTEIN_LOCALIZATION	1.97527429708909	Protein localization
23	M03	8	993	14	9.77212275736515	6.76578653273659e-05	0.000744236518601025	REACTOME_PKMTS_METHYLATE_HISTONE_LYSINES	3.12828902359452	Histone lysine methylation
