comparison	sample_id	feature	difference	analysis
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep1	route_score	0.0468808430709495	Raw
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep2	route_score	-0.00232804591634184	Raw
tumor_vs_non_neoplastic_epithelium	SN123_A595688_Rep1	route_score	0.0504982487239823	Raw
tumor_vs_non_neoplastic_epithelium	SN123_A938797_Rep1_X	route_score	0.0330004164532789	Raw
tumor_vs_non_neoplastic_epithelium	SN124_A595688_Rep2	route_score	0.201524936712941	Raw
tumor_vs_non_neoplastic_epithelium	SN124_A938797_Rep2	route_score	0.305819975150204	Raw
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep1	route_residual_prolif_epithelial	0.0224037592013068	Adjusted
tumor_vs_non_neoplastic_epithelium	SN048_A121573_Rep2	route_residual_prolif_epithelial	0.0103454648317116	Adjusted
tumor_vs_non_neoplastic_epithelium	SN123_A595688_Rep1	route_residual_prolif_epithelial	0.0831217434933361	Adjusted
tumor_vs_non_neoplastic_epithelium	SN123_A938797_Rep1_X	route_residual_prolif_epithelial	0.0651715171573109	Adjusted
tumor_vs_non_neoplastic_epithelium	SN124_A595688_Rep2	route_residual_prolif_epithelial	0.217338830080719	Adjusted
tumor_vs_non_neoplastic_epithelium	SN124_A938797_Rep2	route_residual_prolif_epithelial	0.268082734354741	Adjusted
