module	module_2	correlation
M02	M02	1
M02	M03	0.958132101576875
M02	M06	0.909029115362568
M02	M04	-0.930159117943649
M02	M05	-0.941829552669598
M02	M09	-0.493770503654852
M02	M10	-0.928920086099537
M03	M02	0.958132101576875
M03	M03	1
M03	M06	0.950400083152992
M03	M04	-0.849726531051224
M03	M05	-0.902403696766419
M03	M09	-0.430369786659265
M03	M10	-0.859564923670131
M04	M02	-0.930159117943649
M04	M03	-0.849726531051224
M04	M06	-0.83742951068099
M04	M04	1
M04	M05	0.923441454328604
M04	M09	0.359176409227165
M04	M10	0.942728518454469
M05	M02	-0.941829552669598
M05	M03	-0.902403696766419
M05	M06	-0.823052161610292
M05	M04	0.923441454328604
M05	M05	1
M05	M09	0.620138994871445
M05	M10	0.97140790539472
M06	M02	0.909029115362568
M06	M03	0.950400083152992
M06	M06	1
M06	M04	-0.83742951068099
M06	M05	-0.823052161610292
M06	M09	-0.196846449069843
M06	M10	-0.823509058990355
M09	M02	-0.493770503654852
M09	M03	-0.430369786659265
M09	M06	-0.196846449069843
M09	M04	0.359176409227165
M09	M05	0.620138994871445
M09	M09	1
M09	M10	0.527015641888498
M10	M02	-0.928920086099537
M10	M03	-0.859564923670131
M10	M06	-0.823509058990355
M10	M04	0.942728518454469
M10	M05	0.97140790539472
M10	M09	0.527015641888498
M10	M10	1
