gene	x	module
RPA2	1	grey
PUS1	2	grey
ANAPC7	3	grey
ZNF7	4	grey
CDK14	5	grey
ZFYVE26	6	grey
RNF19B	7	M07
DDX3X	8	grey
KATNA1	9	grey
NAA40	10	grey
COQ7	11	grey
SLC35E1	12	grey
ISG20L2	13	grey
TLCD3A	14	grey
CASP8	15	grey
SRR	16	grey
RPL7L1	17	grey
ZNF429	18	grey
USP30	19	grey
TTL	20	grey
RBBP5	21	grey
INPP1	22	grey
COPS4	23	grey
ARL3	24	grey
FN3KRP	25	grey
SETD4	26	grey
RPS6KA2	27	grey
BNIP3L	28	grey
DIDO1	29	grey
YBX1	30	M09
ILF3	31	grey
POLB	32	grey
STK38	33	grey
CBX1	34	grey
SP1	35	grey
SORD	36	M05
PARP9	37	grey
CHSY1	38	M01
PANK1	39	grey
MCOLN2	40	M01
COQ5	41	grey
NCOA5	42	grey
PTPN14	43	grey
SESTD1	44	grey
PTGFRN	45	M05
ENSG00000232063	46	grey
PEX11A	47	grey
SLC31A1	48	grey
HMGN3	49	grey
TPD52L1	50	grey
GOT1	51	grey
EEF1E1	52	grey
ZBTB5	53	grey
JAG1	54	grey
TDP1	55	M04
GLIDR	56	M02
CORO1C	57	M05
NSUN2	58	M09
ASB3	59	grey
DMGDH	60	grey
SIRT5	61	grey
BLOC1S5	62	grey
CYP3A5	63	M10
EEPD1	64	grey
EPSTI1	65	grey
PPP2R5A	66	grey
ABHD2	67	M01
IRS2	68	grey
SIAH2	69	grey
CPT1A	70	grey
BCAS2	71	grey
SKIL	72	grey
EPB41L2	73	M05
METTL21A	74	M05
HARS2	75	grey
PTGR1	76	M05
OXR1	77	grey
USP28	78	M05
CSE1L	79	grey
ACP6	80	M09
EIF2S3	81	M05
SMYD2	82	grey
ELOVL7	83	M01
UTP25	84	M05
PIGM	85	M05
RGMB	86	grey
NAP1L1	87	M09
CLNS1A	88	M05
MCCC1	89	M01
DIS3L	90	grey
PAICS	91	M05
GART	92	M05
C6orf62	93	M01
CEP63	94	grey
MTPAP	95	M05
TBPL1	96	M05
UTP4	97	grey
HNRNPH1	98	M09
ZNF121	99	M05
CPSF7	100	M05
ZW10	101	grey
MKKS	102	M08
UBE2F	103	grey
LDLR	104	grey
FDFT1	105	M07
SC5D	106	M01
SIAE	107	M05
INSIG1	108	M01
HMGCR	109	M05
IDI1	110	M01
MSMO1	111	M05
TOR1B	112	M04
YIPF5	113	M01
TMED5	114	grey
EFR3A	115	grey
APIP	116	M05
PSMD12	117	M05
NUDT5	118	M05
HOMEZ	119	grey
PLBD1	120	grey
TCTN3	121	M01
TBX3	122	grey
PLEK2	123	M04
GLE1	124	grey
PAM	125	M01
TAF11	126	M05
ANKRD23	127	M05
TSPAN12	128	M05
GPC4	129	grey
FAM3C	130	M05
CNEP1R1	131	grey
HYCC2	132	M05
DCAF12	133	M05
ELOA	134	M05
TMEM60	135	grey
ZNF451	136	M09
SPRYD7	137	grey
PDXDC1	138	grey
ENSG00000271254	139	M05
MFAP3	140	grey
METTL5	141	grey
MAIP1	142	grey
CASP4	143	grey
MPZL1	144	grey
AMMECR1L	145	grey
ADH1C	146	M04
GOLM1	147	M04
ARHGEF35	148	M05
SDE2	149	M05
UXS1	150	M05
TMEM242	151	grey
CNIH4	152	M04
SAR1A	153	M04
COMMD2	154	M05
PDE1A	155	M05
HUS1	156	M07
C1orf174	157	M05
CAMLG	158	M05
C8orf76	159	M05
VANGL1	160	M05
WASHC3	161	M01
DENND10	162	M05
PTS	163	M04
BAG3	164	grey
KAT7	165	M05
RPP30	166	M08
ADAR	167	M04
NCOA7	168	M05
RBM17	169	M05
ATG5	170	M10
CAB39	171	M10
GPD1L	172	M04
KANSL2	173	M04
GNE	174	M01
BRPF3	175	M05
ARNT	176	M05
RALB	177	M05
GTF2E2	178	grey
AP3M1	179	M01
SLC27A2	180	M10
ZMPSTE24	181	M01
GLUD1	182	M01
ATP10B	183	M01
CAND1	184	M01
CSNK2A1	185	M01
UBE2R2	186	M10
DNAJC10	187	M01
FBXO3	188	M05
KDSR	189	M01
MITD1	190	grey
MAPK6	191	M01
PDCD10	192	M05
BTBD3	193	M05
RAB7A	194	M04
DERA	195	M01
SLC35A5	196	M05
THBS1	197	M01
ENDOD1	198	grey
CAPN2	199	M01
BTG1	200	grey
CHMP2B	201	M05
NEU3	202	M05
AQR	203	M05
USP7	204	M05
MRPS27	205	M05
CCNB1IP1	206	M05
PPP1R2	207	M05
SMIM19	208	M08
ZCCHC9	209	M05
NAT1	210	M05
PSMD1	211	M05
FAM120AOS	212	M05
WLS	213	grey
ARF4	214	M05
TSHZ1	215	grey
BZW1	216	M10
DCAF10	217	grey
LMO4	218	M05
CNN3	219	M05
WTAP	220	M04
ASNS	221	M04
YTHDF1	222	M04
PITHD1	223	M04
SETD7	224	M04
ASB8	225	grey
SERPINB1	226	M04
IDS	227	M02
SYAP1	228	M04
PDK1	229	M05
NETO2	230	M05
LGALS8	231	M05
AREL1	232	M05
CROT	233	M04
MED10	234	M05
TGFBRAP1	235	M05
SLC39A14	236	M05
MTHFS	237	grey
AXIN2	238	M05
TRIM26	239	M04
FOXJ2	240	M04
UTP6	241	M05
FASTKD2	242	M08
LACTB	243	M05
SCAF4	244	M05
SMARCE1	245	M05
REXO2	246	M05
JMY	247	M02
PAIP1	248	M01
TRIM13	249	M01
NCBP1	250	M01
MTARC1	251	M05
MED30	252	M02
TXNRD1	253	M05
DYNC1I2	254	M05
RP2	255	M05
DTX3L	256	M05
LYPLAL1	257	M05
CCDC90B	258	M05
CRLS1	259	M05
HSPA1B	260	M02
PCK1	261	grey
CA2	262	M04
NAAA	263	grey
CTNNA1	264	M05
PARM1	265	M05
PLEKHB2	266	M04
MKRN1	267	M04
TXNIP	268	M04
MTMR11	269	M04
AKR1B10	270	M07
SLC22A5	271	grey
MEP1A	272	M07
AMACR	273	M04
SLC20A1	274	M04
SIAH1	275	M05
GLRX3	276	M05
ENSG00000243004	277	M05
ZMAT3	278	M05
COPS8	279	M05
NOA1	280	M09
IPO5	281	M05
RSL1D1	282	M08
EID1	283	M05
TXNL1	284	M05
CWH43	285	M05
UTP18	286	M05
BCL9	287	M01
DPH5	288	M05
PTPN1	289	M05
GORASP2	290	M01
RDH11	291	M05
MAP2K1	292	M05
PEX7	293	M05
ASNSD1	294	M01
ZFP36L1	295	M01
TRIM44	296	M01
OSBP	297	M01
CMC2	298	M05
ZCRB1	299	M05
TARS1	300	M01
VEZF1	301	M05
SRSF5	302	M04
NRDC	303	M05
FAM91A1	304	M05
TRAM1	305	M05
DNAJB6	306	M05
GARS1	307	M04
AKIRIN1	308	M05
ODC1	309	grey
MIPEP	310	M05
MAPK9	311	M04
FRG1	312	M05
TRAPPC2	313	M04
TMEM68	314	M05
SOWAHC	315	M05
CASP2	316	M05
ERI1	317	M10
NBPF10	318	M05
SS18	319	M05
FLVCR1	320	M05
CAPZA2	321	M05
PHYH	322	M05
ZFAND5	323	M05
TMEM128	324	M05
CCDC50	325	M05
PAPSS1	326	M05
SMIM20	327	M04
MIEF1	328	M04
TIAL1	329	M04
CPSF3	330	M04
PRCP	331	M05
NADK2	332	M09
PIGP	333	M05
NFU1	334	M05
GGPS1	335	M05
MIA3	336	M04
ACO1	337	M05
TNFRSF21	338	M07
TJP1	339	M05
ATP6V1D	340	M05
PIGX	341	M05
BEX4	342	M05
SPAG16	343	M05
TRAM2	344	M05
CSNK2A2	345	M05
YRDC	346	M05
PGM2	347	M05
PABIR2	348	M05
PCGF5	349	M05
SVIP	350	M05
TRAK2	351	M09
ANXA5	352	M05
TM7SF3	353	M05
SMU1	354	M05
STT3A	355	M05
TXNDC5	356	M05
GNL2	357	M05
ALG5	358	M05
TIMM21	359	M05
CSTF1	360	M09
MRPL15	361	M04
LAPTM4B	362	M08
NUDT9	363	M05
PRDM4	364	M05
BRI3BP	365	M05
KBTBD11	366	M04
ATP1B3	367	M10
SMAD4	368	M05
CGGBP1	369	M05
C5orf15	370	M05
PATL1	371	M05
COPA	372	M05
BIRC2	373	M05
EFCAB6	374	M05
AZIN1	375	M05
ARL6IP1	376	M05
LRATD1	377	M09
LSM14B	378	M05
PHF6	379	M05
MRAP2	380	M05
ARL5A	381	M05
ING3	382	M05
UBE2N	383	M05
UBE2V2	384	M05
SRSF7	385	M05
YTHDF2	386	M05
PLSCR1	387	M05
RNF145	388	M05
MAOA	389	M01
SUDS3	390	M05
SIKE1	391	M05
IFRD1	392	M05
CHUK	393	M05
FBXW2	394	M05
OCRL	395	M05
CCDC25	396	M10
ZNF24	397	M05
TMEM167A	398	M05
TMX4	399	M05
AP1G1	400	M01
IARS2	401	M01
KRCC1	402	M01
TMCO1	403	M05
DSC2	404	M01
UAP1	405	M01
SLC35D1	406	M01
NUP50	407	M05
F2RL1	408	M05
TAX1BP1	409	M05
ACTR3	410	M05
RAB14	411	M10
LMO7	412	M01
CXADR	413	M01
TFRC	414	M05
TOB1	415	M05
PSMC6	416	M01
CAPZA1	417	M05
ATP6AP2	418	M05
TMEM30A	419	M05
TMED7	420	M05
TDP2	421	M05
PGM3	422	M01
HIRA	423	M05
ETFA	424	M05
SUGT1	425	M05
SUMO1	426	M05
TAF7	427	M05
RPIA	428	M05
NUDCD2	429	M05
STEAP2	430	M05
NT5E	431	M05
API5	432	M05
UBE2D3	433	M05
SOD2	434	M05
RNF141	435	M05
GTF3A	436	M05
ERLIN2	437	M05
PNRC1	438	M05
HIPK1	439	M05
GALNT4	440	M05
SLAIN2	441	M05
GCA	442	M05
NSA2	443	M05
KIAA1143	444	M05
DNAJC3	445	M05
GBP3	446	M05
RBM18	447	M05
C11orf54	448	M05
RRM1	449	M05
MBD2	450	M05
ASAH1	451	M05
DCTN6	452	M05
AK6	453	M05
YWHAG	454	M05
RHEB	455	M05
SEC23B	456	M05
ATMIN	457	M05
PPA1	458	M05
CHAMP1	459	M05
RPF1	460	M05
PSMA8	461	M05
ZNF28	462	M05
RTCA	463	M05
UBE2D1	464	M05
PRRC1	465	M01
ERCC5	466	M01
COPB2	467	M05
SLU7	468	M01
SMIM14	469	M05
KRAS	470	M01
EFCAB14	471	M05
FYCO1	472	M01
PANK3	473	M05
PPP2R1B	474	M05
COG3	475	M01
TM9SF2	476	M05
CDKN1B	477	M05
SH3GLB1	478	M05
ERP44	479	M05
XRCC5	480	M05
FGD5-AS1	481	M05
SELENOT	482	M05
GAREM1	483	M05
ACTR2	484	M05
FYTTD1	485	M05
SEPTIN2	486	M05
INTS14	487	M05
CPNE3	488	M05
OAT	489	M05
IRF2BPL	490	M05
MTRR	491	M05
HSPA9	492	M05
PPP1CC	493	M05
UBQLN1	494	M05
RNF128	495	M05
BRD7	496	M05
PROSER1	497	M05
CMPK1	498	M05
PRKAR1A	499	M05
PURB	500	M05
SLC5A3	501	M05
ETF1	502	M05
HDAC2	503	M05
IDH1	504	M05
TMEM30B	505	M05
NCOA4	506	M05
SEC22B	507	M05
CD164	508	M05
MARCKS	509	M05
NARS1	510	M05
AP3S1	511	M05
CCNG2	512	M05
ARPC5	513	M05
TSC22D1	514	M05
DR1	515	M05
CDH17	516	M05
MAPK1IP1L	517	M05
SBDS	518	M05
GSKIP	519	M05
NPTN	520	M05
SAR1B	521	M05
NDFIP2	522	M05
RMND5A	523	M05
SERINC1	524	M05
SH3BGRL2	525	M05
LEPROT	526	M05
SCARB2	527	M05
PPM1A	528	M05
YWHAZ	529	M05
XBP1	530	M05
PSMD14	531	M05
NUDT15	532	M05
CHMP4C	533	M05
RAP2B	534	M05
