cohort	comparison	group_a	group_b	paired_primary	n_a	n_b	median_a	median_b	median_difference_a_minus_b	auc_a_vs_b	rank_biserial_a_vs_b	p_mannwhitney	n_pairs	median_paired_difference	p_paired_wilcoxon	paired_positive_fraction	primary_p_value	clustered_mean_difference	clustered_ci_low	clustered_ci_high	p_patient_clustered_ols	n_patient_clusters	clustered_standardized_mean_difference	clustered_standardized_ci_low	clustered_standardized_ci_high	p_patient_clustered_standardized_ols	expected_up	measured_up	expected_down	measured_down	score_definition	signature_id	readout
GSE8671	adenoma_vs_normal	adenoma	normal	True	32	32	1.14645888237087	-1.14541190072223	2.2918707830931	1	1	6.51131430101301e-12	32	2.31235379939045	4.65661287307739e-10	1	4.65661287307739e-10	2.34116287896729	2.16997009438897	2.5123556635456	1.60004476348175e-23	32	1.91214889815039	1.77232689031678	2.051970905984	1.60004476348176e-23	884	17	959	45	mean(all measurable up) - mean(all measurable down)	state_shared_1843	State-shared response
GSE50114	adenoma_vs_normal	adenoma	normal	False	37	9	0.261697626026066	-0.712841068340308	0.974538694366374	0.981981981981982	0.963963963963964	9.40734911376269e-06					3.31930106095842e-11	0.856675073214553	0.662228289994966	1.05112185643414	3.31930106095842e-11	43	1.74560441468613	1.34938982432111	2.14181900505115	3.31930106095824e-11	884	815	959	887	mean(all measurable up) - mean(all measurable down)	state_shared_1843	State-shared response
GSE41657	adenoma_vs_normal	adenoma	normal	False	51	12	0.166458308732153	-1.35044275958344	1.51690106831559	0.996732026143791	0.993464052287582	1.08242734673799e-07					1.61182622299093e-24	1.5490688471383	1.36273697845423	1.73540071582238	1.61182622299093e-24	63	2.0420496656869	1.79641892380215	2.28768040757164	1.61182622299098e-24	884	815	959	887	mean(all measurable up) - mean(all measurable down)	state_shared_1843	State-shared response
GSE40362	adenoma_vs_normal	adenoma	normal	False	8	8	0.17104080842707	-0.132817119010312	0.303857927437381	0.921875	0.84375	0.00295260295260295					0.00252897879209327	0.546530080694585	0.224582637114669	0.868477524274501	0.00252897879209327	16	1.34616623061258	0.553172776293415	2.13915968493175	0.00252897879209327	884	680	959	764	mean(all measurable up) - mean(all measurable down)	state_shared_1843	State-shared response
GSE72820	adenoma_vs_normal	adenoma	normal	True	7	7	0.280877800695108	-0.278036034647381	0.558913835342488	0.591836734693878	0.183673469387755	0.62004662004662	7	-0.0805850565613859	1	0.428571428571429	1	0.315711020546843	-0.706470151290263	1.33789219238395	0.478406770540787	7	0.400579746754527	-0.896381867833771	1.69754136134283	0.478406770540787	884	798	959	866	mean(all measurable up) - mean(all measurable down)	state_shared_1843	State-shared response
GSE8671	adenoma_vs_normal	adenoma	normal	True	32	32	0.889917835333059	-0.90867689638565	1.79859473171871	0.9658203125	0.931640625	1.57385271610415e-10	32	1.84395466648296	2.3283064365387e-09	0.96875	2.3283064365387e-09	1.73776657583269	1.39484159645757	2.08069155520781	1.44973646715665e-11	32	1.57264743929756	1.26230651193392	1.88298836666119	1.44973646715665e-11	4	4	4	4	mean(all measurable up) - mean(all measurable down)	compact_8	Eight-gene candidate
GSE50114	adenoma_vs_normal	adenoma	normal	False	37	9	0.327175430800743	-1.74987449568669	2.07704992648743	0.996996996996997	0.993993993993994	4.90490744719206e-06					4.97752953759592e-18	2.19749576262792	1.89321127603791	2.50178024921794	4.97752953759592e-18	43	1.94861510280806	1.67879280953983	2.2184373960763	4.97752953759632e-18	4	4	4	4	mean(all measurable up) - mean(all measurable down)	compact_8	Eight-gene candidate
GSE41657	adenoma_vs_normal	adenoma	normal	False	51	12	0.223039401988484	-1.63076674822768	1.85380615021616	0.995098039215686	0.990196078431373	1.19140826590666e-07					2.87080038629207e-19	2.05241280986432	1.73527745501698	2.36954816471165	2.87080038629207e-19	63	1.99140394689699	1.68369557833282	2.29911231546116	2.87080038629195e-19	4	4	4	4	mean(all measurable up) - mean(all measurable down)	compact_8	Eight-gene candidate
GSE40362	adenoma_vs_normal	adenoma	normal	False	8	8	0.716203421616847	-0.157046891742332	0.873250313359179	0.859375	0.71875	0.0147630147630148					0.0109580711215131	1.03143463713035	0.273777799964949	1.78909147429575	0.0109580711215131	16	1.18671516412691	0.314994528129901	2.05843580012393	0.0109580711215131	4	4	4	4	mean(all measurable up) - mean(all measurable down)	compact_8	Eight-gene candidate
GSE72820	adenoma_vs_normal	adenoma	normal	True	7	7	1.07327227684676	-0.334150914636409	1.40742319148317	0.673469387755102	0.346938775510204	0.317599067599068	7	0.400667714281216	0.578125	0.571428571428571	0.578125	0.834245448051006	-0.865688359149477	2.53417925525149	0.275069421917084	7	0.601718188790851	-0.624397091697286	1.82783346927899	0.275069421917084	4	4	4	4	mean(all measurable up) - mean(all measurable down)	compact_8	Eight-gene candidate
