excluded_cohort	n_samples	n_patient_clusters	n_cohorts	covariates	adenoma_coef_sd	se_patient_cluster	ci_low	ci_high	p_value	proliferation_coef_sd	proliferation_p_value	r_squared	condition_number	expected_up	expected_down	score_definition	signature_id	readout
GSE40362	187	145	4	cohort fixed effects + proliferation control	1.64607744380412	0.147564746707504	1.35440464486648	1.93775024274175	3.24713930550375e-21	0.0972027742985444	0.170997997441518	0.6295167644417	6.53785483493152	884	959	cohort-specific all-measurable programme score	state_shared_1843	State-shared response
GSE41657	140	98	4	cohort fixed effects + proliferation control	1.34572746080819	0.139640741506582	1.0685792434279	1.62287567818849	8.15088428115783e-16	0.242587955962557	0.000168554600053571	0.639381661876588	8.36642422693033	884	959	cohort-specific all-measurable programme score	state_shared_1843	State-shared response
GSE50114	157	118	4	cohort fixed effects + proliferation control	1.60373045411943	0.132523111818434	1.34127537554856	1.8661855326903	2.34371981377486e-22	0.125357367777818	0.0604257726798755	0.656886943881834	8.92625065211629	884	959	cohort-specific all-measurable programme score	state_shared_1843	State-shared response
GSE72820	189	154	4	cohort fixed effects + proliferation control	1.75402493804357	0.105315924671599	1.54596381724654	1.9620860588406	3.47969285436909e-36	0.0868158153564986	0.131301044450064	0.691021767978666	9.56019876181104	884	959	cohort-specific all-measurable programme score	state_shared_1843	State-shared response
GSE8671	139	129	4	cohort fixed effects + proliferation control	1.52706917777347	0.153615120624418	1.22311541649961	1.83102293904733	1.32245303831638e-17	0.117854855548919	0.0897175113414231	0.47968832846039	8.76458466024687	884	959	cohort-specific all-measurable programme score	state_shared_1843	State-shared response
GSE40362	187	145	4	cohort fixed effects + proliferation control	1.36470660337311	0.142934950909758	1.08218494336918	1.64722826337703	4.86641289390439e-17	0.238850105704555	0.000773474769270481	0.59168041306241	6.53785483493152	4	4	cohort-specific all-measurable programme score	compact_8	Eight-gene candidate
GSE41657	140	98	4	cohort fixed effects + proliferation control	1.14508034020401	0.145097242057817	0.85710247966518	1.43305820074285	4.55266730485583e-12	0.30628256668799	4.4865956761916e-05	0.574104965255572	8.36642422693033	4	4	cohort-specific all-measurable programme score	compact_8	Eight-gene candidate
GSE50114	157	118	4	cohort fixed effects + proliferation control	1.30500003155899	0.135934049889971	1.03578976887509	1.57421029424289	1.90839190184278e-16	0.254297089159943	0.000301319629650019	0.571109004670897	8.92625065211629	4	4	cohort-specific all-measurable programme score	compact_8	Eight-gene candidate
GSE72820	189	154	4	cohort fixed effects + proliferation control	1.45816002366619	0.11895901354745	1.22314574861927	1.69317429871311	1.69690188133806e-24	0.226297871196352	0.000336212979909576	0.625309111116729	9.56019876181104	4	4	cohort-specific all-measurable programme score	compact_8	Eight-gene candidate
GSE8671	139	129	4	cohort fixed effects + proliferation control	1.44386843960769	0.138146573367319	1.1705218418808	1.71721503733459	7.27224736540154e-19	0.306975533107836	8.89685448070796e-06	0.578741941453776	8.76458466024687	4	4	cohort-specific all-measurable programme score	compact_8	Eight-gene candidate
