dataset	comparison	display	n_units	axis	estimate	ci_low	ci_high
GSE67186	apc_restoration_shApc_Kras	APC restore + Kras	1	WNT/stem suppression	1.30344507895418	1.30344507895418	1.30344507895418
GSE125472	wnt_rspo_withdrawal_in_WT	WNT− / WT	3	WNT/stem suppression	1.20466319061559	0.581656531793899	1.85636916858501
GSE135328	tcf7l2_KO_vs_WT	TCF7L2 KO	4	WNT/stem suppression	0.150302462832072	-0.254025387692427	0.468175697881668
GSE171910	conditional_wnt_silencing	WNT off	4	WNT/stem suppression	0.664480105415467	0.430126067966658	0.948039323352375
GSE125472	wnt_rspo_withdrawal_in_APC_KO	WNT− / APC-KO	3	WNT/stem suppression	-0.0455298373473932	-0.309464877907952	0.138489243201208
GSE67186	apc_restoration_shApc	APC restore	1	WNT/stem suppression	1.04193676824933	1.04193676824933	1.04193676824933
GSE114059	pri724_reversal_of_trametinib	PRI-724	1	WNT/stem suppression	0.454597447068943	0.454597447068943	0.454597447068943
GSE67186	doxycycline_control_shRenilla	Doxycycline control	1	WNT/stem suppression	-0.0965118700036549	-0.0965118700036549	-0.0965118700036549
GSE135328	tcf7l2_heterozygous_vs_WT	TCF7L2 heterozygous	1	WNT/stem suppression	-0.689159375774902	-0.689159375774902	-0.689159375774902
GSE114059	trametinib_vs_dmso	Trametinib	4	WNT/stem suppression	-0.729624078464001	-0.944059888834006	-0.515188268093997
GSE130822	ascl2_ko_vs_resting_wt	ASCL2 KO	1	WNT/stem suppression	1.65777750338916	1.65777750338916	1.65777750338916
GSE67186	apc_restoration_shApc_Kras	APC restore + Kras	1	Mature-function restoration	0.294773274342739	0.294773274342739	0.294773274342739
GSE125472	wnt_rspo_withdrawal_in_WT	WNT− / WT	3	Mature-function restoration	0.190458543551367	-0.161789642016516	0.765484425236228
GSE135328	tcf7l2_KO_vs_WT	TCF7L2 KO	4	Mature-function restoration	0.0150244808092666	-0.0520315400851485	0.0926863921867744
GSE171910	conditional_wnt_silencing	WNT off	4	Mature-function restoration	-0.0179924725404426	-0.0951724328839711	0.0531985972105172
GSE125472	wnt_rspo_withdrawal_in_APC_KO	WNT− / APC-KO	3	Mature-function restoration	0.244558044071431	0.0903279340954345	0.43676844080666
GSE67186	apc_restoration_shApc	APC restore	1	Mature-function restoration	-0.0722056295333805	-0.0722056295333805	-0.0722056295333805
GSE114059	pri724_reversal_of_trametinib	PRI-724	1	Mature-function restoration	-0.0894178730760591	-0.0894178730760591	-0.0894178730760591
GSE67186	doxycycline_control_shRenilla	Doxycycline control	1	Mature-function restoration	-0.631496057112787	-0.631496057112787	-0.631496057112787
GSE135328	tcf7l2_heterozygous_vs_WT	TCF7L2 heterozygous	1	Mature-function restoration	0.0570913429741371	0.0570913429741371	0.0570913429741371
GSE114059	trametinib_vs_dmso	Trametinib	4	Mature-function restoration	0.22654941097075	0.170736783855765	0.29536428172011
GSE130822	ascl2_ko_vs_resting_wt	ASCL2 KO	1	Mature-function restoration	-0.752310309374101	-0.752310309374101	-0.752310309374101
