layer	component	expected_version	observed_version	pass
Python	Python	3.11.15	3.11.15	True
Python	numpy	1.26.4	1.26.4	True
Python	pandas	2.3.3	2.3.3	True
Python	scipy	1.17.1	1.17.1	True
Python	statsmodels	0.14.6	0.14.6	True
Python	h5py	3.13.0	3.13.0	True
Python	pysam	0.24.0	0.24.0	True
Python	openpyxl	3.1.5	3.1.5	True
Python	python-docx	1.2.0	1.2.0	True
Python	matplotlib	3.11.0	3.11.0	True
Python	scikit-learn	1.9.0	1.9.0	True
R	R	4.5.3	4.5.3	True
R	ggplot2	4.0.3	4.0.3	True
R	dplyr	1.2.1	1.2.1	True
R	tidyr	1.3.2	1.3.2	True
R	patchwork	1.3.2	1.3.2	True
R	scales	1.4.0	1.4.0	True
R	ggrepel	0.9.8	0.9.8	True
R	svglite	2.2.2	2.2.2	True
R	ragg	1.5.2	1.5.2	True
R	survival	3.8.6	3.8.6	True
R	limma	3.66.0	3.66.0	True
document	pandoc	3.10	3.10	True
