locus_set	distance_bin	term	n	coef	se_hc3	p_value	r_squared	model	q_value_bh
wnt_route_loci	tss_core_1kb	is_polyp	40	0.2950886145188072	0.1445395251670922	0.04119347824166016	0.7262997815801294	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.1734573074663007
wnt_route_loci	promoter_proximal_2_5kb	is_polyp	40	0.32135377354207034	0.10887114401226437	0.0031604092258249302	0.7053455121157663	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.050566547613198884
wnt_route_loci	proximal_regulatory_10kb	is_polyp	40	0.28137690516246405	0.12596238632395204	0.02549512423186363	0.6183834538627426	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.1734573074663007
wnt_route_loci	distal_flank_20kb	is_polyp	40	0.2626219807063548	0.14848606789500884	0.07694994325465998	0.5982189572810322	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.17588558458207995
wnt_tcf_ascl2_axis_loci	tss_core_1kb	is_polyp	40	0.30122584683873527	0.16274353455736695	0.06418054682312464	0.6461128551163371	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.1734573074663007
wnt_tcf_ascl2_axis_loci	promoter_proximal_2_5kb	is_polyp	40	0.22949697480918532	0.12439275294724696	0.06504649029986276	0.2287071981414368	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.1734573074663007
wnt_tcf_ascl2_axis_loci	proximal_regulatory_10kb	is_polyp	40	0.18550634050690748	0.09861415502305385	0.05995383003868445	0.5774416934207225	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.1734573074663007
wnt_tcf_ascl2_axis_loci	distal_flank_20kb	is_polyp	40	0.11310275111939863	0.1277474675592616	0.37596143004320537	0.7123455281929856	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.5012819067242739
immune_ifn_loci	tss_core_1kb	is_polyp	40	-0.11302212131162959	0.1090102719158517	0.29982791507547113	0.2864773934757472	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.4361133310188671
immune_ifn_loci	promoter_proximal_2_5kb	is_polyp	40	0.026790590632165826	0.12373871086165812	0.8285907202813525	0.6465672028136252	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.8285907202813525
immune_ifn_loci	proximal_regulatory_10kb	is_polyp	40	0.041865975414069015	0.10888334242566967	0.7006056482939356	0.6290819963172678	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.8006921694787835
immune_ifn_loci	distal_flank_20kb	is_polyp	40	0.03117135085515855	0.10299580462045564	0.7621590434925679	0.6300002109712546	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.8129696463920725
serrated_metaplasia_loci	tss_core_1kb	is_polyp	40	0.05745462615369967	0.11167485601540962	0.6069155246032605	0.70189791622789	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.7469729533578591
serrated_metaplasia_loci	promoter_proximal_2_5kb	is_polyp	40	0.1373712072254859	0.11033479158906426	0.21311711952030143	0.7420427407521928	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.3409873912324823
serrated_metaplasia_loci	proximal_regulatory_10kb	is_polyp	40	0.14669172196678396	0.11316226664580514	0.19487374415897418	0.7463445106768156	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.3409873912324823
serrated_metaplasia_loci	distal_flank_20kb	is_polyp	40	0.17461253989906023	0.11497223237217102	0.1288288043191972	0.6916184807840435	regulatory_window_score ~ is_polyp + score__proliferation_control + score__housekeeping_control + log10_tss_total_counts	0.2576576086383944
