dataset	score	state_set	comparison	cell_type	cell_type_label	proportion_a	proportion_b	mean_score_a	mean_score_b	composition_contribution	composition_ci_low	composition_ci_high	within_state_contribution	within_state_ci_low	within_state_ci_high
validation	core_287	all_states	conventional_vs_normal	ABS	Absorptive	0.3347348236629174	0.6013080846294603	0.07371722034000036	-0.23918692038430225	0.02205489876598263	-0.009887102192616081	0.04028297810121648	0.1464458509501518	0.08225046383235722	0.21648765839957415
validation	core_287	all_states	conventional_vs_normal	GOB	Goblet	0.16976561537163365	0.1292977791202151	0.3645673324863261	0.03548073303407466	0.00809453980408817	-0.0031646558708837915	0.021210359875657024	0.04920887775698484	0.03437512266898254	0.06300544959153224
validation	core_287	all_states	conventional_vs_normal	ASC	Neoplastic	0.34735953352798127	0.004905847557856509	0.8505056383190247	0.4103418237794557	0.2158909304208509	0.12465232832783116	0.30684008201946406	0.07752723693448864	0.04208668289794473	0.11549503965338623
validation	core_287	all_states	conventional_vs_normal	TAC	Transit-amplifying	0.08769924402872661	0.13495243794011252	0.3757271214505905	0.028915058614970294	-0.00956031769968194	-0.017442537863061925	-0.0031003413246660618	0.038609144558716786	0.026318758371927393	0.05204739921567342
validation	core_287	all_states	conventional_vs_normal	SSC	Abnormal	0.007742843982345347	0.0003421168520136384	0.14821199419309636	-0.081916931225157	0.00024531583555693887	-0.0006135096646229077	0.0008234125627626449	0.0009302916744298492	0.000104438177813372	0.0022120545674228272
validation	core_287	all_states	conventional_vs_normal	STM	Crypt stem	0.023785505234553604	0.06999830214741343	0.23862216745402529	0.06931932708792568	-0.007115418874154856	-0.015394965812930362	-0.0026090378819770468	0.0079389324850571	0.0028053465502754357	0.0164123490500425
validation	core_287	all_states	conventional_vs_normal	CT	Other colonic epithelium	0.013799128826693614	0.03554703029081891	-0.12106192637102933	-0.10955078150801327	0.002507671223664265	0.0004910688462732591	0.004337296666501474	-0.0002840153930175638	-0.003739922787381003	0.002783598363257221
validation	core_287	all_states	conventional_vs_normal	TUF	Tuft	0.009013505381563579	0.013506645803986634	0.6839483347714046	0.19689675153274303	-0.001978880331582945	-0.0053329728395901665	0.0010912692657224694	0.005484237644848127	0.0027468665223859857	0.008455254387614752
validation	core_287	all_states	conventional_vs_normal	EE	Enteroendocrine	0.0060997999835849205	0.01014175565812301	0.41213173229678063	0.23409163957422938	-0.0013060031124765834	-0.0030734732916013	0.00014658697318844488	0.0014458240362040778	0.00022408146993337972	0.003107537012775999
validation	core_287	all_states	conventional_vs_serrated	ABS	Absorptive	0.3347348236629174	0.5247264945217853	0.07371722034000036	-0.11247489175750104	0.003681817375604971	-0.030129158140389436	0.017568813478141692	0.08001245904945625	0.013765886859900666	0.15476575417709157
validation	core_287	all_states	conventional_vs_serrated	GOB	Goblet	0.16976561537163365	0.09869075917236501	0.3645673324863261	0.11684470211130656	0.017108145565812038	0.0009164477294796267	0.03615697563671951	0.0332513596214904	0.018176422241999134	0.04812427530996999
validation	core_287	all_states	conventional_vs_serrated	ASC	Neoplastic	0.3473595335279812	0.027686758817379604	0.8505056383190248	0.45982403290232626	0.20943836089247983	0.11711178187903304	0.29882133091589763	0.073261843799533	0.04174948626573974	0.10495737009913461
validation	core_287	all_states	conventional_vs_serrated	TAC	Transit-amplifying	0.08769924402872661	0.06957685427242902	0.3757271214505905	0.10476521156015263	0.004353834666866712	-0.002863274687864628	0.012432577814447832	0.021307915987898694	0.01310148861024016	0.02978794657521965
validation	core_287	all_states	conventional_vs_serrated	SSC	Abnormal	0.007742843982345347	0.201545449819227	0.14821199419309636	-0.02747572131953778	-0.011699502150964231	-0.030886226196439284	-0.0005595911567534083	0.018384691110767615	0.0022902231677460745	0.04128720618925984
validation	core_287	all_states	conventional_vs_serrated	STM	Crypt stem	0.0237855052345536	0.03380419060646798	0.23862216745402534	0.14519630496305394	-0.0019226782575377571	-0.006586379296497321	0.001950885310783939	0.002690183502270075	-0.0004969932227931301	0.006958024321585596
validation	core_287	all_states	conventional_vs_serrated	CT	Other colonic epithelium	0.013799128826693614	0.016271051798755463	-0.1210619263710293	-0.018804171909041486	0.00017286911067558363	-0.0011464542380277666	0.001064920561639104	-0.0015374545735123975	-0.003935104914110082	0.0005826738562233585
validation	core_287	all_states	conventional_vs_serrated	TUF	Tuft	0.009013505381563579	0.01690845468148816	0.6839483347714046	0.2907660694076568	-0.0038476604014499433	-0.010289207085581242	0.001170794852020582	0.00509602749012964	0.0023368838398893773	0.008233654271761846
validation	core_287	all_states	conventional_vs_serrated	EE	Enteroendocrine	0.0060997999835849205	0.010789986310102405	0.41213173229678063	0.406350763666123	-0.0019194177055295563	-0.005333865828958501	0.00084105147110336	4.881966237115885e-05	-0.001168385491880062	0.0016287326318808629
discovery	core_287	all_states	conventional_vs_normal	ABS	Absorptive	0.416497049166257	0.6281391182638753	-0.04924465041666174	-0.2743417018934138	0.03424224256732762	0.01624026759437595	0.05147727226677246	0.11757226057724873	0.072076919578516	0.16543333303459518
discovery	core_287	all_states	conventional_vs_normal	GOB	Goblet	0.140444589791083	0.15946773025922542	0.36213919848550624	-0.04022308777781725	-0.003061927696475225	-0.014907414864122266	0.007915143293693491	0.06033670338698985	0.04337858202167595	0.07680099746079377
discovery	core_287	all_states	conventional_vs_normal	ASC	Neoplastic	0.29538186766757285	0.019136340892967747	0.6784530666188492	0.2360719857830533	0.12631672742466846	0.0727715549933627	0.18003110898172126	0.0695684525227751	0.0363377348743908	0.1103681089914167
discovery	core_287	all_states	conventional_vs_normal	TAC	Transit-amplifying	0.07710851335854828	0.09122202336169422	0.42470163768526215	-0.09617526839095394	-0.002318330099666218	-0.005341600504432384	0.0019139127071965637	0.0438397445824944	0.028520502028939278	0.059179699903433726
discovery	core_287	all_states	conventional_vs_normal	SSC	Abnormal	0.004359406731763185	0.0028568638030076893	-0.0029994936440383324	-0.3675260838382341	-0.00027836529318451755	-0.0008289702648741912	0.0002477837759422336	0.0013152612459794363	0.0005669715995425968	0.002284618442927887
discovery	core_287	all_states	conventional_vs_normal	STM	Crypt stem	0.038852717033241925	0.04932835059103696	0.14848594728962025	-0.09949920117535328	-0.00025658360074090034	-0.0020667972501658546	0.002758756955958716	0.010933797573303336	0.0003757429336049641	0.022544574440530544
discovery	core_287	all_states	conventional_vs_normal	CT	Other colonic epithelium	0.011460979353610278	0.024263814832349944	-0.10587535392504602	-0.22964061177486234	0.0021477778546731938	0.0001616441232018035	0.003811053211141652	0.002210744182028493	5.9152012777739904e-05	0.004491822857303538
discovery	core_287	all_states	conventional_vs_normal	TUF	Tuft	0.012224800877140297	0.019137879543136758	0.4548379200714688	0.0837156291481872	-0.0018615315258035394	-0.0045030353714474005	0.0005958888898351007	0.005819694903533984	0.0038752774974163736	0.00784334045866213
discovery	core_287	all_states	conventional_vs_normal	EE	Enteroendocrine	0.003670076020783119	0.006447878452706022	0.3703242494463168	0.192453068718114	-0.0007816421015141025	-0.0019693869626292724	0.0001855499907724488	0.0008998462543768575	0.0004198879255114643	0.0016565703661879354
discovery	core_287	all_states	conventional_vs_serrated	ABS	Absorptive	0.416497049166257	0.5158813950629972	-0.049244650416661734	-0.14080159263543782	0.009443810777932913	-0.006903511438240191	0.02375459103503628	0.042682859672165084	0.001722681428262835	0.08662971744391164
discovery	core_287	all_states	conventional_vs_serrated	GOB	Goblet	0.140444589791083	0.11916694254275546	0.36213919848550624	0.09948042710602821	0.004911089778120854	-0.015942315572108356	0.02353187338366444	0.03409462305937482	0.0218737239904188	0.04800294296664184
discovery	core_287	all_states	conventional_vs_serrated	ASC	Neoplastic	0.29538186766757285	0.04572846011758602	0.6784530666188491	0.3148797408450109	0.12399446010727382	0.0668642794652122	0.18692833700692765	0.06200930816432714	0.035258037197559995	0.09236907523503803
discovery	core_287	all_states	conventional_vs_serrated	TAC	Transit-amplifying	0.07710851335854828	0.0764211545884923	0.42470163768526203	-0.0030710277236892713	0.00014490574874056886	-0.005494393617396967	0.0068082670336342644	0.032837897638528395	0.020945245115975376	0.0448122528281683
discovery	core_287	all_states	conventional_vs_serrated	SSC	Abnormal	0.004359406731763185	0.17162209857858543	-0.0029994936440383324	-0.16222864675895202	0.013818251766324428	0.003304935686553198	0.028726562579955605	0.014010693027227248	0.0019329668593109518	0.02762708410303035
discovery	core_287	all_states	conventional_vs_serrated	STM	Crypt stem	0.038852717033241925	0.020360305362017127	0.14848594728962025	0.04822836433288532	0.001818861016072487	-0.0015264741958296328	0.008055973807324292	0.0029682772524558436	-0.0032863549235532426	0.010328133007529595
discovery	core_287	all_states	conventional_vs_serrated	CT	Other colonic epithelium	0.011460979353610278	0.02840535644755775	-0.10587535392504603	-0.09510000284873579	0.0017027011158827947	-3.6171706275654925e-06	0.0037000748037068704	-0.00021478688219183067	-0.0029489377821128476	0.0023073726687504463
discovery	core_287	all_states	conventional_vs_serrated	TUF	Tuft	0.012224800877140299	0.0076021568982530185	0.4548379200714687	0.1095056363020218	0.0013043796714468754	-0.0005210335364213893	0.003542328944489808	0.0034234443043884835	0.001629260222861873	0.005392485491717417
discovery	core_287	all_states	conventional_vs_serrated	EE	Enteroendocrine	0.003670076020783119	0.014812130401755596	0.3703242494463168	0.20030369236503034	-0.003178983779482214	-0.006344234709518854	-0.0007811551986522568	0.0015711775160256814	0.0005065390794451959	0.0034107695114828657
validation	core_287	canonical_states	conventional_vs_normal	ABS	Absorptive	0.4690284301309606	0.6044752033800879	0.15873235164335897	-0.23881704479489005	0.005423606637010681	-0.011808615005367732	0.017234192674821958	0.21338536078829234	0.1326623234245224	0.2969966614764753
