dataset	score	state_set	comparison	group_a	group_b	n_unique_donors	n_donors_a	n_donors_b	total_difference	total_ci_low	total_ci_high	composition_component	composition_ci_low	composition_ci_high	within_state_component	within_state_ci_low	within_state_ci_high	within_share_of_total	within_share_ci_low	within_share_ci_high	group_a_total_mean	group_b_total_mean	group_a_pooled_composition_mean	group_b_pooled_composition_mean	pooled_composition_difference	normal_means_composition_shift	numerical_closure_error	n_valid_bootstraps
validation	core_287	all_states	conventional_vs_normal	conventional_adenoma	normal	24	13	19	0.5561391166801103	0.37684773419578127	0.7265707334181396	0.22883273603224658	0.13708811142754682	0.2948036863165191	0.3273063806478637	0.220722559255039	0.45071074999501093	0.5885332839051662	0.5115156640636875	0.6792890550430739	0.42878041976956566	-0.12735869691054463	0.3004953582414365	-0.02681102240642714	0.32730638064786366	0.20109534900823497	0.0	4998
validation	core_287	all_states	conventional_vs_serrated	conventional_adenoma	serrated	19	13	7	0.4478816147463621	0.26291390957900923	0.6151949240735682	0.21536576909595762	0.11811199837765937	0.28214351978999197	0.23251584565040445	0.12761091119038992	0.3480386403325692	0.5191457697634664	0.4192753132109789	0.6168282182364634	0.42878041976956566	-0.01910119497679644	0.302555181710335	0.0700393360599306	0.23251584565040442	0.1782810620734541	5.551115123125783e-17	4998
discovery	core_287	all_states	conventional_vs_normal	conventional_adenoma	normal	27	14	24	0.4666448727580149	0.31480741812282664	0.6112644538230866	0.15414836752928476	0.08410539162856585	0.2194015082270532	0.3124965052287302	0.21956658164064372	0.40478340677736496	0.6696666426050705	0.5984609574500604	0.7573472876840301	0.2749630778256597	-0.1916817949323552	0.18467242562197655	-0.12782407960675363	0.3124965052287302	0.12771543065120322	0.0	5000
discovery	core_287	all_states	conventional_vs_serrated	conventional_adenoma	serrated	25	14	11	0.3473429699546134	0.20554980876369666	0.4877870349703284	0.1539594762023125	0.08046089013205285	0.22554415943448158	0.19338349375230085	0.1122096154980153	0.27219024170154843	0.5567508499670222	0.4771840950616142	0.6465889785433682	0.27496307782565965	-0.07237989212895372	0.18231927820342453	-0.01106421554887638	0.1933834937523009	0.12263135316015462	2.7755575615628914e-17	4999
validation	core_287	canonical_states	conventional_vs_normal	conventional_adenoma	normal	24	13	19	0.4252319600680928	0.29094809048195475	0.5512605642702537	0.046130735760016986	0.01620788761576653	0.07467121913057076	0.3791012243080758	0.2613905198666383	0.5012636559303848	0.8915163014731301	0.8242902522937947	0.9543671862921719	0.2955269629327402	-0.12970499713535255	0.269006223921876	-0.11009500038619985	0.37910122430807586	0.03921999349830543	0.0	4998
validation	core_287	canonical_states	conventional_vs_serrated	conventional_adenoma	serrated	19	13	7	0.3185407914798045	0.1730931916483332	0.45231653051900705	0.04829132775270681	0.014430006424825685	0.08240450759334741	0.2702494637270976	0.14079965544400558	0.39578586663971504	0.8483982929521647	0.7290986482125873	0.9412125482825786	0.2955269629327403	-0.023013828547064238	0.2679608601616921	-0.00228860356540555	0.2702494637270977	0.04145044996331737	5.551115123125783e-17	4998
discovery	core_287	canonical_states	conventional_vs_normal	conventional_adenoma	normal	27	14	24	0.3597927659794845	0.24496964182874545	0.4719108618783488	0.03669359316815292	0.0043147810340916585	0.07499580786329771	0.3230991728113316	0.2281156937347751	0.4111645955338932	0.8980146444349435	0.8211025950888085	0.9838110202503484	0.1612913450585345	-0.19850142092094997	0.1357991120092776	-0.1873000608020539	0.3230991728113315	0.022402720237792037	0.0	5000
discovery	core_287	canonical_states	conventional_vs_serrated	conventional_adenoma	serrated	25	14	11	0.2303981928787243	0.11607107256281048	0.33901433779340023	0.03783259921041007	-0.005980365482352503	0.08097676821774334	0.19256559366831422	0.11121343869555173	0.2729058917405639	0.8357947224424448	0.7237753873752282	1.0445794418599574	0.1612913450585345	-0.06910684782018978	0.13465553892411575	-0.05791005474419847	0.19256559366831422	0.022393586151982607	0.0	4999
validation	signature_12	all_states	conventional_vs_normal	conventional_adenoma	normal	24	13	19	1.1059459626922932	0.755737493244567	1.4491571855075538	0.49402185299029877	0.2958400257159789	0.6415655954319448	0.6119241097019944	0.4100193277314591	0.8490839904957355	0.5533038053797297	0.4729558150322372	0.6510785037168934	0.8745405142900149	-0.23140544840227834	0.6130954477025025	0.001171338000508006	0.6119241097019944	0.4651535728055727	0.0	4998
validation	signature_12	all_states	conventional_vs_serrated	conventional_adenoma	serrated	19	13	7	1.0065149969347014	0.6469653544701426	1.333952600830521	0.4547829062078238	0.25426611751238487	0.5999880406260844	0.5517320907268777	0.3560695993512539	0.7632704237245697	0.5481608246346595	0.46955613087950515	0.6455533188016517	0.8745405142900149	-0.13197448264468653	0.6134068742713346	0.061674783544457	0.5517320907268776	0.387298532378287	-1.1102230246251565e-16	4998
discovery	signature_12	all_states	conventional_vs_normal	conventional_adenoma	normal	27	14	24	0.8283793441186091	0.5400147211906211	1.088305825451156	0.31652598318442227	0.17114232417229414	0.45205902616561133	0.511853360934187	0.33916721418185813	0.6771247556862177	0.6178973009989717	0.529905792566459	0.717403438564292	0.49638575961813625	-0.33199358450047284	0.32810885401185014	-0.18374450692233682	0.511853360934187	0.2964981551562722	-1.1102230246251565e-16	5000
discovery	signature_12	all_states	conventional_vs_serrated	conventional_adenoma	serrated	25	14	11	0.697942212185652	0.416480521438671	0.9676987468263231	0.32301101195105986	0.1545404794004236	0.4803246495896037	0.37493120023459225	0.2408190788349208	0.5127592557815681	0.5371951913618614	0.45374331833353776	0.6598411978261728	0.4963857596181363	-0.20155645256751575	0.3176457024759507	-0.05728549775864161	0.3749312002345923	0.2885419096177483	-1.1102230246251565e-16	4999
validation	signature_12	canonical_states	conventional_vs_normal	conventional_adenoma	normal	24	13	19	0.8376670008502343	0.5844037677805335	1.0812068864076807	0.09678774700652026	0.030118548729853922	0.1600236705068031	0.740879253843714	0.523174030964748	0.967108436213974	0.8844555809071141	0.8147103179624164	0.9569358893900871	0.600572262712859	-0.23709473813737522	0.5426985108811248	-0.19818074296258922	0.740879253843714	0.07782799034957201	0.0	4998
validation	signature_12	canonical_states	conventional_vs_serrated	conventional_adenoma	serrated	19	13	7	0.700234634974	0.4150505519066004	0.961421296646143	0.1129786291436616	0.03284226447722017	0.18894179530580377	0.5872560058303385	0.35688982113197126	0.8189732455820309	0.8386560397032398	0.7418548777757531	0.9343260858037903	0.600572262712859	-0.09966237226114096	0.5340763458624104	-0.053179659967928054	0.5872560058303384	0.09296542458642573	-2.220446049250313e-16	4998
discovery	signature_12	canonical_states	conventional_vs_normal	conventional_adenoma	normal	27	14	24	0.6417989833442359	0.4152600637058041	0.8540248151323953	0.07805149590193225	0.008175623147960413	0.1619965352504054	0.5637474874423036	0.3835461367553945	0.7223142123432607	0.8783863827654764	0.786402876220745	0.9820474226866697	0.29153291064192693	-0.350266072702309	0.23703752496765076	-0.32670996247465284	0.5637474874423036	0.04711222045531222	0.0	5000
