dataset	cell_type	cell_type_label	transformation	n_specimens	n_donors	n_donors_adenoma	n_donors_normal	mean_proportion_adenoma	mean_proportion_normal	absolute_proportion_difference	coefficient	standard_error	ci_low	ci_high	p_value	q_value
discovery	ABS	Absorptive	arcsine_sqrt	49	27	14	24	0.41649704916625707	0.6281391182638753	-0.21164206909761818	-0.2276289699377224	0.07465373765479143	-0.37394760705241525	-0.08131033282302952	0.0022950495217977105	0.006885148565393131
discovery	ASC	Neoplastic	arcsine_sqrt	49	27	14	24	0.29538186766757285	0.019136340892967747	0.2762455267746051	0.425739392947558	0.07986929407854375	0.2691984530829741	0.582280332812142	9.796893213788598e-08	8.817203892409738e-07
discovery	CT	Other colonic epithelium	arcsine_sqrt	49	27	14	24	0.01146097935361028	0.024263814832349948	-0.012802835478739668	-0.06659545079580763	0.020777756886602647	-0.1073191059730779	-0.025871795618537356	0.0013500061427610868	0.00607502764242489
discovery	EE	Enteroendocrine	arcsine_sqrt	49	27	14	24	0.003670076020783119	0.006447878452706022	-0.0027778024319229026	-0.021803776082681508	0.012303495431937927	-0.04591818401323292	0.0023106318478699067	0.07636781772919364	0.1718275898906857
discovery	GOB	Goblet	arcsine_sqrt	49	27	14	24	0.140444589791083	0.1594677302592254	-0.01902314046814238	-0.043158581625950224	0.053020215799382465	-0.1470762950452814	0.060759131793380966	0.41564358993380135	0.41564358993380135
discovery	SSC	Abnormal	arcsine_sqrt	49	27	14	24	0.004359406731763185	0.0028568638030076897	0.0015025429287554956	0.013791631474350108	0.013695561045153515	-0.013051174922220523	0.04063443787092074	0.3139277038829934	0.3907086917489061
discovery	STM	Crypt stem	arcsine_sqrt	49	27	14	24	0.038852717033241925	0.04932835059103697	-0.010475633557795044	-0.04574742757695079	0.048675456220628285	-0.14114956870043838	0.049654713546536784	0.3472966148879165	0.3907086917489061
discovery	TAC	Transit-amplifying	arcsine_sqrt	49	27	14	24	0.07710851335854828	0.0912220233616942	-0.014113510003145924	-0.031882998309634716	0.024647705311921536	-0.0801916130225575	0.016425616403288074	0.19582147617561363	0.35247865711610454
discovery	TUF	Tuft	arcsine_sqrt	49	27	14	24	0.012224800877140299	0.019137879543136758	-0.006913078665996459	-0.016960100674948422	0.015750601121603	-0.04783071160814649	0.013910510258249641	0.28157378478249706	0.3907086917489061
discovery	ABS	Absorptive	empirical_logit	49	27	14	24	0.41649704916625707	0.6281391182638753	-0.21164206909761818	-1.018663652878135	0.35058480224523864	-1.7057972388059	-0.33153006695037013	0.0036653482885220224	0.010996044865566067
discovery	ASC	Neoplastic	empirical_logit	49	27	14	24	0.29538186766757285	0.019136340892967747	0.2762455267746051	3.342596223083832	0.5414139488062015	2.2814443826960646	4.4037480634716	6.665634549359557e-10	5.999071094423601e-09
discovery	CT	Other colonic epithelium	empirical_logit	49	27	14	24	0.01146097935361028	0.024263814832349948	-0.012802835478739668	-1.4598127272353532	0.3793611462048033	-2.2033469109306014	-0.7162785435401048	0.000119046300241109	0.0005357083510849905
discovery	EE	Enteroendocrine	empirical_logit	49	27	14	24	0.003670076020783119	0.006447878452706022	-0.0027778024319229026	-0.6108412506497074	0.2948961644699127	-1.1888271121897365	-0.032855389109678224	0.038323541140774055	0.08622796756674163
discovery	GOB	Goblet	empirical_logit	49	27	14	24	0.140444589791083	0.1594677302592254	-0.01902314046814238	-0.39825125914948395	0.36463849878323057	-1.1129295841413682	0.31642706584240027	0.2747535292573645	0.3532545376166115
discovery	SSC	Abnormal	empirical_logit	49	27	14	24	0.004359406731763185	0.0028568638030076897	0.0015025429287554956	0.36867734584375284	0.3980178231888407	-0.4114232528114062	1.148777944498912	0.35429866384718056	0.35429866384718056
discovery	STM	Crypt stem	empirical_logit	49	27	14	24	0.038852717033241925	0.04932835059103697	-0.010475633557795044	-0.9643832608309977	0.7024517098294172	-2.341163312975236	0.4123967913132407	0.16978905424288682	0.3056202976371963
discovery	TAC	Transit-amplifying	empirical_logit	49	27	14	24	0.07710851335854828	0.0912220233616942	-0.014113510003145924	-0.2800840753549729	0.23604418568537358	-0.7427221780583901	0.18255402734844434	0.23539539261332054	0.3530930889199808
discovery	TUF	Tuft	empirical_logit	49	27	14	24	0.012224800877140299	0.019137879543136758	-0.006913078665996459	-0.2559164958220891	0.263590653701955	-0.7725446837392903	0.26071169209511214	0.33160501193732017	0.35429866384718056
validation	ABS	Absorptive	arcsine_sqrt	46	24	13	19	0.3347348236629174	0.6013080846294603	-0.2665732609665429	-0.32209750755412875	0.06931961336832496	-0.45796145317828696	-0.18623356192997056	3.375215444236515e-06	1.0125646332709545e-05
validation	ASC	Neoplastic	arcsine_sqrt	46	24	13	19	0.3473595335279812	0.004905847557856509	0.3424536859701247	0.5429554798766636	0.09602999769876418	0.35474014295162154	0.7311708168017057	1.5673841409990245e-08	1.410645726899122e-07
validation	CT	Other colonic epithelium	arcsine_sqrt	46	24	13	19	0.013799128826693614	0.03554703029081891	-0.021747901464125297	-0.1158782805034819	0.024930310996578234	-0.16474079218015808	-0.0670157688268057	3.3502591655173634e-06	1.0125646332709545e-05
validation	EE	Enteroendocrine	arcsine_sqrt	46	24	13	19	0.0060997999835849205	0.010141755658123008	-0.0040419556745380876	-0.042195327870026514	0.015075605155646165	-0.07174297102023935	-0.012647684719813673	0.005127473347327254	0.007691210020990882
validation	GOB	Goblet	arcsine_sqrt	46	24	13	19	0.16976561537163365	0.1292977791202151	0.04046783625141856	0.03945054523378483	0.04265715990595116	-0.04415595186464545	0.12305704233221511	0.35505526936168785	0.35505526936168785
