dataset	score	min_cells_per_specimen_state	primary_threshold	comparison	group_a	group_b	cell_type	cell_type_label	n_donors_a	n_donors_b	mean_a	mean_b	effect_a_minus_b	bootstrap_ci_low	bootstrap_ci_high	bootstrap_p_directional	n_paired_donors	paired_median_difference	paired_wilcoxon_p	paired_wilcoxon_q
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	14	24	0.014982997081284232	-0.27691324249807003	0.2918962395793543	0.19431694972747635	0.3855952476108261	0.0	11	0.25263402657227224	0.0048828125	0.009765625
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	11	11	0.679254808589513	0.24062843497298145	0.43862637361653156	0.32312956309701535	0.5472979612389314	0.0	6	0.47111943079583934	0.03125	0.046875
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	6	21	-0.028271790902585154	-0.22253331374805718	0.19426152284547202	0.0640406335417158	0.2984186050414785	0.008006405124099279	3	0.26680361516184564	0.25	0.25
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	EE	Enteroendocrine	4	6	0.3640252941333908	0.10015204946874363	0.2638732446646472	0.12982639277647132	0.4052747320793445	0.0	1			
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	12	23	0.3531389178707835	-0.02044671201226919	0.37358562988305266	0.29148746453348734	0.45375020991047105	0.0	9	0.38406871258147	0.00390625	0.009765625
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	SSC	Abnormal	4	1	0.021011674335665517	-0.32382926295150266	0.3448409372871682	0.2175121681868724	0.48355013575737693	0.0	0			
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	6	14	0.14718460806362044	-0.07705341224772584	0.22423802031134626	0.08253231561441104	0.3359409092300191	0.0028011204481792717	2			
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	12	24	0.39271290386876095	-0.09163469843516159	0.48434760230392254	0.36223911975862644	0.5960327191747578	0.0	9	0.5022580845764971	0.00390625	0.009765625
discovery	core_287	10	False	conventional_vs_normal	conventional_adenoma	normal	TUF	Tuft	7	15	0.446375005617674	0.08666910068950533	0.3597059049281687	0.25834018527446345	0.4439335227080054	0.0	4	0.40561102143207106	0.125	0.15
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	ABS	Absorptive	14	11	0.014982997081284232	-0.12981461127303429	0.1447976083543185	0.062177228197505686	0.22510886013294737	0.0004	0			
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	ASC	Neoplastic	11	9	0.679254808589513	0.3340722200776342	0.34518258851187883	0.24632048064523693	0.4482732709740707	0.0	0			
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	CT	Other colonic epithelium	6	8	-0.028271790902585154	-0.09207339115687196	0.06380160025428681	-0.06557115061462145	0.18377290542017893	0.3148	0			
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	EE	Enteroendocrine	4	3	0.3640252941333908	0.22201808352553157	0.14200721060785923	0.01791707886302024	0.2961896339410448	0.01961585615038823	0			
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	GOB	Goblet	12	8	0.3531389178707835	0.10098957862772569	0.2521493392430578	0.17492842306638126	0.3319797409936705	0.0	0			
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	SSC	Abnormal	4	7	0.021011674335665517	-0.1820295706153976	0.20304124495106313	0.04897994470319072	0.3704321585777464	0.003621001810500905	0			
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	STM	Crypt stem	6	5	0.14718460806362044	0.05219228170802735	0.09499232635559308	-0.060258832394631846	0.22657296886235662	0.21229721610254357	0			
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	TAC	Transit-amplifying	12	11	0.39271290386876095	-0.0031651670042643744	0.39587807087302535	0.2832921988151446	0.5070454457661562	0.0	0			
discovery	core_287	10	False	conventional_vs_serrated	conventional_adenoma	serrated	TUF	Tuft	7	2	0.446375005617674	0.27070993041350033	0.17566507520417368	0.08652906843161356	0.24967804745904162	0.000445632798573975	0			
discovery	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	14	24	0.014982997081284232	-0.27691324249807003	0.2918962395793543	0.19431694972747635	0.3855952476108261	0.0	11	0.25263402657227224	0.0048828125	0.015625
discovery	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	11	8	0.679254808589513	0.23587479650594795	0.4433800120835651	0.31628305642076754	0.5617172467128078	0.0	5	0.5141469876989613	0.0625	0.0625
discovery	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	4	12	-0.0795453095773934	-0.24755618982705385	0.16801088024966043	0.00840731359487415	0.29328291532603845	0.04192703084055634	1			
discovery	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	11	23	0.3606201960226873	-0.02044671201226919	0.38106690803495646	0.296733033556924	0.462349914990231	0.0	8	0.40126460192557756	0.0078125	0.015625
discovery	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	SSC	Abnormal	2	1	-0.1043737997199429	-0.32382926295150266	0.21945546323155976	0.2136255780974977	0.22528534836562183	0.0	0			
discovery	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	4	12	0.09843312937044918	-0.09126320811273086	0.18969633748318004	-0.009168657207569514	0.33279439458072935	0.05344129554655871	1			
discovery	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	11	21	0.41517604399420605	-0.09020829811509792	0.5053843421093039	0.3858151263926182	0.6101840556058491	0.0	7	0.5618104525223272	0.015625	0.020833333333333332
discovery	core_287	20	True	conventional_vs_normal	conventional_adenoma	normal	TUF	Tuft	2	7	0.48040861787842065	0.10051072840657342	0.3798978894718472	0.30063432724086686	0.45558527078357025	0.0	1			
discovery	core_287	20	True	conventional_vs_serrated	conventional_adenoma	serrated	ABS	Absorptive	14	11	0.014982997081284232	-0.12981461127303429	0.1447976083543185	0.062177228197505686	0.22510886013294737	0.0004	0			
discovery	core_287	20	True	conventional_vs_serrated	conventional_adenoma	serrated	ASC	Neoplastic	11	6	0.679254808589513	0.32415806145487375	0.3550967471346393	0.2537661838940978	0.4603080106716296	0.0	0			
discovery	core_287	20	True	conventional_vs_serrated	conventional_adenoma	serrated	CT	Other colonic epithelium	4	4	-0.0795453095773934	-0.060161618234477826	-0.01938369134291558	-0.16754369085037035	0.10617973464557963	0.8197979797979797	0			
discovery	core_287	20	True	conventional_vs_serrated	conventional_adenoma	serrated	GOB	Goblet	11	7	0.3606201960226873	0.09116974521258717	0.2694504508101001	0.18741460494467907	0.34886196515935963	0.0	0			
discovery	core_287	20	True	conventional_vs_serrated	conventional_adenoma	serrated	SSC	Abnormal	2	7	-0.1043737997199429	-0.1820295706153976	0.0776557708954547	-0.001228607022289871	0.15479243571238085	0.053595355069227336	0			
discovery	core_287	20	True	conventional_vs_serrated	conventional_adenoma	serrated	STM	Crypt stem	4	1	0.09843312937044918	-0.052835947514017975	0.15126907688446717	-0.011762386308721545	0.2802492679364003	0.06745562130177515	0			
discovery	core_287	20	True	conventional_vs_serrated	conventional_adenoma	serrated	TAC	Transit-amplifying	11	9	0.41517604399420605	0.0003873150672661363	0.4147887289269399	0.29726295235156147	0.5228171029829968	0.0	0			
discovery	core_287	20	True	conventional_vs_serrated	conventional_adenoma	serrated	TUF	Tuft	2	1	0.48040861787842065	0.2513528769468842	0.22905574093153647	0.16964424370264158	0.28846723816043135	0.0	0			
discovery	core_287	50	False	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	13	24	0.021004136729279997	-0.27854501649283675	0.2995491532221167	0.19694553383631933	0.39466486933395156	0.0	10	0.28197385036145417	0.009765625	0.015625
discovery	core_287	50	False	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	10	2	0.6971822062838672	0.2575029881445472	0.43967921813932	0.23306438056617243	0.6293086348281071	0.0	1			
discovery	core_287	50	False	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	1	2	-0.050867212789570924	-0.1237206283853548	0.07285341559578387	0.010077963334832005	0.13562886785673575	0.0	0			
discovery	core_287	50	False	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	9	19	0.39273940155638765	-0.05123297693372531	0.44397237849011295	0.37850573669958937	0.5190467190368607	0.0	7	0.4184604912696851	0.015625	0.015625
discovery	core_287	50	False	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	2	9	-0.00036179742728326136	-0.10406738915190666	0.1037055917246234	-0.06406451227142725	0.26141390887531246	0.4814649397052255	1			
discovery	core_287	50	False	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	11	17	0.41517604399420605	-0.09831110366187482	0.5134871476560808	0.40006486840033656	0.6184720669891273	0.0	7	0.5618104525223272	0.015625	0.015625
discovery	core_287	50	False	conventional_vs_serrated	conventional_adenoma	serrated	ABS	Absorptive	13	10	0.021004136729279997	-0.13738669526269212	0.15839083199197213	0.06784916902888335	0.2426775148558351	0.0016	0			
discovery	core_287	50	False	conventional_vs_serrated	conventional_adenoma	serrated	ASC	Neoplastic	10	2	0.6971822062838672	0.27175980261578725	0.42542240366807993	0.3213447226846416	0.5345158600793017	0.0	0			
discovery	core_287	50	False	conventional_vs_serrated	conventional_adenoma	serrated	CT	Other colonic epithelium	1	1	-0.050867212789570924	-0.015248029367766522	-0.0356191834218044	-0.0356191834218044	-0.0356191834218044	0.0	0			
discovery	core_287	50	False	conventional_vs_serrated	conventional_adenoma	serrated	GOB	Goblet	9	6	0.39273940155638765	0.08347844622348542	0.3092609553329022	0.23546686062794653	0.3878583121454638	0.0	0			
discovery	core_287	50	False	conventional_vs_serrated	conventional_adenoma	serrated	STM	Crypt stem	2	1	-0.00036179742728326136	-0.052835947514017975	0.052474150086734714	-0.07719445359357975	0.1821427537670492	0.6537660017862459	0			
discovery	core_287	50	False	conventional_vs_serrated	conventional_adenoma	serrated	TAC	Transit-amplifying	11	5	0.41517604399420605	-0.004079299678783987	0.41925534367299006	0.3046596052024018	0.526807472091714	0.0	0			
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	ABS	Absorptive	14	24	-0.15972757848243369	-0.14750292028038692	-0.012224658202046768	-0.03733538165609843	0.017667261304106008	0.3716	11	-0.018681248173730264	0.0419921875	0.251953125
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	ASC	Neoplastic	11	11	-0.001104388825196081	-0.025239363305281596	0.024134974480085516	-0.054573915629190055	0.10740876869173892	0.604	6	0.03544799754203978	0.5625	0.75
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	CT	Other colonic epithelium	6	21	-0.16283628082901838	-0.13927679030644827	-0.023559490522570115	-0.07872217924338651	0.054524612835054075	0.466373098478783	3	-0.07246613352130893	0.75	0.75
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	EE	Enteroendocrine	4	6	-0.1291294225056707	-0.07341468677550567	-0.05571473573016503	-0.17112618814543185	0.07628992496482807	0.37409493161705554	1			
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	GOB	Goblet	12	23	-0.11432580136113614	-0.1566416611381207	0.04231585977698456	0.018510354391152707	0.0685465645657049	0.0004	9	0.01390406965315362	0.49609375	0.75
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	SSC	Abnormal	4	1	-0.08676670999808181	-0.24438014513099338	0.15761343513291157	0.10071251842511783	0.2499278252342331	0.0	0			
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	STM	Crypt stem	6	14	-0.07211292701947486	0.0944218351057199	-0.16653476212519475	-0.2455947916737881	-0.09541442555410069	0.0	2			
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	TAC	Transit-amplifying	12	24	1.3610661170125988	1.3234639987310608	0.03760211828153803	-0.11307328039154647	0.20821608626778035	0.6716	9	-0.07967943808720968	0.1640625	0.4921875
discovery	proliferation_control	10	False	conventional_vs_normal	conventional_adenoma	normal	TUF	Tuft	7	15	-0.16537829625167713	-0.12011633306122585	-0.04526196319045128	-0.1140521057845973	0.024100993528931153	0.19803960792158432	4	-0.07162430145483831	0.625	0.75
discovery	proliferation_control	10	False	conventional_vs_serrated	conventional_adenoma	serrated	ABS	Absorptive	14	11	-0.15972757848243369	-0.15525097033442936	-0.004476608148004324	-0.048252458446217165	0.03422970232889904	0.8676	0			
discovery	proliferation_control	10	False	conventional_vs_serrated	conventional_adenoma	serrated	ASC	Neoplastic	11	9	-0.001104388825196081	-0.036628736742917424	0.03552434791772134	-0.02765791339725554	0.10967296487847865	0.3108	0			
discovery	proliferation_control	10	False	conventional_vs_serrated	conventional_adenoma	serrated	CT	Other colonic epithelium	6	8	-0.16283628082901838	-0.17660370618353347	0.013767425354515084	-0.04825283475924878	0.09168970337326585	0.7712	0			
discovery	proliferation_control	10	False	conventional_vs_serrated	conventional_adenoma	serrated	EE	Enteroendocrine	4	3	-0.1291294225056707	-0.10716296990991725	-0.021966452595753444	-0.13759152957482315	0.11818834448335894	0.7245606865549653	0			
discovery	proliferation_control	10	False	conventional_vs_serrated	conventional_adenoma	serrated	GOB	Goblet	12	8	-0.11432580136113614	-0.14739962605888818	0.03307382469775204	0.00861483281446427	0.058626136705761084	0.0068	0			
discovery	proliferation_control	10	False	conventional_vs_serrated	conventional_adenoma	serrated	SSC	Abnormal	4	7	-0.08676670999808181	-0.13133007811274194	0.044563368114660135	-0.04109001813563179	0.1581913851990865	0.4264735465701066	0			
