gene	arm	selection_order_within_arm	selected_k_by_one_se	logFC	adj.P.Val	direction_stability	discovery_effect_adenoma_minus_normal	bootstrap_ci_low	bootstrap_ci_high
ASCL2	up	1	21	0.499044533279113	0.000978890866502063	1	0.50405955	0.283549062162638	0.745549570024013
IL27RA	up	2	21	0.170562518155167	0.000718934584951051	1	0.17146082	0.0979705661535263	0.246839733794332
LRRC36	up	3	21	0.26957177354012	0.00367140716167231	1	0.27030173	0.122895560972393	0.426635754108429
SOX4	up	4	21	0.392421773137814	0.000876914765356424	1	0.39757302	0.236581550166011	0.55647551715374
SLC7A5	up	5	21	0.30123764189625	0.00599492783984535	1	0.30587047	0.129347436502576	0.492662789672613
TTC39C	up	6	21	0.180984849949768	0.0152761768284806	0.999	0.18497209	0.0782729186117649	0.294276659190655
KIF3C	up	7	21	0.138361065037674	0.00565173001987822	1	0.14105037	0.0648982048034668	0.223744058981538
AXIN2	up	8	21	0.42414270203647	0.00233896257247458	1	0.42774308	0.211632934585214	0.651855410635471
CYFIP2	up	9	21	0.155083178824502	0.00927976351675821	1	0.15874185	0.0732105424627662	0.246226823329926
ZNF503	up	10	21	0.239039409921495	0.00367140716167231	1	0.2449439	0.122415625862777	0.391752018034458
LHFPL7	up	11	21	0.114817131247409	0.00164600921242725	1	0.11603244	0.0600365503691137	0.168102318048477
LINC02563	up	12	21	0.056945388445576	0.0112382939490476	0.999	0.05686221	0.0205344774760306	0.0904537007212639
LCN15	up	13	21	0.195635916170669	0.0164156675663938	0.999	0.19799584	0.0588444786146283	0.336434181034565
LNC-LBCS	up	14	21	0.165960223900838	0.0202592642446415	1	0.16730784	0.0779124202206731	0.261255936324596
FGFRL1	up	15	21	0.12655207987579	0.00844102757097519	0.998	0.12934683	0.0568948607891798	0.200040380656719
TBX3	up	16	21	0.28070207358651	0.0063635465034481	0.999	0.28470665	0.115428022108972	0.466702666133642
ANKRD13B	up	17	21	0.083571703482962	0.00774047728272408	1	0.08444162	0.0312113798689097	0.132503469660878
CYP4X1	up	18	21	0.259352237022534	0.00190713772756869	1	0.25991496	0.130106462910771	0.392874815315008
NOB1	up	19	21	0.183363623653523	0.0282081905038916	1	0.19008607	0.0860528375953436	0.311042249202728
RNF43	up	20	21	0.474688784834349	0.000718934584951051	1	0.4764946	0.253895629197359	0.685984052717686
LINC02026	up	21	21	0.0589146217254934	0.0416380511489975	1	0.060810365	0.0209733088035136	0.100174886547029
SLC25A5	down	1	7	-0.437096779562535	0.00411240976360146	1	-0.43387944	-0.631731453537941	-0.220588910579682
MOCS1	down	2	7	-0.140565696009852	0.0029378217143831	1	-0.14160255	-0.187371487542987	-0.0919791802763939
GLRX2	down	3	7	-0.103900607210592	0.00487373023697892	1	-0.10141659	-0.142737450823188	-0.0548838683404028
C15orf48	down	4	7	-0.566234720169745	0.00190713772756869	1	-0.5671823	-0.775945611298084	-0.325283541530371
TSPAN7	down	5	7	-0.292016248576254	0.0029378217143831	1	-0.28988668	-0.397380041331053	-0.139560733735561
SLC17A1	down	6	7	-0.159785781038007	0.00565173001987822	1	-0.16522539	-0.22362942956388	-0.107187680527568
ATP5MG	down	7	7	-0.303007714895236	0.00599492783984535	1	-0.2975394	-0.441804587841034	-0.155544988811016
