dataset	specimen_id	donor_id	polyp_type	sample_classification	route_group	n_cells	full_stable_core	adaptive_minimum_sufficient	reference_100_gene	compact_10_gene
validation	HTA11_10167_2000001011	HTA11_10167	SSL	SER	serrated	543	-0.578762217530675	-0.543483035293665	-0.694969017042844	-0.987575437059888
validation	HTA11_10167_2000002021	HTA11_10167	NL	NL	normal	887	-0.662629082266787	-0.735518067516897	-0.610884203681725	-0.341536040597173
validation	HTA11_10623_2000001011	HTA11_10623	TA	AD	conventional_adenoma	911	0.41845715077077	0.400148562537296	0.486430859319797	0.339709645502071
validation	HTA11_10711_2000001011	HTA11_10711	TA	AD	conventional_adenoma	473	2.62975849892788	2.4491874096569	3.14626536959104	3.4335717104089
validation	HTA11_11156_2000001011	HTA11_11156	TA	AD	conventional_adenoma	286	2.28404966078718	2.1422709131574	2.2777632982226	3.14331776323512
validation	HTA11_11167_2000001011	HTA11_11167	TA	AD	conventional_adenoma	655	0.909281647127285	1.20694795975932	0.982360717599525	1.17922784725265
validation	HTA11_3918_2000002011	HTA11_3918	NL	NL	normal	1128	0.0772118843837886	0.204281935797579	0.049635186680016	-0.437358030576331
validation	HTA11_3918_2000002021	HTA11_3918	NL	NL	normal	1159	0.16054931037716	0.426075357032002	0.290408405046108	-0.382465971493708
validation	HTA11_4255_2000001011	HTA11_4255	HP	SER	serrated	1273	0.239776571563737	0.513754769460687	0.239197733737687	-0.0749606916657265
validation	HTA11_4255_2000002011	HTA11_4255	NL	NL	normal	1097	-0.625923759412128	-0.604277466749435	-0.838718819920545	-1.31874706350018
validation	HTA11_4255_2000002021	HTA11_4255	NL	NL	normal	1220	-1.17406433083007	-1.05720692912468	-1.66720235003325	-2.28376410001195
validation	HTA11_6182_2000001011	HTA11_6182	TV	AD	conventional_adenoma	422	2.30354798992245	2.83133089289672	2.64093934428512	1.71406884609899
validation	HTA11_6298_2000001011	HTA11_6298	UNC	UNC	uncertain	678	1.87848301336909	2.60420596333694	2.21272109896755	3.03870534830031
validation	HTA11_6298_2000002011	HTA11_6298	NL	NL	normal	1370	-1.15959629413034	-1.52378638941513	-1.15520724461377	-0.896495897698804
validation	HTA11_6801_2000001011	HTA11_6801	SSL	SER	serrated	1264	-0.779436519028533	-0.689636525254454	-0.694095029159849	-0.191118975079857
validation	HTA11_6801_2000001021	HTA11_6801	TA	AD	conventional_adenoma	1014	0.0582666947804088	-0.0388362086890091	-0.0979900829960382	0.289765436689181
validation	HTA11_6801_2000002011	HTA11_6801	NL	NL	normal	495	-1.1362443988272	-0.821560464255918	-1.2797299396922	-1.26678697182737
validation	HTA11_6801_2000002021	HTA11_6801	NL	NL	normal	1194	-1.17900635937924	-1.49912963130711	-1.27167219657265	-1.03596118988882
validation	HTA11_6818_2000001011	HTA11_6818	TA	AD	conventional_adenoma	1142	2.37570904306202	2.9520606704394	2.39975002689178	2.72000743180838
validation	HTA11_6818_2000001021	HTA11_6818	TV	AD	conventional_adenoma	1523	2.42518028574092	2.55187137172669	2.50865042353236	2.51399152887602
validation	HTA11_6818_2000002011	HTA11_6818	NL	NL	normal	1365	-0.653957756478972	-0.868055237722613	-0.722726499137527	-0.917999458289427
validation	HTA11_6818_2000002021	HTA11_6818	NL	NL	normal	1181	-0.642223491037586	-0.713118327320858	-0.448575745470929	-0.322387684104296
validation	HTA11_7029_2000001011	HTA11_7029	UNC	UNC	uncertain	684	2.32404267733676	2.1738994314357	2.73137959177565	3.21768862505851
validation	HTA11_7029_2000002011	HTA11_7029	NL	NL	normal	913	-0.967737182294858	-0.873908720987826	-0.950034446443429	-0.603995919478659
validation	HTA11_7128_2000001011	HTA11_7128	TA	AD	conventional_adenoma	163	2.53322132144381	3.17714597341508	2.36569986343966	3.14296509988657
validation	HTA11_7179_2000001011	HTA11_7179	UNC	UNC	uncertain	334	1.17300612067932	1.18721078136433	1.14683532739017	1.47770956355735
validation	HTA11_7469_2000001011	HTA11_7469	TA	AD	conventional_adenoma	1356	-1.29351260108468	-1.78984698796256	-1.4304082688615	-1.2427989006889
validation	HTA11_7469_2000002011	HTA11_7469	NL	NL	normal	2083	-1.32853122503406	-1.73542794955897	-1.54858449821671	-1.56391935936665
validation	HTA11_7469_2000002021	HTA11_7469	NL	NL	normal	1799	-1.4447139988852	-1.82351583591118	-1.60272116552113	-1.51018284398928
validation	HTA11_7663_2000001011	HTA11_7663	SSL	SER	serrated	2048	-0.241184490170031	-0.2656942172415	-0.247698474082922	-0.56607929328227
validation	HTA11_7663_2000002011	HTA11_7663	NL	NL	normal	822	0.284132201143818	0.237606297387629	0.397335093397333	0.0599491089712649
validation	HTA11_7663_2000002021	HTA11_7663	NL	NL	normal	2171	-0.358133214172957	-0.261648997787248	-0.358520305997496	-0.791032707120068
validation	HTA11_7696_3000711011	HTA11_7696	TA	AD	conventional_adenoma	1188	2.97350568726793	3.23204428595708	3.51422685764983	4.11608486167808
validation	HTA11_7696_3000712011	HTA11_7696	NL	NL	normal	741	-1.03265371082625	-1.08655119838603	-1.1489100501911	-0.975146456600397
validation	HTA11_7862_2000001011	HTA11_7862	TA	AD	conventional_adenoma	857	-0.0962342206997573	-0.14892501481718	-0.0473463083160133	-0.382824654777571
validation	HTA11_7862_2000002011	HTA11_7862	NL	NL	normal	543	-0.357730499476276	-0.281431471035944	-0.405274682169509	-0.426620243895663
validation	HTA11_7862_2000002021	HTA11_7862	NL	NL	normal	1098	-0.987646840541294	-1.20500131842193	-1.01051956153796	-1.20691423939021
validation	HTA11_7956_2000001011	HTA11_7956	UNC	UNC	uncertain	1515	-0.835053100319301	-1.31032163380006	-0.887992842416452	-0.635950200142131
validation	HTA11_7956_2000002011	HTA11_7956	NL	NL	normal	1012	-1.55083603958193	-2.16954796114161	-1.90288301319379	-1.82575830684533
validation	HTA11_7956_2000002021	HTA11_7956	NL	NL	normal	905	-0.941885518964199	-0.891909180511344	-0.93096945463724	-0.997741747730888
validation	HTA11_8099_2000001011	HTA11_8099	UNC	UNC	uncertain	695	0.165764086613305	0.526204201489598	0.0659994560506429	-0.181864338710406
