scope	cohort	panel_id	panel_label	paired_primary	analysis_evaluable	comparison	group_a	group_b	n_a	n_b	median_a	median_b	median_difference_a_minus_b	auc_a_vs_b	rank_biserial_a_vs_b	p_mannwhitney	n_pairs	median_paired_difference	p_paired_wilcoxon	paired_positive_fraction	primary_p_value	clustered_mean_difference	clustered_ci_low	clustered_ci_high	p_patient_clustered_ols	n_patient_clusters	clustered_standardized_mean_difference	clustered_standardized_ci_low	clustered_standardized_ci_high	p_patient_clustered_standardized_ols
external_sporadic	GSE8671	stable_core_287	Error-controlled core (287)	True	False																									
external_sporadic	GSE8671	adaptive_28	Adaptive minimum-sufficient (28)	True	False																									
external_sporadic	GSE8671	reference_100	Current reference (100)	True	True	adenoma_vs_normal	adenoma	normal	32.0	32.0	1.0342806647910323	-1.0921930500645367	2.1264737148555692	1.0	1.0	6.511314301013014e-12	32.0	2.2591115990544495	4.656612873077393e-10	1.0	4.656612873077393e-10	2.1691486582384707	2.0019779710742838	2.3363193454026576	7.652442488568066e-23	32.0	1.9026532181276965	1.7560206465418209	2.049285789713572	7.652442488567894e-23
external_sporadic	GSE8671	compact_10	Biology-guided compact panel (10)	True	True	adenoma_vs_normal	adenoma	normal	32.0	32.0	1.6337237153134245	-1.5785087363706545	3.212232451684079	1.0	1.0	6.511314301013014e-12	32.0	3.2604032838934334	4.656612873077393e-10	1.0	4.656612873077393e-10	3.2025730786986815	2.970046069739539	3.435100087657824	1.2947687050424235e-23	32.0	1.897425469251114	1.7596604102670002	2.035190528235228	1.2947687050424594e-23
external_sporadic	GSE50114	stable_core_287	Error-controlled core (287)	False	True	adenoma_vs_normal	adenoma	normal	37.0	9.0	0.5067227650794939	-1.483523108072212	1.9902458731517059	1.0	1.0	4.296382289207858e-06					3.507808700564682e-20	1.8968267760127604	1.6679886895372231	2.1256648624882977	3.507808700564682e-20	43.0	2.151808570099989	1.8922088207341403	2.4114083194658376	3.5078087005646357e-20
external_sporadic	GSE50114	adaptive_28	Adaptive minimum-sufficient (28)	False	False																									
external_sporadic	GSE50114	reference_100	Current reference (100)	False	True	adenoma_vs_normal	adenoma	normal	37.0	9.0	0.5541426340967485	-1.9729750169832234	2.5271176510799718	1.0	1.0	4.296382289207858e-06					2.427453657831274e-23	2.5016327856100125	2.2531016830429875	2.7501638881770374	2.427453657831274e-23	43.0	2.207227461658834	1.987944808418214	2.426510114899454	2.427453657831327e-23
external_sporadic	GSE50114	compact_10	Biology-guided compact panel (10)	False	True	adenoma_vs_normal	adenoma	normal	37.0	9.0	0.7446562703710857	-2.883532351369481	3.6281886217405663	1.0	1.0	4.296382289207858e-06					8.791017374520916e-26	3.5588166111415145	3.2530876821486654	3.8645455401343636	8.791017374520916e-26	43.0	2.213256631876235	2.0231213555792076	2.403391908173262	8.791017374521202e-26
external_sporadic	GSE41657	stable_core_287	Error-controlled core (287)	False	True	adenoma_vs_normal	adenoma	normal	51.0	12.0	0.35798492846907215	-1.874453428678962	2.232438357148034	0.9983660130718954	0.9967320261437909	9.831228237838418e-08					1.230430827030404e-27	2.1943422823325935	1.9644248824158317	2.4242596822493554	1.230430827030404e-27	63.0	2.2157956470253617	1.9836304201085277	2.4479608739421956	1.230430827030375e-27
external_sporadic	GSE41657	adaptive_28	Adaptive minimum-sufficient (28)	False	False																									
external_sporadic	GSE41657	reference_100	Current reference (100)	False	True	adenoma_vs_normal	adenoma	normal	51.0	12.0	0.39610414142057293	-2.2398428502015553	2.635946991622128	0.9983660130718954	0.9967320261437909	9.831228237838418e-08					1.1370566116036493e-29	2.705232099292319	2.4454400705913257	2.965024127993312	1.1370566116036493e-29	63.0	2.2253189473594635	2.011614502556924	2.439023392162003	1.1370566116036647e-29
external_sporadic	GSE41657	compact_10	Biology-guided compact panel (10)	False	True	adenoma_vs_normal	adenoma	normal	51.0	12.0	0.3504414832867813	-3.011752627951908	3.362194111238689	1.0	1.0	8.926632494332748e-08					2.567722844810795e-31	3.354639400902522	3.0540111958832044	3.6552676059218396	2.567722844810795e-31	63.0	2.1519456806384873	1.9590976603429604	2.344793700934014	2.567722844811061e-31
external_sporadic	GSE40362	stable_core_287	Error-controlled core (287)	False	False																									
external_sporadic	GSE40362	adaptive_28	Adaptive minimum-sufficient (28)	False	False																									
external_sporadic	GSE40362	reference_100	Current reference (100)	False	True	adenoma_vs_normal	adenoma	normal	8.0	8.0	0.9185872087241534	-0.6072380396305942	1.5258252483547476	1.0	1.0	0.0001554001554001554					5.0600571377642046e-08	1.6535565161484553	1.300772619207755	2.0063404130891556	5.0600571377642046e-08	16.0	1.813477798805478	1.426574926947059	2.2003806706638973	5.0600571377642046e-08
external_sporadic	GSE40362	compact_10	Biology-guided compact panel (10)	False	True	adenoma_vs_normal	adenoma	normal	8.0	8.0	1.6426943308782986	-0.6492999022086503	2.2919942330869487	1.0	1.0	0.0001554001554001554					1.9660956972350276e-07	2.462901945561546	1.8795110878573693	3.0462928032657226	1.9660956972350276e-07	16.0	1.7880701647203217	1.3645276079769193	2.211612721463724	1.9660956972350223e-07
external_sporadic	GSE72820	stable_core_287	Error-controlled core (287)	True	True	adenoma_vs_normal	adenoma	normal	7.0	7.0	0.1713317920668795	-0.39780919771737155	0.5691409897842511	0.6938775510204082	0.3877551020408163	0.25932400932400934	7.0	0.2490372800327385	0.46875	0.7142857142857143	0.46875	0.8130780773585282	-0.8210175906159662	2.4471737453330227	0.26911578122301943	7.0	0.6834038593942742	-0.690077134880279	2.0568848536688273	0.2691157812230192
external_sporadic	GSE72820	adaptive_28	Adaptive minimum-sufficient (28)	True	True	adenoma_vs_normal	adenoma	normal	7.0	7.0	0.014978960290339904	-0.6660422304664887	0.6810211907568287	0.6938775510204082	0.3877551020408163	0.25932400932400934	7.0	0.1849164488741456	0.375	0.5714285714285714	0.375	0.9439241613344043	-0.8201461148398133	2.7079944375086216	0.23833448134817217	7.0	0.7047530782551896	-0.6123378579856311	2.0218440144960104	0.23833448134817217
external_sporadic	GSE72820	reference_100	Current reference (100)	True	True	adenoma_vs_normal	adenoma	normal	7.0	7.0	0.22735476754609518	-0.37839300188865627	0.6057477694347515	0.7346938775510204	0.4693877551020409	0.16491841491841494	7.0	0.29494229737818484	0.46875	0.7142857142857143	0.46875	0.9283552137846812	-0.8107391150813513	2.6674495426507137	0.23932161530921212	7.0	0.7317986283846805	-0.6390848713776374	2.1026821281469985	0.239321615309212
external_sporadic	GSE72820	compact_10	Biology-guided compact panel (10)	True	True	adenoma_vs_normal	adenoma	normal	7.0	7.0	0.06565909564750372	-0.6200618605373234	0.6857209561848271	0.6938775510204082	0.3877551020408163	0.25932400932400934	7.0	0.09555765465898083	0.6875	0.5714285714285714	0.6875	1.2575867164046095	-1.0953045523494855	3.6104779851587043	0.2387991865227752	7.0	0.760075940302818	-0.6619938225215346	2.1821457031271705	0.23879918652277532
