scope	cohort	panel_id	panel_label	n	spearman_rho_vs_reference_100	p_value
external_sporadic	GSE40362	stable_core_287	Error-controlled core (287)	0		
external_sporadic	GSE40362	adaptive_28	Adaptive minimum-sufficient (28)	0		
external_sporadic	GSE40362	reference_100	Current reference (100)	16	1.0	0.0
external_sporadic	GSE40362	compact_10	Biology-guided compact panel (10)	16	0.9441176470588234	3.933929195107232e-08
external_sporadic	GSE41657	stable_core_287	Error-controlled core (287)	63	0.977726574500768	4.5450150159851185e-43
external_sporadic	GSE41657	adaptive_28	Adaptive minimum-sufficient (28)	0		
external_sporadic	GSE41657	reference_100	Current reference (100)	63	1.0	0.0
external_sporadic	GSE41657	compact_10	Biology-guided compact panel (10)	63	0.8503744239631336	1.1597909399274963e-18
external_sporadic	GSE50114	stable_core_287	Error-controlled core (287)	46	0.9457292630280604	4.179558812085537e-23
external_sporadic	GSE50114	adaptive_28	Adaptive minimum-sufficient (28)	0		
external_sporadic	GSE50114	reference_100	Current reference (100)	46	1.0	0.0
external_sporadic	GSE50114	compact_10	Biology-guided compact panel (10)	46	0.9072463768115941	3.700351834151885e-18
external_sporadic	GSE72820	stable_core_287	Error-controlled core (287)	14	0.9824175824175824	4.1071830416421485e-10
external_sporadic	GSE72820	adaptive_28	Adaptive minimum-sufficient (28)	14	0.9736263736263736	4.5902787925115095e-09
external_sporadic	GSE72820	reference_100	Current reference (100)	14	1.0	0.0
external_sporadic	GSE72820	compact_10	Biology-guided compact panel (10)	14	0.9516483516483516	1.6616136985679422e-07
external_sporadic	GSE8671	stable_core_287	Error-controlled core (287)	0		
external_sporadic	GSE8671	adaptive_28	Adaptive minimum-sufficient (28)	0		
external_sporadic	GSE8671	reference_100	Current reference (100)	64	0.9999999999999998	0.0
external_sporadic	GSE8671	compact_10	Biology-guided compact panel (10)	64	0.9130494505494504	7.818243313339069e-26
