panel_id	panel_label	gene	arm	route_weight
stable_core_287	Error-controlled core (287)	LGALS3	down	-1.0
stable_core_287	Error-controlled core (287)	SRI	down	-1.0
stable_core_287	Error-controlled core (287)	RNF43	up	1.0
stable_core_287	Error-controlled core (287)	IL27RA	up	1.0
stable_core_287	Error-controlled core (287)	SOX4	up	1.0
stable_core_287	Error-controlled core (287)	ASCL2	up	1.0
stable_core_287	Error-controlled core (287)	CHP2	down	-1.0
stable_core_287	Error-controlled core (287)	SLC6A6	up	1.0
stable_core_287	Error-controlled core (287)	ATP5MC3	down	-1.0
stable_core_287	Error-controlled core (287)	LHFPL7	up	1.0
stable_core_287	Error-controlled core (287)	C15orf48	down	-1.0
stable_core_287	Error-controlled core (287)	TMEM171	down	-1.0
stable_core_287	Error-controlled core (287)	CYP4X1	up	1.0
stable_core_287	Error-controlled core (287)	CNTN4-AS1	down	-1.0
stable_core_287	Error-controlled core (287)	FABP1	down	-1.0
stable_core_287	Error-controlled core (287)	LGALS4	down	-1.0
stable_core_287	Error-controlled core (287)	CEMIP	up	1.0
stable_core_287	Error-controlled core (287)	ZNRF3	up	1.0
stable_core_287	Error-controlled core (287)	AXIN2	up	1.0
stable_core_287	Error-controlled core (287)	CYCS	down	-1.0
stable_core_287	Error-controlled core (287)	DPEP1	up	1.0
stable_core_287	Error-controlled core (287)	SDC3	up	1.0
stable_core_287	Error-controlled core (287)	DHRS11	down	-1.0
stable_core_287	Error-controlled core (287)	CA2	down	-1.0
stable_core_287	Error-controlled core (287)	EPHB3	up	1.0
stable_core_287	Error-controlled core (287)	COX5A	down	-1.0
stable_core_287	Error-controlled core (287)	LGR5	up	1.0
stable_core_287	Error-controlled core (287)	CD9	down	-1.0
stable_core_287	Error-controlled core (287)	NDUFA1	down	-1.0
stable_core_287	Error-controlled core (287)	MPC2	down	-1.0
stable_core_287	Error-controlled core (287)	TSPAN7	down	-1.0
stable_core_287	Error-controlled core (287)	LTBP1	up	1.0
stable_core_287	Error-controlled core (287)	MOCS1	down	-1.0
stable_core_287	Error-controlled core (287)	AKR1B1	down	-1.0
stable_core_287	Error-controlled core (287)	BSG	down	-1.0
stable_core_287	Error-controlled core (287)	ARF3	down	-1.0
stable_core_287	Error-controlled core (287)	CALM1	down	-1.0
stable_core_287	Error-controlled core (287)	LRRC36	up	1.0
stable_core_287	Error-controlled core (287)	ZNF503	up	1.0
stable_core_287	Error-controlled core (287)	CTTNBP2	up	1.0
stable_core_287	Error-controlled core (287)	STBD1	down	-1.0
stable_core_287	Error-controlled core (287)	SLC25A5	down	-1.0
stable_core_287	Error-controlled core (287)	NDRG1	down	-1.0
stable_core_287	Error-controlled core (287)	ZNF703	up	1.0
stable_core_287	Error-controlled core (287)	SQOR	down	-1.0
stable_core_287	Error-controlled core (287)	HSPA1A	down	-1.0
stable_core_287	Error-controlled core (287)	TMEM158	up	1.0
stable_core_287	Error-controlled core (287)	APLP2	down	-1.0
stable_core_287	Error-controlled core (287)	NDUFAB1	down	-1.0
stable_core_287	Error-controlled core (287)	IMPA2	down	-1.0
stable_core_287	Error-controlled core (287)	UQCRFS1	down	-1.0
stable_core_287	Error-controlled core (287)	GLRX2	down	-1.0
stable_core_287	Error-controlled core (287)	MSX2	up	1.0
stable_core_287	Error-controlled core (287)	TUSC1	down	-1.0
stable_core_287	Error-controlled core (287)	LRRC19	down	-1.0
stable_core_287	Error-controlled core (287)	CCL14	down	-1.0
stable_core_287	Error-controlled core (287)	ENC1	up	1.0
stable_core_287	Error-controlled core (287)	SLC17A1	down	-1.0
stable_core_287	Error-controlled core (287)	KIF3C	up	1.0
stable_core_287	Error-controlled core (287)	DRD2	up	1.0
stable_core_287	Error-controlled core (287)	ITGA9	up	1.0
stable_core_287	Error-controlled core (287)	ETHE1	down	-1.0
stable_core_287	Error-controlled core (287)	GDF15	up	1.0
stable_core_287	Error-controlled core (287)	ATP5MG	down	-1.0
stable_core_287	Error-controlled core (287)	SLC7A5	up	1.0
stable_core_287	Error-controlled core (287)	FAM162A	down	-1.0
stable_core_287	Error-controlled core (287)	RBKS	down	-1.0
stable_core_287	Error-controlled core (287)	TBX3	up	1.0
stable_core_287	Error-controlled core (287)	GHITM	down	-1.0
stable_core_287	Error-controlled core (287)	SEMA3F	up	1.0
stable_core_287	Error-controlled core (287)	LZTS3	up	1.0
stable_core_287	Error-controlled core (287)	PKIB	down	-1.0
stable_core_287	Error-controlled core (287)	PDLIM1	down	-1.0
stable_core_287	Error-controlled core (287)	SLC22A5	down	-1.0
stable_core_287	Error-controlled core (287)	SLC20A1	down	-1.0
stable_core_287	Error-controlled core (287)	CPNE7	up	1.0
stable_core_287	Error-controlled core (287)	PCK1	down	-1.0
stable_core_287	Error-controlled core (287)	CAMK2N1	down	-1.0
stable_core_287	Error-controlled core (287)	L1TD1	up	1.0
stable_core_287	Error-controlled core (287)	CHP1	down	-1.0
stable_core_287	Error-controlled core (287)	TRIP6	up	1.0
stable_core_287	Error-controlled core (287)	ATP5PD	down	-1.0
stable_core_287	Error-controlled core (287)	AK2	down	-1.0
stable_core_287	Error-controlled core (287)	DBNDD2	down	-1.0
stable_core_287	Error-controlled core (287)	CBX6	down	-1.0
stable_core_287	Error-controlled core (287)	ANKRD13B	up	1.0
stable_core_287	Error-controlled core (287)	KRT10-AS1	down	-1.0
stable_core_287	Error-controlled core (287)	ARL14	down	-1.0
stable_core_287	Error-controlled core (287)	COX6C	down	-1.0
stable_core_287	Error-controlled core (287)	MYL12A	down	-1.0
stable_core_287	Error-controlled core (287)	CLCA4	down	-1.0
stable_core_287	Error-controlled core (287)	SDHD	down	-1.0
stable_core_287	Error-controlled core (287)	DAB2	up	1.0
stable_core_287	Error-controlled core (287)	HADH	down	-1.0
stable_core_287	Error-controlled core (287)	MYORG	down	-1.0
stable_core_287	Error-controlled core (287)	UBE2A	down	-1.0
stable_core_287	Error-controlled core (287)	DPP10-AS1	down	-1.0
stable_core_287	Error-controlled core (287)	FGFRL1	up	1.0
stable_core_287	Error-controlled core (287)	ISL2	down	-1.0
stable_core_287	Error-controlled core (287)	TST	down	-1.0
stable_core_287	Error-controlled core (287)	CYFIP2	up	1.0
stable_core_287	Error-controlled core (287)	SPIB	down	-1.0
stable_core_287	Error-controlled core (287)	PXMP2	down	-1.0
stable_core_287	Error-controlled core (287)	SIPA1	up	1.0
stable_core_287	Error-controlled core (287)	NKD1	up	1.0
stable_core_287	Error-controlled core (287)	TPT1	down	-1.0
stable_core_287	Error-controlled core (287)	FABP5	down	-1.0
stable_core_287	Error-controlled core (287)	PHGR1	down	-1.0
stable_core_287	Error-controlled core (287)	FCGRT	down	-1.0
stable_core_287	Error-controlled core (287)	PDZD11	down	-1.0
stable_core_287	Error-controlled core (287)	SNX7-DT	down	-1.0
stable_core_287	Error-controlled core (287)	MPC1	down	-1.0
stable_core_287	Error-controlled core (287)	DYNLL1	down	-1.0
stable_core_287	Error-controlled core (287)	NDUFA6	down	-1.0
stable_core_287	Error-controlled core (287)	GRIN2B	up	1.0
stable_core_287	Error-controlled core (287)	CHASERR	down	-1.0
stable_core_287	Error-controlled core (287)	LINC01411	up	1.0
stable_core_287	Error-controlled core (287)	MYL6	down	-1.0
stable_core_287	Error-controlled core (287)	LGALS9B	down	-1.0
stable_core_287	Error-controlled core (287)	FOXD2	down	-1.0
stable_core_287	Error-controlled core (287)	MAD2L1BP	down	-1.0
stable_core_287	Error-controlled core (287)	COL9A3	up	1.0
stable_core_287	Error-controlled core (287)	HSBP1	down	-1.0
stable_core_287	Error-controlled core (287)	MEX3A	up	1.0
