k	gene	training_correlation
1	SLC25A5	0.902668787301159
2	MOCS1	0.94561903440298
3	GLRX2	0.970993816756435
4	C15orf48	0.980056286907491
5	TSPAN7	0.984759405256332
6	SLC17A1	0.987586596937646
7	ATP5MG	0.99183368930375
8	SRI	0.992561434895084
9	HS3ST4	0.994511941131117
10	DHRS11	0.996222225143382
11	CYCS	0.996816296903585
12	ATP5MC3	0.996444980660787
13	CLCA4	0.996407461168376
14	DGUOK	0.996592532910496
15	WSCD1	0.996964408282292
16	DBNDD2	0.997642301863801
17	BPGM	0.997962187340389
18	STBD1	0.998107080851987
19	COX5A	0.998203370357677
20	NOL4L	0.998181308040902
21	AKR1B1	0.998477505839228
22	B4GALT1-AS1	0.998842973750424
23	ACAA2	0.999030713380638
24	LGALS3	0.999056574676783
25	CIAO2A	0.999174456937511
26	RETSAT	0.999405089376402
27	ATP5PD	0.9991843397139
28	SLC22A5	0.999202248551283
29	PXMP2	0.999211552523214
30	UBE2A	0.9992814809697
