k	gene	training_correlation
1	ASCL2	0.952670343516988
2	IL27RA	0.973962360805263
3	LRRC36	0.985213319097767
4	SOX4	0.988359914369515
5	SLC7A5	0.990946733226293
6	TTC39C	0.992734421194576
7	KIF3C	0.993245837372245
8	AXIN2	0.994161255293837
9	CYFIP2	0.994750459408296
10	ZNF503	0.995487293704236
11	LHFPL7	0.995683440271541
12	LINC02563	0.996541755274673
13	LCN15	0.997208830428134
14	LNC-LBCS	0.997831925545279
15	FGFRL1	0.99796364256139
16	TBX3	0.99839616325085
17	ANKRD13B	0.99828221944424
18	CYP4X1	0.998231942476194
19	NOB1	0.998257251083913
20	RNF43	0.998298925047873
21	LINC02026	0.998494895286432
22	DPEP1	0.998716224769072
23	TMEM158	0.999101362711957
24	CTTNBP2	0.999172385545737
25	SIPA1	0.999274250502959
26	LTBP1	0.99928957249857
27	SLC6A6	0.999421483621659
28	LGR5	0.999392958656819
29	ZNRF3	0.999295687563107
30	CPNE7	0.999381573818875
