analysis	outcome	term	n_observations	n_clusters	cluster_unit	coef	se_cluster	ci_low	ci_high	p_value	r_squared	q_value_within_outcome
Becker snRNA transfer	all__ca_route_signature	disease_stage_group_polyp	72	17	patient_id	1.1004534082215032	0.3478174932441614	0.3631132611313525	1.8377935553116536	0.0060173090566031	0.6385129764391224	0.0210605816981111
Becker snRNA transfer	all__ca_route_signature	disease_stage_group_crc	72	17	patient_id	1.734099421114302	0.320084481763033	1.0555506320263592	2.412648210202245	5.695093018913264e-05	0.6385129764391224	0.0003986565113239
Becker snRNA transfer	all__ca_route_signature	familial_adenomatous_polyposis_Y	72	17	patient_id	0.0301629993393505	0.1924795484941289	-0.3778754155050678	0.4382014141837688	0.8774356744028231	0.6385129764391224	0.877435674402823
Becker snRNA transfer	all__ca_route_signature	sex_M	72	17	patient_id	-0.0741252308633369	0.2169496997800799	-0.5340380490915886	0.3857875873649147	0.7370454094210311	0.6385129764391224	0.8598863109912029
Becker snRNA transfer	all__ca_route_signature	score_all__proliferation_control	72	17	patient_id	0.3038439464472214	0.1253065789347208	0.0382058657362203	0.5694820271582226	0.0275244285098546	0.6385129764391224	0.064223666522994
Becker snRNA transfer	all__ca_route_signature	log10_n_nuclei	72	17	patient_id	-0.40054783361792	0.324264242262644	-1.087957319138464	0.2868616519026238	0.2345687156281536	0.6385129764391224	0.3283962018794151
Becker snRNA transfer	all__ca_route_signature	epithelial_marker_positive_fraction	72	17	patient_id	-0.7858721078605267	0.5493598162730613	-1.9504628935570043	0.3787186778359507	0.1718065029119751	0.6385129764391224	0.3006613800959565
Becker snRNA transfer	epi__ca_route_signature	disease_stage_group_polyp	72	17	patient_id	1.0565497218826003	0.3485311567367769	0.3176966757725935	1.7954027679926077	0.0079409263639405	0.6526116280264636	0.0185288281825278
Becker snRNA transfer	epi__ca_route_signature	disease_stage_group_crc	72	17	patient_id	1.6247415659575126	0.3232392176373073	0.9395050355720524	2.309978096342973	0.0001240774538126	0.6526116280264636	0.0008685421766886
Becker snRNA transfer	epi__ca_route_signature	familial_adenomatous_polyposis_Y	72	17	patient_id	-0.0391764130382751	0.1874486865027423	-0.4365498768875023	0.3581970508109521	0.8370873923990264	0.6526116280264636	0.8370873923990264
Becker snRNA transfer	epi__ca_route_signature	sex_M	72	17	patient_id	-0.0547971141709078	0.2255594813358006	-0.5329618539442693	0.4233676256024536	0.8111399276926992	0.6526116280264636	0.8370873923990264
Becker snRNA transfer	epi__ca_route_signature	score_epi__proliferation_control	72	17	patient_id	0.4109916823927931	0.1324878302078084	0.1301300290529342	0.6918533357326521	0.0068495539353368	0.6526116280264636	0.0185288281825278
Becker snRNA transfer	epi__ca_route_signature	log10_n_nuclei	72	17	patient_id	-0.3753840584141898	0.3270924535744997	-1.068789084082054	0.3180209672536742	0.2679886617665105	0.6526116280264636	0.4401683272631889
Becker snRNA transfer	epi__ca_route_signature	epithelial_marker_positive_fraction	72	17	patient_id	-0.5547214249189688	0.5340745860928275	-1.6869089701565525	0.5774661203186146	0.3144059480451349	0.6526116280264636	0.4401683272631889
