subset	model_id	outcome	predictor	covariates	n	predictor_coef	predictor_se_hc3	predictor_p_value	model_r2	predictor_q_value
normal_polyp	rna_epi_wnt_stem_from_atac_wnt_stem	rna_epi__wnt_stem	atac_tss__wnt_stem	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	0.3617891938767156	0.0648986582643259	2.4798656015700013e-08	0.8478439927637532	1.2399328007850005e-07
normal_polyp	rna_epi_wnt_stem_from_atac_wnt_minus_housekeeping	rna_epi__wnt_stem	atac_contrast__wnt_stem_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	0.178767816081895	0.0422911345115963	2.367483086419508e-05	0.8268724653981079	3.945805144032513e-05
normal_polyp	rna_epi_ca_route_from_atac_wnt_stem	rna_epi__ca_route_signature	atac_tss__wnt_stem	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	0.5127311839952204	0.114606507555313	7.682721950892198e-06	0.7339602655511088	1.5365443901784396e-05
normal_polyp	rna_epi_ca_route_from_atac_wnt_tcf_ascl2_axis	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	0.3730524773117094	0.1224509905412406	0.0023148767292235	0.6316503435341134	0.0025720852546928
normal_polyp	rna_epi_ca_route_from_atac_wnt_tcf_ascl2_minus_housekeeping	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	40	0.2454582667025504	0.0654322648731907	0.0001758963361636	0.6592120692550676	0.0002198704202045
fap_normal_polyp	rna_epi_wnt_stem_from_atac_wnt_stem	rna_epi__wnt_stem	atac_tss__wnt_stem	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	36	0.4044344661097485	0.0668793586413648	1.473627635147716e-09	0.8123358865336121	1.4736276351477161e-08
fap_normal_polyp	rna_epi_wnt_stem_from_atac_wnt_minus_housekeeping	rna_epi__wnt_stem	atac_contrast__wnt_stem_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	36	0.211070472481726	0.0434132721116082	1.1627132940048948e-06	0.7860739505594398	3.875710980016316e-06
fap_normal_polyp	rna_epi_ca_route_from_atac_wnt_stem	rna_epi__ca_route_signature	atac_tss__wnt_stem	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	36	0.5218382940101596	0.1159593107160337	6.789450339998059e-06	0.7263411010301062	1.5365443901784396e-05
fap_normal_polyp	rna_epi_ca_route_from_atac_wnt_tcf_ascl2_axis	rna_epi__ca_route_signature	atac_tf__wnt_tcf_ascl2_axis	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	36	0.4440012853287279	0.1706180598272459	0.0092597788773252	0.6078521937302526	0.0092597788773252
fap_normal_polyp	rna_epi_ca_route_from_atac_wnt_tcf_ascl2_minus_housekeeping	rna_epi__ca_route_signature	atac_tf_contrast__wnt_tcf_ascl2_axis_minus_housekeeping	is_polyp+rna_epi__proliferation_control+log10_tss_total_counts	36	0.2942632843802887	0.0730360423281218	5.601112860464176e-05	0.6554680385687444	8.001589800663109e-05
