donor_id	carrier_group	sample_type	cell_type_coarse_crc_atlas	study_id	microsatellite_status	CMS_type	n_cells_sampled	score__ca_route_up	score__ca_route_down	score__ca_route_signature	score__ca_route_n_up_present	score__ca_route_n_down_present	score__wnt_stem	score__wnt_core_ihc	score__proliferation_control
Borras_2023_Cell_Discov.SMC119	tumor_cancer	tumor	Cancer cell	Borras_2023_Cell_Discov	MSI	CMS1	2	-0.0598725094344733	-0.2717837107700276	0.2119112013355542	49.0	49.0	-0.3967946425154041	-0.4809682326680656	0.919719439795302
Borras_2023_Cell_Discov.SMC125	tumor_cancer	tumor	Cancer cell	Borras_2023_Cell_Discov	MSI	missing	1	-0.1141507135303452	-0.3006718540931081	0.1865211405627628	49.0	49.0	-0.4197420961996513	-0.5345122912646426	0.046594987713298
Borras_2023_Cell_Discov.SMC136	tumor_cancer	tumor	Cancer cell	Borras_2023_Cell_Discov	MSI	missing	1	-0.2640449793133591	-0.3321572215281634	0.0681122422148043	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor1	normal_epithelial	normal	Epithelial cell	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol	missing	missing	69	-0.0896997751437483	0.0979304022097173	-0.2267592583756287	49.0	49.0	-0.0567663521943249	-0.0486745043793301	-0.2884547048206696
Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor2	normal_epithelial	normal	Epithelial cell	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol	missing	missing	91	-0.0673701346977954	0.1072850564140771	-0.1594692683196159	49.0	49.0	-0.1066824732806548	0.0394538259241389	-0.0810710321195619
Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol.Donor3	normal_epithelial	normal	Epithelial cell	Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol	missing	missing	66	-0.1280967519654841	-0.0180735920200015	-0.0924541443372153	49.0	49.0	-0.2475537711704754	-0.2984317313255457	-0.2884547048206696
Che_2021_Cell_Discov.COL07	metastasis_cancer	metastasis	Cancer cell	Che_2021_Cell_Discov	MSS	missing	259	0.0621556007410369	-0.2839486190730861	0.3676861247329389	49.0	49.0	-0.1255969352946821	-0.1897826551693019	-0.2884547048206696
Che_2021_Cell_Discov.COL07	metastasis_epithelial	metastasis	Epithelial cell	Che_2021_Cell_Discov	MSS	missing	1	-0.120314063937347	-0.5082476140040771	0.38793355006673	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Che_2021_Cell_Discov.COL07	tumor_cancer	tumor	Cancer cell	Che_2021_Cell_Discov	MSS	CMS1	264	0.0133227101457415	-0.2365432877372966	0.2308524313901312	49.0	49.0	-0.2456632406734683	-0.2040166963285071	-0.2884547048206696
Che_2021_Cell_Discov.COL07	tumor_epithelial	tumor	Epithelial cell	Che_2021_Cell_Discov	MSS	CMS1	1	0.106376041957632	-0.5090758632108076	0.6154519051684396	49.0	49.0	0.0249202629764548	-0.5345122912646426	-0.2884547048206696
Che_2021_Cell_Discov.COL12	metastasis_cancer	metastasis	Cancer cell	Che_2021_Cell_Discov	MSS	missing	40	0.1510573269006726	-0.0248936443059591	0.0906346013746684	49.0	49.0	0.1423993305144424	-0.0369873337089342	-0.2884547048206696
Che_2021_Cell_Discov.COL12	tumor_cancer	tumor	Cancer cell	Che_2021_Cell_Discov	MSS	CMS4	10	0.1737543068467705	-0.00992071352849	0.0995492792074868	49.0	49.0	0.1600487491887885	-6.110931861211255e-05	-0.2884547048206696
Che_2021_Cell_Discov.COL15	metastasis_cancer	metastasis	Cancer cell	Che_2021_Cell_Discov	MSS	missing	169	0.3977055177827244	-0.4493458463006905	0.8954950681353075	49.0	49.0	0.685045594861509	-0.0374797478139145	-0.2884547048206696
Che_2021_Cell_Discov.COL15	tumor_cancer	tumor	Cancer cell	Che_2021_Cell_Discov	MSS	CMS4	33	0.1944493902543415	-0.2950016459345338	0.5625730743848281	49.0	49.0	0.3078861919275426	-0.1431273590360154	-0.2366185245456429
Che_2021_Cell_Discov.COL15	tumor_epithelial	tumor	Epithelial cell	Che_2021_Cell_Discov	MSS	CMS4	8	-0.1776236029566468	-0.7844941721278031	0.5612428214966343	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Che_2021_Cell_Discov.COL16	metastasis_cancer	metastasis	Cancer cell	Che_2021_Cell_Discov	MSS	missing	39	-0.2085976342155416	-0.1801066405766036	0.0460355639525749	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Che_2021_Cell_Discov.COL16	tumor_cancer	tumor	Cancer cell	Che_2021_Cell_Discov	MSS	CMS1	103	0.0319205151072534	-0.1904386240725712	0.2217639781003557	49.0	49.0	-0.215660140123991	-0.3323308857592628	-0.2884547048206696
Che_2021_Cell_Discov.COL16	tumor_epithelial	tumor	Epithelial cell	Che_2021_Cell_Discov	MSS	CMS1	2	-0.1859236037891508	-0.5783781477351387	0.3924545439459879	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Che_2021_Cell_Discov.COL17	metastasis_cancer	metastasis	Cancer cell	Che_2021_Cell_Discov	MSS	missing	3	-0.0394216639964097	0.2026671219738521	-0.2650639355762489	49.0	49.0	-0.2285130192263721	-0.0883111116603243	-0.2884547048206696
Che_2021_Cell_Discov.COL17	tumor_cancer	tumor	Cancer cell	Che_2021_Cell_Discov	MSS	missing	7	0.1489498142045322	-0.6344027075885821	0.7296048598168694	49.0	49.0	0.076166781514498	0.4451614503319743	-0.2884547048206696
Che_2021_Cell_Discov.COL17	tumor_epithelial	tumor	Epithelial cell	Che_2021_Cell_Discov	MSS	missing	5	-0.2488582959418112	-0.7207708338228989	0.5818724601915148	49.0	49.0	0.0693334387525721	0.6066639569572123	-0.2884547048206696
Che_2021_Cell_Discov.COL18	metastasis_cancer	metastasis	Cancer cell	Che_2021_Cell_Discov	MSS	missing	34	0.1820698584557806	-0.1036381351424354	0.2300381126797726	49.0	49.0	0.0095082518325967	-0.2257141817895034	-0.2884547048206696
Che_2021_Cell_Discov.COL18	metastasis_epithelial	metastasis	Epithelial cell	Che_2021_Cell_Discov	MSS	missing	1	-0.2689032802480203	-0.4805335897417646	0.2116303094937443	49.0	49.0	-0.4197420961996513	-0.5345122912646426	0.1961094710624018
Che_2021_Cell_Discov.COL18	tumor_cancer	tumor	Cancer cell	Che_2021_Cell_Discov	MSS	CMS4	7	0.2673411101158953	-0.4574019224986967	0.5645351175726532	49.0	49.0	0.2767062998439779	-0.0631089405318078	-0.2884547048206696
Chen_2021_Cell.HTA11_10034	normal_epithelial	normal	Epithelial cell	Chen_2021_Cell	missing	missing	136	-0.2480374968722946	0.4484275527095522	-0.6986726515454731	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10034	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	85	0.6869395980272534	-0.3574041675898318	1.0822896333657677	49.0	49.0	1.0806202489386054	0.7719712572342191	-0.2884547048206696
Chen_2021_Cell.HTA11_10034	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	279	-0.1569817029354887	-0.0898864237275207	-0.0433597662224878	49.0	49.0	-0.2099357203832635	-0.2051312765433746	-0.2884547048206696
Chen_2021_Cell.HTA11_10167	normal_epithelial	normal	Epithelial cell	Chen_2021_Cell	missing	missing	34	-0.1716780811127431	0.3094077939462868	-0.3864023443044522	49.0	49.0	-0.2288801965108769	-0.1411147658442054	-0.2884547048206696
Chen_2021_Cell.HTA11_10167	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	15	-0.0946969283970398	0.105449872445913	-0.2047879229277452	49.0	49.0	-0.2242397080307079	-0.2437127168478422	-0.2884547048206696
Chen_2021_Cell.HTA11_10167	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	130	-0.2062160191971355	0.3281632643354841	-0.4922475256844794	49.0	49.0	-0.3634622888532446	-0.4929117243449391	-0.2884547048206696
Chen_2021_Cell.HTA11_104	normal_epithelial	normal	Epithelial cell	Chen_2021_Cell	missing	missing	66	-0.1989998939532413	0.1432972579953307	-0.3116231441292815	49.0	49.0	-0.2581594271897252	-0.2233247112100244	-0.2884547048206696
Chen_2021_Cell.HTA11_104	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	8	0.1819294911655478	-0.3107991288366221	0.5372954609099062	49.0	49.0	0.6663577834625735	1.0646170895210418	-0.2884547048206696
Chen_2021_Cell.HTA11_104	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	14	-0.1311710022298831	0.0088788872914278	-0.170194766859672	49.0	49.0	-0.1768621764352725	-0.0495732442347799	-0.2884547048206696
Chen_2021_Cell.HTA11_10466	normal_epithelial	normal	Epithelial cell	Chen_2021_Cell	missing	missing	9	-0.2658078723412123	0.6980010315021911	-1.0307198089747256	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10466	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	400	0.0866044565778001	-0.147493458609883	0.2945120548518256	49.0	49.0	0.1184035773318538	0.3562043536204066	-0.2884547048206696
Chen_2021_Cell.HTA11_10466	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	623	-0.1907017163566242	0.1252135361514827	-0.2796114538913147	49.0	49.0	-0.2435421854170605	-0.1633223114853932	-0.2884547048206696
Chen_2021_Cell.HTA11_10557	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	281	0.237677376403902	-0.2825490207280123	0.5334210354191029	49.0	49.0	0.4570570778791653	0.5578251256392912	-0.2884547048206696
Chen_2021_Cell.HTA11_10557	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	1122	-0.0819862335871217	0.2325487375071859	-0.2684313637080825	49.0	49.0	-0.2413893767684779	-0.2228183117037622	-0.2884547048206696
Chen_2021_Cell.HTA11_10573	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	7	-0.1667945057577241	-0.2953164128690677	0.0556647800746677	49.0	49.0	-0.1635252310896474	0.0346746347047448	-0.2884547048206696
Chen_2021_Cell.HTA11_10573	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	61	-0.2232342124199869	-0.1008931896327621	-0.1168291923581689	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10623	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	43	0.3546271659319319	-0.3850620962152102	0.6775984679981748	49.0	49.0	0.2954368857926321	0.5356290732698954	-0.2884547048206696
Chen_2021_Cell.HTA11_10623	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	189	-0.1606836228343899	-0.0058223731221271	-0.1433937324488119	49.0	49.0	-0.2740030074101636	-0.2602775256510983	-0.2884547048206696
Chen_2021_Cell.HTA11_10711	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	126	0.6964106602854618	-0.4117440287294951	1.0635449642775463	49.0	49.0	0.7766208414764959	0.7481707957251753	-0.2884547048206696
Chen_2021_Cell.HTA11_10711	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	78	0.0040552202549442	-0.1827861419209993	0.1901971991932932	49.0	49.0	-0.0181376406134104	0.1840644679850456	-0.2884547048206696
Chen_2021_Cell.HTA11_10719	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	21	-0.15166611261267	-0.1607837343267213	-0.0491570703956508	49.0	49.0	-0.215920548594371	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10719	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	765	-0.2483542710869678	0.61235295524195	-0.8460118688460452	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10888	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	10	-0.2209461144975444	-0.4968680518979568	0.2746460549297244	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_10888	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	10	-0.2350033975550118	-0.1257837296974476	-0.0499519516617744	49.0	49.0	-0.2814801470781486	-0.2119010766478029	-0.2884547048206696
Chen_2021_Cell.HTA11_11045	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	20	-0.0930044529991899	-0.020226878397086	-0.0619656853088394	49.0	49.0	-0.1895165516248529	-0.3936645009668896	-0.2884547048206696
Chen_2021_Cell.HTA11_11045	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	401	-0.232006375713961	0.5270315583052427	-0.7202287287402944	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_11092	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	312	-0.1803137158577963	0.0403517584955724	-0.2086396132436623	49.0	49.0	-0.2506023602492999	-0.1581544655376207	-0.2884547048206696
Chen_2021_Cell.HTA11_11092	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	265	-0.2250394911459854	0.1491064587949885	-0.3602534264205491	49.0	49.0	-0.4197420961996513	-0.5345122912646426	-0.2884547048206696
Chen_2021_Cell.HTA11_11156	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	64	0.4940618995551099	-0.3305934554084595	0.8193299672438854	49.0	49.0	0.3443032703514664	0.2676879464487474	-0.2884547048206696
Chen_2021_Cell.HTA11_11156	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	92	-0.0361864904770552	-0.0277303353907479	0.0226876035120374	49.0	49.0	-0.1576806791293722	-0.1014469938758706	-0.2884547048206696
Chen_2021_Cell.HTA11_11167	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	67	0.093942331556566	-0.16175986665049	0.2696182838994649	49.0	49.0	-0.0158745548073475	0.0511963676334314	-0.2884547048206696
Chen_2021_Cell.HTA11_11167	polyp_epithelial	polyp	Epithelial cell	Chen_2021_Cell	missing	missing	177	-0.0268866792590363	-0.0357594066492606	0.0185343090485003	49.0	49.0	-0.117236996359071	-0.0179795616069524	-0.2884547048206696
Chen_2021_Cell.HTA11_11275	polyp_cancer	polyp	Cancer cell	Chen_2021_Cell	missing	missing	33	0.1027030541291004	-0.3530191628051611	0.4990550004332823	49.0	49.0	0.0424709582401674	0.0315165344125463	-0.2884547048206696
