study_id	carrier_group	n_observations	n_donors	n_cells_sampled_total
Burclaff_2022_Cell_Mol_Gastroenterol_Hepatol	normal_epithelial	3	3	226
Che_2021_Cell_Discov	metastasis_cancer	5	5	541
Che_2021_Cell_Discov	tumor_cancer	3	3	400
Chen_2021_Cell	normal_epithelial	44	44	3437
Chen_2021_Cell	polyp_cancer	79	79	17247
Chen_2021_Cell	polyp_epithelial	86	86	19586
Chen_2021_Cell	tumor_cancer	4	4	315
Chen_2024_Cancer_Cell	normal_epithelial	20	20	3328
Chen_2024_Cancer_Cell	tumor_cancer	20	20	3175
Chen_2024_Cancer_Cell	tumor_epithelial	7	7	412
Conde_2022_Science	normal_epithelial	2	2	79
Elmentaite_2021_Nature	normal_epithelial	7	7	3362
GarridoTrigo_2023_Nat_Commun	normal_epithelial	6	6	472
Giguelay_2022_Theranostics	metastasis_cancer	4	4	478
Guo_2022_JCI_Insight	tumor_cancer	3	3	147
Guo_2022_JCI_Insight	tumor_epithelial	1	1	54
He_2020_Genome_Biol	normal_epithelial	1	1	56
James_2020_Nat_Immunol	normal_epithelial	2	2	255
Ji_2024_Cancer_Lett	metastasis_cancer	1	1	443
Ji_2024_Cancer_Lett	metastasis_epithelial	1	1	217
Ji_2024_Cancer_Lett	normal_epithelial	2	2	266
Ji_2024_Cancer_Lett	tumor_cancer	2	2	362
Ji_2024_Cancer_Lett	tumor_epithelial	2	2	62
Ji_2024_PLoS_Genet	tumor_cancer	3	3	307
Joanito_2022_Nat_Genet	normal_epithelial	1	1	45
Joanito_2022_Nat_Genet	tumor_cancer	23	23	1277
Khaliq_2022_Genome_Biol	normal_epithelial	5	5	131
Khaliq_2022_Genome_Biol	tumor_cancer	7	7	353
Kong_2023_Immunity	normal_epithelial	4	4	708
Lee_2020_Nat_Genet	normal_epithelial	8	8	236
Lee_2020_Nat_Genet	tumor_cancer	25	25	1529
Lee_2020_Nat_Genet	tumor_epithelial	2	2	50
Li_2023_Cancer_Cell	normal_epithelial	7	7	249
Li_2023_Cancer_Cell	tumor_cancer	17	17	2054
Li_2023_Cancer_Cell	tumor_epithelial	5	5	337
Liu_2024_Cancer_Res	metastasis_cancer	12	12	4485
Liu_2024_Cancer_Res	metastasis_epithelial	1	1	194
Liu_2024_Cancer_Res	normal_epithelial	4	4	374
Liu_2024_Cancer_Res	tumor_cancer	13	13	813
MUI_Innsbruck	normal_epithelial	12	12	598
MUI_Innsbruck	tumor_cancer	11	11	837
MUI_Innsbruck	tumor_epithelial	4	4	130
Parikh_2019_Nature	normal_epithelial	3	3	201
Pelka_2021_Cell	normal_epithelial	30	30	2245
Pelka_2021_Cell	tumor_cancer	59	59	5322
Pelka_2021_Cell	tumor_epithelial	6	6	560
Qi_2022_Nat_Commun	normal_epithelial	1	1	93
Qi_2022_Nat_Commun	tumor_cancer	5	5	329
Qian_2020_Cell_Res	normal_epithelial	4	4	108
Qian_2020_Cell_Res	tumor_cancer	5	5	499
Sathe_2023_Clin_Cancer_Res	metastasis_cancer	3	3	945
Sathe_2023_Clin_Cancer_Res	metastasis_epithelial	1	1	23
Smillie_2019_Cell	normal_epithelial	12	12	1478
Tian_2023_Nat_Med	metastasis_cancer	22	22	11127
Tian_2023_Nat_Med	metastasis_epithelial	1	1	22
Uhlitz_2021_EMBO_Mol_Med	normal_epithelial	10	10	910
Uhlitz_2021_EMBO_Mol_Med	tumor_cancer	10	10	679
Uhlitz_2021_EMBO_Mol_Med	tumor_epithelial	1	1	28
Wang_2020_J_Exp_Med	normal_epithelial	4	4	428
Wang_2021_Adv_Sci	tumor_epithelial	1	1	54
Wang_2023_Sci_Adv	metastasis_cancer	3	3	1931
Wang_2023_Sci_Adv	metastasis_epithelial	1	1	404
Wang_2023_Sci_Adv	tumor_cancer	3	3	478
Yang_2023_Front_Oncol	tumor_cancer	1	1	85
Yang_2023_Front_Oncol	tumor_epithelial	1	1	26
Zheng_2022_Signal_Transduct_Target_Ther	normal_epithelial	2	2	199
Zheng_2022_Signal_Transduct_Target_Ther	polyp_cancer	3	3	2641
Zheng_2022_Signal_Transduct_Target_Ther	polyp_epithelial	3	3	345
Zheng_2022_Signal_Transduct_Target_Ther	tumor_cancer	3	3	446
Zheng_2022_Signal_Transduct_Target_Ther	tumor_epithelial	3	3	326
