outcome	state	full_coef	full_ci_low	full_ci_high	full_p_value	n_eligible_omissions	loo_min_coef	loo_max_coef	loo_positive_fraction	loo_ci_excludes_zero_positive_fraction	minimum_target_donors_after_omission	lowest_coef_omitted_study	highest_coef_omitted_study	omit_chen_2021_coef	omit_chen_2021_ci_low	omit_chen_2021_ci_high	omit_chen_2021_p_value	omit_chen_2021_target_donors
score__ca_route_signature	polyp_epithelial	0.400187424464172	0.2964657045919356	0.5039091443364084	2.380052299880751e-13	33	0.3775410201488474	0.6897094860222881	1.0	1.0	3	Zheng_2022_Signal_Transduct_Target_Ther	Chen_2021_Cell	0.6897094860222881	0.5192733165642722	0.860145655480304	3.5469172736975766e-14	3
score__ca_route_signature	polyp_cancer	0.7871227919719195	0.6544663774899977	0.9197792064538411	3.077343978190679e-27	33	0.7668298050338536	0.9456067799862208	1.0	1.0	3	Zheng_2022_Signal_Transduct_Target_Ther	Chen_2021_Cell	0.9456067799862208	0.7316102010606694	1.1596033589117718	2.3545891010319453e-16	3
score__ca_route_signature	tumor_epithelial	0.6134423519051714	0.5400079322098716	0.6868767716004711	1.2755085739739196e-46	33	0.5683765693242665	0.6836430148648912	1.0	1.0	26	Pelka_2021_Cell	Chen_2024_Cancer_Cell	0.6192684948887767	0.5411812850179957	0.6973557047595577	1.512018473513442e-40	33
score__ca_route_signature	tumor_cancer	0.5579578018531288	0.4919343900839273	0.6239812136223303	1.947359648260968e-47	33	0.5264066173367382	0.6012399745842155	1.0	1.0	158	Pelka_2021_Cell	Chen_2024_Cancer_Cell	0.5406309608157995	0.478804167717418	0.602457753914181	1.4599248607948061e-46	213
score__ca_route_signature	metastasis_epithelial	0.5561667090182544	0.3310790673617848	0.7812543506747239	1.712286727562704e-06	33	0.4944425877933865	0.6362016000708174	1.0	1.0	4	Liu_2024_Cancer_Res	Tian_2023_Nat_Med	0.5209680414800437	0.3147109239563609	0.7272251590037264	1.1273703010120736e-06	5
score__ca_route_signature	metastasis_cancer	0.5648641113599904	0.4204713760855397	0.709256846634441	1.164417006785437e-13	33	0.5126198869404437	0.6048426935086237	1.0	1.0	28	Chen_2021_Cell	Chen_2024_Cancer_Cell	0.5126198869404437	0.3724702023562586	0.6527695715246288	4.987644723718797e-12	50
score__wnt_stem	polyp_epithelial	0.0890352893772245	0.0311363728264851	0.146934205927964	0.0026635216000803	33	0.0675699447388122	0.3499845184176698	1.0	1.0	3	Zheng_2022_Signal_Transduct_Target_Ther	Chen_2021_Cell	0.3499845184176698	0.1292061948925108	0.5707628419428288	0.0019878186239745	3
score__wnt_stem	polyp_cancer	0.4696227010722	0.3563076923771301	0.58293770976727	4.878810959929719e-15	33	0.4459367306463943	0.7751186229307282	1.0	1.0	3	Zheng_2022_Signal_Transduct_Target_Ther	Chen_2021_Cell	0.7751186229307282	0.6169748405724935	0.9332624052889628	2.4503446020197653e-19	3
score__wnt_stem	tumor_epithelial	0.1433016074299295	0.0791450753844572	0.2074581394754018	1.4475159673146303e-05	33	0.1233448606801294	0.1713671411994613	1.0	1.0	26	Li_2023_Cancer_Cell	MUI_Innsbruck	0.1487902719916669	0.0835093723390516	0.2140711716442822	1.0399770578694674e-05	33
score__wnt_stem	tumor_cancer	0.2659050471757483	0.2057935898817535	0.3260165044697431	9.1689672808083e-17	33	0.2213769733686711	0.2868833949842663	1.0	1.0	158	MUI_Innsbruck	Chen_2024_Cancer_Cell	0.2754521716105444	0.2153394867756283	0.3355648564454606	2.400423332910624e-17	213
score__wnt_stem	metastasis_epithelial	0.2513526197261604	0.0393152211905181	0.4633900182618026	0.0202811313480738	33	0.1875789536666699	0.3041309752750383	1.0	0.9393939393939394	4	Tian_2023_Nat_Med	Ji_2024_Cancer_Lett	0.2415115986255217	0.0213223633005797	0.4617008339504638	0.0316852133069114	5
score__wnt_stem	metastasis_cancer	0.3177575695607278	0.1936775775324097	0.441837561589046	7.276443096552877e-07	33	0.2874833633323291	0.348242681077917	1.0	1.0	28	MUI_Innsbruck	Pelka_2021_Cell	0.3194250590198101	0.1907965851907339	0.4480535328488862	1.6746532756425948e-06	50
