study_id	outcome	state	n_observations	n_donors	n_target_donors	n_reference_donors	coef	se_cluster	ci_low	ci_high	p_value
Chen_2021_Cell	score__ca_route_signature	polyp_epithelial	130	95	86	44	0.4797654201263764	0.0559382460910716	0.3686987212156507	0.5908321190371022	1.9427450501346322e-13
Chen_2021_Cell	score__wnt_stem	polyp_epithelial	130	95	86	44	0.0989474294141486	0.0287151561340329	0.0419328137731665	0.1559620450551307	0.0008527372124428
Chen_2021_Cell	score__ca_route_signature	polyp_cancer	123	93	79	44	0.802344237226025	0.0735386374668507	0.6562901555858831	0.9483983188661668	2.8394124825677557e-18
Chen_2021_Cell	score__wnt_stem	polyp_cancer	123	93	79	44	0.4558895698934131	0.0601557753218646	0.3364150076410714	0.5753641321457549	2.6855704260419608e-11
Chen_2021_Cell	score__ca_route_signature	tumor_cancer	48	47	4	44	1.1239598421799126	0.1999312069102139	0.7215191957036933	1.526400488656132	1.0642774936918177e-06
Chen_2021_Cell	score__wnt_stem	tumor_cancer	48	47	4	44	0.4634769467028016	0.1523925947104503	0.1567265635022238	0.7702273299033794	0.0038813723547272
Chen_2024_Cancer_Cell	score__ca_route_signature	tumor_epithelial	27	20	7	20	0.3410690929391695	0.0725856377186876	0.1891456071893892	0.4929925786889498	0.0001563270168729
Chen_2024_Cancer_Cell	score__wnt_stem	tumor_epithelial	27	20	7	20	0.0704186781618934	0.0694913565715034	-0.0750284027157281	0.2158657590395151	0.323627119294705
Chen_2024_Cancer_Cell	score__ca_route_signature	tumor_cancer	40	20	20	20	0.3174029607582974	0.0649592938788681	0.181441596112448	0.4533643254041467	0.0001025612491977
Chen_2024_Cancer_Cell	score__wnt_stem	tumor_cancer	40	20	20	20	0.1390012271876494	0.0391867810716821	0.0569823517897865	0.2210201025855123	0.0021521510875217
Khaliq_2022_Genome_Biol	score__ca_route_signature	tumor_cancer	12	10	7	5	0.144382037294074	0.0947337820928395	-0.0699206664262072	0.3586847410143552	0.1618241633293601
Khaliq_2022_Genome_Biol	score__wnt_stem	tumor_cancer	12	10	7	5	0.302643731916753	0.1831744598482139	-0.1117256844705764	0.7170131483040825	0.1328829779435574
Lee_2020_Nat_Genet	score__ca_route_signature	tumor_cancer	33	25	25	8	0.4301525478415761	0.1186958811196571	0.1851762895275447	0.6751288061556073	0.0013542764723692
Lee_2020_Nat_Genet	score__wnt_stem	tumor_cancer	33	25	25	8	0.2170590645314978	0.0926273597511203	0.025885589973759	0.4082325390892366	0.0277286951234042
Li_2023_Cancer_Cell	score__ca_route_signature	tumor_epithelial	12	8	5	7	0.4930450318345061	0.0500777884554606	0.3746298787865908	0.6114601848824215	2.370339507835804e-05
Li_2023_Cancer_Cell	score__wnt_stem	tumor_epithelial	12	8	5	7	0.3456672870011854	0.06032929705617	0.2030111681006205	0.4883234059017502	0.0007131728831058
Li_2023_Cancer_Cell	score__ca_route_signature	tumor_cancer	24	17	17	7	0.2833616411394978	0.0708181656153401	0.1332338365704098	0.4334894457085857	0.0010293023632507
Li_2023_Cancer_Cell	score__wnt_stem	tumor_cancer	24	17	17	7	0.1459816892629979	0.1005876795008118	-0.0672546655471421	0.359218044073138	0.1660242622092466
Liu_2024_Cancer_Res	score__ca_route_signature	tumor_cancer	17	14	13	4	0.9382594870304116	0.1383004758080971	0.6394794739207083	1.237039500140115	1.2931535782714856e-05
Liu_2024_Cancer_Res	score__wnt_stem	tumor_cancer	17	14	13	4	0.7765221146251109	0.1123736955745228	0.5337535048950204	1.0192907243552014	1.0687391013425844e-05
Liu_2024_Cancer_Res	score__ca_route_signature	metastasis_cancer	16	13	12	4	0.5931498091939652	0.212937480058477	0.1291988957255457	1.0571007226623848	0.0164796959340954
Liu_2024_Cancer_Res	score__wnt_stem	metastasis_cancer	16	13	12	4	0.5907758166704231	0.0929584693669516	0.3882367109874808	0.7933149223533653	3.635764780372651e-05
MUI_Innsbruck	score__ca_route_signature	tumor_epithelial	16	12	4	12	0.4467964398205567	0.0814433823530754	0.2675407638737685	0.6260521157673449	0.0001902145292091
MUI_Innsbruck	score__wnt_stem	tumor_epithelial	16	12	4	12	0.0150775762721121	0.0907143163000309	-0.184583287712115	0.2147384402563392	0.871007778938539
MUI_Innsbruck	score__ca_route_signature	tumor_cancer	23	12	11	12	0.7112929944989095	0.1119296971620847	0.4649373920716098	0.9576485969262092	5.408641055709465e-05
MUI_Innsbruck	score__wnt_stem	tumor_cancer	23	12	11	12	0.75719733207184	0.1513379758211006	0.4241046931312903	1.0902899710123897	0.0004004072613454
Pelka_2021_Cell	score__ca_route_signature	tumor_epithelial	36	33	6	30	0.7576780777671357	0.0552377114407894	0.6451625415169642	0.8701936140173072	5.982975049076273e-15
Pelka_2021_Cell	score__wnt_stem	tumor_epithelial	36	33	6	30	0.1400815996350298	0.0298454145174327	0.0792884796550827	0.2008747196149768	4.831623332950652e-05
Pelka_2021_Cell	score__ca_route_signature	tumor_cancer	89	59	59	30	0.6729193203146223	0.0445618874380047	0.5837190111034564	0.7621196295257883	9.312323130609914e-22
Pelka_2021_Cell	score__wnt_stem	tumor_cancer	89	59	59	30	0.2523735742457078	0.0308147502783601	0.190691149843945	0.3140559986474705	2.943856924440027e-11
Uhlitz_2021_EMBO_Mol_Med	score__ca_route_signature	tumor_cancer	20	12	10	10	0.8225868234450914	0.1928606100476253	0.3981034827640476	1.247070164126135	0.0013313690933428
Uhlitz_2021_EMBO_Mol_Med	score__wnt_stem	tumor_cancer	20	12	10	10	0.3775087116023937	0.0944008345980634	0.1697338755517908	0.5852835476529965	0.0020897719104306
