cohort	signature_size_per_direction	requested_up	present_up	coverage_up	requested_down	present_down	coverage_down	proliferation_requested	proliferation_present	proliferation_coverage	passes_80pct_component_rule
GSE8671	10	10	10	1.0	10	10	1.0	8	8	1.0	True
GSE8671	20	20	19	0.95	20	18	0.9	8	8	1.0	True
GSE8671	30	30	27	0.9	30	28	0.9333333333333332	8	8	1.0	True
GSE8671	50	50	46	0.92	50	47	0.94	8	8	1.0	True
GSE50114	10	10	10	1.0	10	9	0.9	8	7	0.875	True
GSE50114	20	20	19	0.95	20	17	0.85	8	7	0.875	True
GSE50114	30	30	27	0.9	30	27	0.9	8	7	0.875	True
GSE50114	50	50	45	0.9	50	46	0.92	8	7	0.875	True
GSE41657	10	10	10	1.0	10	9	0.9	8	7	0.875	True
GSE41657	20	20	19	0.95	20	17	0.85	8	7	0.875	True
GSE41657	30	30	27	0.9	30	27	0.9	8	7	0.875	True
GSE41657	50	50	45	0.9	50	46	0.92	8	7	0.875	True
GSE40362	10	10	8	0.8	10	8	0.8	8	8	1.0	True
GSE40362	20	20	16	0.8	20	16	0.8	8	8	1.0	True
GSE40362	30	30	24	0.8	30	26	0.8666666666666667	8	8	1.0	True
GSE40362	50	50	40	0.8	50	40	0.8	8	8	1.0	True
GSE72820	10	10	9	0.9	10	10	1.0	8	8	1.0	True
GSE72820	20	20	18	0.9	20	18	0.9	8	8	1.0	True
GSE72820	30	30	26	0.8666666666666667	30	28	0.9333333333333332	8	8	1.0	True
GSE72820	50	50	43	0.86	50	47	0.94	8	8	1.0	True
