cohort	module	endpoint	n	n_event	log_hazard_ratio	standard_error	hazard_ratio_per_1sd	ci_low	ci_high	p_value	concordance	ph_score_p	ph_global_p	nonlinearity_lrt_p	covariates	fit_status	q_value_within_module
GSE14333	antigen_presentation_ifn	DFS	185	48	-0.0300322819729475	0.153197569618448	0.970414206157705	0.718712400243109	1.31026503952645	0.844581767924255	0.527777777777778	0.599584200833928	0.86806154882314	0.347852379548614	age10 + strata(sex) + strata(stage)	ok	0.844581767924255
GSE17536	antigen_presentation_ifn	DFS/recurrence	111	31	0.0924874044137668	0.176449547789193	1.09689932538325	0.776198219170964	1.55010421347182	0.600168798898868	0.55663430420712	0.882549070598643	0.938664644678033	0.111540341124698	age10 + strata(sex) + strata(stage)	ok	0.844581767924255
GSE33113	antigen_presentation_ifn	recurrence/metastasis within 3 years	88	18	0.100196562634257	0.241438079943166	1.10538817473418	0.688656019562749	1.77430093128058	0.67814263245924	0.613564668769716	0.2692819582812	0.483187149392419	0.0080315595974389	age10 + strata(sex)	ok	0.844581767924255
GSE37892	antigen_presentation_ifn	distant metastasis-free survival	130	37	-0.104658376887126	0.182384016846895	0.900632146795047	0.629943918846533	1.28763567608669	0.566079296404727	0.529485570890841	0.832610489289621	0.977754395825596	0.214889782425511	age10 + strata(sex) + strata(stage)	ok	0.844581767924255
GSE39582	antigen_presentation_ifn	RFS	453	136	-0.185844239426826	0.0899912294572986	0.830402928945283	0.696126551653699	0.990579978256516	0.038910016500481	0.549560525628753	0.853481200095027	0.964322658336631	0.239732783103486	age10 + strata(sex) + strata(stage)	ok	0.194550082502405
GSE14333	locked_ca_route	DFS	185	48	-0.12656375122367	0.127308154623555	0.88111797540382	0.686545244964495	1.13083426369063	0.320148510544329	0.536821705426357	0.162201004997224	0.354302783146723	0.703471495386203	age10 + strata(sex) + strata(stage)	ok	0.62981676149546
GSE17536	locked_ca_route	DFS/recurrence	111	31	-0.0980578853401506	0.174982191269968	0.906596423592661	0.643381976052599	1.27749471676808	0.575214950784172	0.51294498381877	0.511785195315284	0.789625123690652	0.55926891456914	age10 + strata(sex) + strata(stage)	ok	0.719018688480214
GSE33113	locked_ca_route	recurrence/metastasis within 3 years	88	18	-0.0115930995671268	0.238026634799378	0.988473841477209	0.619949825311202	1.57606389322593	0.961154349936965	0.616719242902208	0.945226460999739	0.937868343919065	0.577083670222219	age10 + strata(sex)	ok	0.961154349936965
GSE37892	locked_ca_route	distant metastasis-free survival	130	37	-0.281695315828218	0.169131580152545	0.754503534800049	0.541621900476671	1.0510571738786	0.0958051835902379	0.558343789209536	0.332629284818669	0.623253455952336	0.884605426545503	age10 + strata(sex) + strata(stage)	ok	0.479025917951189
GSE39582	locked_ca_route	RFS	453	136	0.0812691374000539	0.0921637603955121	1.08466278060725	0.905408990961213	1.29940541719786	0.377890056897276	0.536941954573144	0.459033268694257	0.756669120060947	0.813120855395282	age10 + strata(sex) + strata(stage)	ok	0.62981676149546
GSE14333	wnt_stem	DFS	185	48	-0.296763960580259	0.142935757884187	0.743219420740291	0.561629500575039	0.983522245181156	0.0378749786275228	0.594315245478036	0.420689121452762	0.721291726091902	0.761991815585273	age10 + strata(sex) + strata(stage)	ok	0.0946874465688069
GSE17536	wnt_stem	DFS/recurrence	111	31	-0.234728351368262	0.171621428616873	0.79078563629026	0.564903606456417	1.1069887241218	0.171402855338191	0.576051779935275	0.943649633518081	0.91235466881084	0.810764646170705	age10 + strata(sex) + strata(stage)	ok	0.285671425563652
GSE33113	wnt_stem	recurrence/metastasis within 3 years	88	18	-0.53809924060568	0.232820852874951	0.583856969958089	0.369938047301003	0.921475808870436	0.02082093644461	0.681388012618297	0.361478523644021	0.534298141359033	0.906363803036087	age10 + strata(sex)	ok	0.0946874465688069
