module	excluded_cohort	k	pooled_log_hr	pooled_standard_error_hk	hazard_ratio	ci_low	ci_high	p_value	tau_squared_reml	i_squared	q_fixed	q_df	q_p_value	prediction_low	prediction_high
antigen_presentation_ifn	GSE14333	4	-0.0900210451554891	0.080896511641369	0.913911951649716	0.706473313963334	1.18225987996985	0.346939855178067	0.0041406528239634	0.0	2.78198099075018	3	0.426474763100433	0.585800075397368	1.42580223261601
antigen_presentation_ifn	GSE17536	4	-0.120274028272381	0.0684695681027702	0.886677428739194	0.713070666266788	1.10255112126769	0.177240893294022	0.0	0.0	1.71906980238328	3	0.632702497634174	0.660422958915578	1.19044447504746
antigen_presentation_ifn	GSE33113	4	-0.106381015092052	0.0665746723224847	0.899082018988415	0.727419939310388	1.11125421944664	0.208350398733	0.0001414994836621	0.0	2.2983586283472	3	0.512835423141756	0.672088486736216	1.20274114617522
antigen_presentation_ifn	GSE37892	4	-0.0700979240323093	0.0814754690671048	0.932302520613673	0.71936296493521	1.20827458780964	0.452859023255448	0.0055512157186371	0.0	2.9776051530955	3	0.395090924751917	0.579762774301311	1.49921317557874
antigen_presentation_ifn	GSE39582	4	0.0021609123484861	0.0905562443556798	1.00216324880223	0.751240474368984	1.33689705429336	0.982460658242262	0.0	0.0	0.81411324369796	3	0.846088438858751	0.678771209985811	1.47963137280209
locked_ca_route	GSE14333	4	-0.0475193811969038	0.0932097465515197	0.953591991199379	0.70881948161095	1.28289036809897	0.645321163751904	0.0110626591760755	0.21073658721116	3.80101237608314	3	0.283768396398192	0.520897328119459	1.74571386066134
locked_ca_route	GSE17536	4	-0.0607100522069466	0.0884581988057868	0.941096068949233	0.710189445302411	1.24707825052873	0.541801982003042	0.0110587962148776	0.293428327726806	4.2458537721281	3	0.236110962425462	0.521017794294834	1.69986864304777
locked_ca_route	GSE33113	4	-0.0709021036967871	0.0835010606214114	0.93155308326698	0.714166075065274	1.21511113064969	0.458202289353906	0.009881896389043	0.308414718903417	4.33785981570223	3	0.227216851506642	0.532863192474585	1.62854398502221
locked_ca_route	GSE37892	4	-0.0112544231057512	0.0700630376568453	0.988808670996241	0.791182768041466	1.23579863886281	0.882589863027488	0.0015798168659576	0.0	2.07047154283115	3	0.557909630997772	0.699183343232261	1.39840658005
locked_ca_route	GSE39582	4	-0.143321722152036	0.0824874370462476	0.866475259763099	0.666421076377705	1.12658408083722	0.180692267563223	0.0	0.0	1.05987010815498	3	0.786769344550047	0.607601209083527	1.23564496672738
