pair_step	up_gene	down_gene	training_correlation	held_out_donor
1	ASCL2	LGALS3	0.957998716416977	HTA11_104
2	SOX4	COX6C	0.979864599861744	HTA11_104
3	SLC7A5	NDUFA1	0.989112452481615	HTA11_104
4	SDC3	SRI	0.992026949721347	HTA11_104
5	LRRC36	CYCS	0.993491327362102	HTA11_104
6	SLC6A6	C15orf48	0.993957894449992	HTA11_104
7	SLC40A1	B2M	0.994421628591236	HTA11_104
8	L1TD1	CAMK2N1	0.995407128221059	HTA11_104
9	SEMA3F	MYL6	0.995653933458168	HTA11_104
10	LTBP1	CD9	0.996320892992289	HTA11_104
11	DPEP1	CHP2	0.996561612084138	HTA11_104
12	ZNF503	TPT1	0.996919449592107	HTA11_104
13	DAB2	LRRC19	0.997242612275427	HTA11_104
14	CYP4X1	ETHE1	0.997461357523774	HTA11_104
15	TRIP6	UGT2A3	0.997717415342458	HTA11_104
16	NKD1	LGALS4	0.997735979700649	HTA11_104
17	CPNE7	NDRG1	0.997703035643284	HTA11_104
18	LGR5	CALM1	0.997672127128831	HTA11_104
19	CLDN2	ACAA2	0.997409095922249	HTA11_104
20	APCDD1	PCK1	0.997297189435814	HTA11_104
21	RNF43	COX5A	0.997289351336836	HTA11_104
22	ZNF703	BSG	0.997056177183421	HTA11_104
23	GRIN2B	CALM2	0.996945694430038	HTA11_104
24	EPHB3	FCGRT	0.996568177201713	HTA11_104
25	GDF15	HSPA1A	0.996131122351637	HTA11_104
26	AXIN2	CA2	0.995568173937827	HTA11_104
27	MSX2	PRDX6	0.994758647252294	HTA11_104
28	TBX3	PKIB	0.993832589480697	HTA11_104
29	OLFM4	ITM2C	0.99278005824317	HTA11_104
30	ENC1	FABP1	0.991455729100284	HTA11_104
1	SOX4	COX5A	0.962399632315051	HTA11_1391
2	DPEP1	CHP2	0.982108907262316	HTA11_1391
3	LTBP1	CAMK2N1	0.988161652073767	HTA11_1391
4	ZNF503	NDUFA1	0.992631505119291	HTA11_1391
5	CLDN2	LRRC19	0.993707310544131	HTA11_1391
6	AXIN2	CYCS	0.994562469132906	HTA11_1391
7	SEMA3F	MYL6	0.995543529957513	HTA11_1391
8	LRRC36	CD9	0.99646328517266	HTA11_1391
9	SLC7A5	ETHE1	0.996239232307051	HTA11_1391
10	SDC3	B2M	0.996785012081603	HTA11_1391
11	EPHB3	TPT1	0.996914090520316	HTA11_1391
12	DAB2	CA2	0.997053339683654	HTA11_1391
13	L1TD1	UGT2A3	0.997318066634527	HTA11_1391
14	SLC6A6	NDRG1	0.997557009213556	HTA11_1391
15	NKD1	LGALS4	0.997534819600636	HTA11_1391
16	CPNE7	COX6C	0.99749872501067	HTA11_1391
17	TRIP6	SRI	0.997441037734941	HTA11_1391
18	APCDD1	TST	0.997311728290501	HTA11_1391
19	SLC40A1	CALM2	0.99727152743968	HTA11_1391
20	LGR5	PCK1	0.997445505563997	HTA11_1391
21	RNF43	CALM1	0.997202309133348	HTA11_1391
22	CYP4X1	ACAA2	0.997116650352296	HTA11_1391
23	ASCL2	BSG	0.996921300352399	HTA11_1391
