pair_step	up_gene	down_gene	training_correlation
1	ASCL2	LGALS3	0.957100483580598
2	SOX4	COX6C	0.979897892745241
3	SLC7A5	NDUFA1	0.988938324243703
4	AXIN2	CYCS	0.992046135847182
5	SDC3	LRRC19	0.993152507774845
6	DPEP1	ETHE1	0.99490277764809
7	ZNF503	TPT1	0.996024651653816
8	LTBP1	CA2	0.996448297276451
9	L1TD1	CAMK2N1	0.996760116448394
10	SLC40A1	B2M	0.996807257572175
11	SLC6A6	NDRG1	0.997047726090338
12	APCDD1	CD9	0.99728183649076
13	LGR5	MYL6	0.997605741563294
14	CPNE7	CHP2	0.997655550784084
15	DAB2	UGT2A3	0.997850996840124
16	CYP4X1	SRI	0.997681749382139
17	TRIP6	COX5A	0.997526028804463
18	NKD1	TST	0.997465232563185
19	RNF43	CALM2	0.997308108579261
20	CLDN2	ACAA2	0.997199169558183
21	LRRC36	PCK1	0.997112306398552
22	SEMA3F	LGALS4	0.99699755026834
23	ZNF703	CALM1	0.996825579501905
24	EPHB3	FCGRT	0.996541818299183
25	GDF15	HSPA1A	0.99608744919258
26	GRIN2B	PRDX6	0.995454246168831
27	MSX2	C15orf48	0.994580422995204
28	TBX3	PKIB	0.993682454355067
29	OLFM4	ITM2C	0.992625020386258
30	ENC1	FABP1	0.991267611243598
