gene	arm	selected_folds	selection_frequency
ASCL2	up	18	0.666666666666667
AXIN2	up	23	0.851851851851852
CLDN2	up	1	0.037037037037037
CYP4X1	up	6	0.222222222222222
DAB2	up	2	0.0740740740740741
DPEP1	up	14	0.518518518518518
L1TD1	up	4	0.148148148148148
LRRC36	up	1	0.037037037037037
LTBP1	up	16	0.592592592592593
RNF43	up	3	0.111111111111111
SDC3	up	9	0.333333333333333
SLC6A6	up	9	0.333333333333333
SLC7A5	up	21	0.777777777777778
SOX4	up	22	0.814814814814815
TBX3	up	2	0.0740740740740741
TRIP6	up	3	0.111111111111111
ZNF503	up	7	0.259259259259259
ZNF703	up	1	0.037037037037037
ACAA2	down	4	0.148148148148148
B2M	down	4	0.148148148148148
C15orf48	down	4	0.148148148148148
CA2	down	2	0.0740740740740741
CALM2	down	2	0.0740740740740741
CAMK2N1	down	8	0.296296296296296
CD9	down	6	0.222222222222222
CHP2	down	12	0.444444444444444
COX5A	down	5	0.185185185185185
COX6C	down	14	0.518518518518518
CYCS	down	23	0.851851851851852
ETHE1	down	9	0.333333333333333
LGALS3	down	14	0.518518518518518
LGALS4	down	5	0.185185185185185
LRRC19	down	16	0.592592592592593
MYL6	down	3	0.111111111111111
NDUFA1	down	17	0.62962962962963
PKIB	down	1	0.037037037037037
SRI	down	7	0.259259259259259
TPT1	down	6	0.222222222222222
